Unnamed: 0,KEN_NR,KEN_WR,KEN_MKR,KEN_CR,Ethiopia,Eritrea,Djibouti,Rwanda,Uganda,South_Sudan,Sudan,Egypt_NE,Egypt_AL,Egypt_ME,Egypt_UE,Egypt_CN,Egypt_CR,Lybia,Burundi,DRC_E,DRC_S,DRC_W,TAN_LR,TAN_NR,TAN_ER,TAN_SR,TAN_SWR,TAN_WR,TAN_CR
2030/01/01 00:00:00,-873600,-337600,-146080,-300800,-2112000,-59200,-29600,-176000,-944000,-86400,-2640000,-11142821.66,-2851509.402,-4957239.946,-3772766.807,-7238446.94,-11798062.41,-5232000,-91040,-80000,-1254400,-1334400,-235792.7858,-163712.3509,-1046880.673,-38910.33635,-83637.96061,-14157.96892,-103902.1556
2030/01/01 01:00:00,-841600,-324800,-140800,-289600,-2006856.062,-58240,-29120,-171200,-926400,-84320,-2576000,-10447955.25,-2673689.261,-4648106.438,-3537497.05,-6787057.352,-11062335.18,-4864000,-89440,-77120,-1208000,-1284800,-231969.4776,-161057.805,-1029905.822,-38279.4171,-82281.79656,-13928.40177,-102217.4138
2030/01/01 02:00:00,-811200,-313600,-135840,-280000,-1915266.181,-57440,-28640,-168000,-910400,-82400,-2528000,-9872350.352,-2526388.8,-4392030.225,-3342607.182,-6413140.797,-10452882.5,-4624000,-88000,-74400,-1164800,-1238400,-228824.3829,-158874.1467,-1015942.126,-37760.4161,-81166.20133,-13739.55734,-100831.5269
2030/01/01 03:00:00,-792000,-305600,-132640,-273600,-1855633.134,-57600,-28480,-164800,-907200,-81440,-2496000,-9455689.953,-2419763.11,-4206665.545,-3201533.173,-6142475.585,-10011720.87,-4480000,-87520,-72320,-1132800,-1204800,-228279.167,-158495.6001,-1013521.458,-37670.44502,-80972.80805,-13706.82034,-100591.2774
2030/01/01 04:00:00,-873600,-337600,-146080,-300800,-2098583.842,-63200,-30240,-171200,-929600,-84160,-2576000,-9319768.292,-2384980.009,-4146196.454,-3155512.448,-6054180.019,-9867806.494,-4448000,-89440,-74400,-1166400,-1240000,-235453.0218,-163476.4506,-1045372.177,-38854.26875,-83517.44304,-14137.56809,-103752.4384
2030/01/01 05:00:00,-952000,-368000,-159360,-328000,-2353912.04,-69440,-32000,-179200,-958400,-87360,-2672000,-9159099.504,-2343863.981,-4074717.815,-3101112.774,-5949808.566,-9697689.764,-4480000,-91360,-76800,-1203200,-1280000,-242699.8779,-168507.9864,-1077547.011,-40050.13915,-86087.97237,-14572.69915,-106945.7676
2030/01/01 06:00:00,-963200,-372800,-161600,-332800,-2413358.55,-70080,-31840,-172800,-913600,-84640,-2592000,-9028770.147,-2310511.981,-4016736.639,-3056985.506,-5865145.797,-9559696.54,-4752000,-87520,-73920,-1158400,-1232000,-234702.6715,-162955.4779,-1042040.747,-38730.44656,-83251.28662,-14092.51397,-103421.7964
2030/01/01 07:00:00,-1020800,-393600,-171200,-352000,-2621398.678,-75680,-33280,-179200,-942400,-90560,-2768000,-9219499.331,-2359320.63,-4101588.606,-3121563.111,-5989044.673,-9761641.333,-4928000,-89600,-77280,-1211200,-1288000,-242658.1797,-168479.035,-1077361.878,-40043.25814,-86073.1816,-14570.19541,-106927.3933
2030/01/01 08:00:00,-1084800,-419200,-180800,-374400,-2863251.597,-82400,-34880,-188800,-985600,-97440,-2976000,-8670373.827,-2218796.39,-3857292.595,-2935638.707,-5632329.296,-9180225.138,-5024000,-92000,-80640,-1264000,-1344000,-253632.5664,-176098.6179,-1126086.326,-41854.24264,-89965.90176,-15229.14274,-111763.2598
2030/01/01 09:00:00,-1134400,-438400,-190400,-392000,-3030787.256,-87040,-35840,-195200,-1000000,-102080,-3120000,-8953407.592,-2291226.289,-3983209.201,-3031469.047,-5816189.808,-9479902.376,-5296000,-92960,-83040,-1300800,-1384000,-258909.1155,-179762.1578,-1149513.325,-42724.97453,-91837.54427,-15545.96846,-114088.3726
