CtryName,Zone_ID,cluster
DRC_S,458,7
DRC_S,14,7
DRC_S,19,7
DRC_S,8,7
DRC_S,11,7
DRC_S,457,7
DRC_S,430,7
DRC_S,16,7
DRC_S,10,7
DRC_S,516,5
DRC_S,463,7
DRC_S,490,7
DRC_S,462,7
DRC_S,2,7
DRC_S,312,1
DRC_S,17,7
DRC_S,12,7
DRC_S,488,7
DRC_S,13,7
DRC_S,478,7
DRC_S,484,7
DRC_S,512,5
DRC_S,3,7
DRC_S,9,7
DRC_S,518,5
DRC_S,364,7
DRC_S,459,7
DRC_S,418,7
DRC_S,15,7
DRC_S,427,7
DRC_S,495,5
DRC_S,433,7
DRC_S,465,7
DRC_S,305,1
DRC_S,337,1
DRC_S,0,7
DRC_S,18,7
DRC_S,429,7
DRC_S,486,7
DRC_S,507,5
DRC_S,370,7
DRC_S,411,7
DRC_S,362,7
DRC_S,292,1
DRC_S,477,7
DRC_S,344,7
DRC_S,401,7
DRC_S,435,7
DRC_S,302,1
DRC_S,471,7
DRC_S,424,7
DRC_S,352,1
DRC_S,4,7
DRC_S,422,7
DRC_S,511,5
DRC_S,426,7
DRC_S,415,7
DRC_S,321,1
DRC_S,311,1
DRC_S,467,7
DRC_S,303,1
DRC_S,294,1
DRC_S,421,7
DRC_S,404,7
DRC_S,521,5
DRC_S,1,7
DRC_S,336,1
DRC_S,481,5
DRC_S,316,1
DRC_S,325,1
DRC_S,298,1
DRC_S,290,1
DRC_S,308,1
DRC_S,524,5
DRC_S,306,1
DRC_S,307,1
DRC_S,320,1
DRC_S,277,1
DRC_S,334,7
DRC_S,7,7
DRC_S,287,1
DRC_S,300,1
DRC_S,289,1
DRC_S,310,1
DRC_S,301,1
DRC_S,413,7
DRC_S,343,1
DRC_S,272,1
DRC_S,416,7
DRC_S,468,7
DRC_S,403,7
DRC_S,5,7
DRC_S,331,1
DRC_S,341,7
DRC_S,317,1
DRC_S,281,1
DRC_S,367,1
DRC_S,283,1
DRC_S,244,1
DRC_S,469,7
DRC_S,323,7
DRC_S,405,7
DRC_S,304,1
DRC_S,324,1
DRC_S,355,7
DRC_S,309,1
DRC_S,239,1
DRC_S,279,1
DRC_S,407,7
DRC_S,451,7
DRC_S,285,1
DRC_S,470,7
DRC_S,472,7
DRC_S,410,7
DRC_S,282,1
DRC_S,284,1
DRC_S,449,7
DRC_S,286,1
DRC_S,276,1
DRC_S,271,1
DRC_S,291,1
DRC_S,213,1
DRC_S,6,7
DRC_S,275,1
DRC_S,460,7
DRC_S,409,7
DRC_S,328,7
DRC_S,249,1
DRC_S,270,1
DRC_S,476,5
DRC_S,3283,1
DRC_S,441,7
DRC_S,229,1
DRC_S,443,7
DRC_S,224,1
DRC_S,3248,1
DRC_S,3268,1
DRC_S,494,5
DRC_S,254,1
DRC_S,327,1
DRC_S,260,1
DRC_S,428,7
DRC_S,400,7
DRC_S,406,7
DRC_S,358,1
DRC_S,322,1
DRC_S,361,1
DRC_S,330,1
DRC_S,455,7
DRC_S,508,5
DRC_S,466,7
DRC_S,288,1
DRC_S,417,7
DRC_S,396,7
DRC_S,500,5
DRC_S,217,1
DRC_S,461,7
DRC_S,464,7
DRC_S,366,7
DRC_S,212,1
DRC_S,474,7
DRC_S,379,7
DRC_S,250,1
DRC_S,473,7
DRC_S,483,7
DRC_S,439,7
DRC_S,340,1
DRC_S,368,7
DRC_S,437,7
DRC_S,246,1
DRC_S,378,7
DRC_S,3254,1
DRC_S,504,5
