costs,locs,techs,cost_om_annual
monetary,DRC_S,Diesel_Engine_DRC,24.0
monetary,DRC_S,Hydro_Power_Plant_large1,60.0
monetary,DRC_S,Hydro_Power_Plant_large2,60.0
monetary,DRC_S,Hydro_Power_Plant_large3,60.0
monetary,DRC_S,Hydro_Power_Plant_large4,60.0
monetary,DRC_S,Hydro_Power_Plant_large5,60.0
monetary,DRC_S,Hydro_Power_Plant_large6,60.0
monetary,DRC_S,Hydro_Power_Plant_small1,65.0
monetary,DRC_S,Hydro_Power_Plant_small2,65.0
monetary,DRC_S,PV_DRC_S_MSR1,15.0
monetary,DRC_S,PV_DRC_S_MSR10,15.0
monetary,DRC_S,PV_DRC_S_MSR2,15.0
monetary,DRC_S,PV_DRC_S_MSR3,15.0
monetary,DRC_S,PV_DRC_S_MSR4,15.0
monetary,DRC_S,PV_DRC_S_MSR5,15.0
monetary,DRC_S,PV_DRC_S_MSR6,15.0
monetary,DRC_S,PV_DRC_S_MSR7,15.0
monetary,DRC_S,PV_DRC_S_MSR8,15.0
monetary,DRC_S,PV_DRC_S_MSR9,15.0
monetary,DRC_S,Solar_PV1,16.6
monetary,DRC_S,Solar_PV2,16.6
