techs,names
132_kV,132_kV
220_kV,220_kV
400_kV,400_kV
500_kV,500_kV
Bioenergy_Power_Plant,Bioenergy Power Plant
CCGT_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
CCGT_NG_LYBIA,Open_Cycle_Gas_Turbine_ng_fuelled
CCGT_NG_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
CCGT_NG_TAN,Open_Cycle_Gas_Turbine_ng_fuelled
Diesel_Engine_DJIBOUTI,Diesel_Engine
Diesel_Engine_DRC,Diesel_Engine
Diesel_Engine_ERITREA,Diesel_Engine
Diesel_Engine_ETHIOPIA,Diesel_Engine
Diesel_Engine_KENYA,Diesel_Engine
Diesel_Engine_LYBIA,Diesel_Engine
Diesel_Engine_RWANDA,Diesel_Engine
Diesel_Engine_SOUTH_SUDAN,Diesel_Engine
Diesel_Engine_SUDAN,Diesel_Engine
Diesel_Engine_TAN,Diesel_Engine
Diesel_Engine_UGANDA,Diesel_Engine
Gas_Engine_BURUNDI,GAS_Engine
Gas_Engine_RWANDA,GAS_Engine
Gas_Engine_TANZANIA,GAS_Engine
Geothermal_Power_Plant,Geothermal_Power_Plant
HFO_PP_KENYA,HFO_PP
HFO_PP_LYBIA,HFO_PP
HFO_PP_SUDAN,HFO_PP
HFO_PP_TANZANIA,HFO_PP
HFO_PP_UGANDA,HFO_PP
Heavy_Fuel_Oil_Power_Plant,Heavy_Fuel_Oil_Power-Plant
Hydro_Power_Plant_large1,Hydro_Power_Plant
Hydro_Power_Plant_large10,Hydro_Power_Plant
Hydro_Power_Plant_large11,Hydro_Power_Plant
Hydro_Power_Plant_large12,Hydro_Power_Plant
Hydro_Power_Plant_large13,Hydro_Power_Plant
Hydro_Power_Plant_large14,Hydro_Power_Plant
Hydro_Power_Plant_large15,Hydro_Power_Plant
Hydro_Power_Plant_large16,Hydro_Power_Plant
Hydro_Power_Plant_large17,Hydro_Power_Plant
Hydro_Power_Plant_large18,Hydro_Power_Plant
Hydro_Power_Plant_large19,Hydro_Power_Plant
Hydro_Power_Plant_large2,Hydro_Power_Plant
Hydro_Power_Plant_large20,Hydro_Power_Plant
Hydro_Power_Plant_large21,Hydro_Power_Plant
Hydro_Power_Plant_large3,Hydro_Power_Plant
Hydro_Power_Plant_large4,Hydro_Power_Plant
Hydro_Power_Plant_large5,Hydro_Power_Plant
Hydro_Power_Plant_large6,Hydro_Power_Plant
Hydro_Power_Plant_large7,Hydro_Power_Plant
Hydro_Power_Plant_large8,Hydro_Power_Plant
Hydro_Power_Plant_large9,Hydro_Power_Plant
Hydro_Power_Plant_small1,Hydro_Power_Plant
Hydro_Power_Plant_small2,Hydro_Power_Plant
Hydro_Power_Plant_small3,Hydro_Power_Plant
Hydro_Power_Plant_small4,Hydro_Power_Plant
Hydro_Power_Plant_small5,Hydro_Power_Plant
Hydro_Power_Plant_small6,Hydro_Power_Plant
ICCC_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
ISCC_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_Kerosene_KEN,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_LFO,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_LYBIA,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_TAN,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_UGANDA,Open_Cycle_Gas_Turbine_ng_fuelled
PV_DRC_S_MSR1,PV Power Plant DRC_S 1
PV_DRC_S_MSR10,PV Power Plant DRC_S 10
PV_DRC_S_MSR2,PV Power Plant DRC_S 2
PV_DRC_S_MSR3,PV Power Plant DRC_S 3
PV_DRC_S_MSR4,PV Power Plant DRC_S 4
PV_DRC_S_MSR5,PV Power Plant DRC_S 5
PV_DRC_S_MSR6,PV Power Plant DRC_S 6
PV_DRC_S_MSR7,PV Power Plant DRC_S 7
PV_DRC_S_MSR8,PV Power Plant DRC_S 8
PV_DRC_S_MSR9,PV Power Plant DRC_S 9
Solar_PV1,SOLAR_PV
Solar_PV10,SOLAR_PV
Solar_PV11,SOLAR_PV
Solar_PV12,SOLAR_PV
Solar_PV13,SOLAR_PV
Solar_PV14,SOLAR_PV
Solar_PV15,SOLAR_PV
Solar_PV16,SOLAR_PV
Solar_PV17,SOLAR_PV
Solar_PV18,SOLAR_PV
Solar_PV19,SOLAR_PV
Solar_PV2,SOLAR_PV
Solar_PV20,SOLAR_PV
Solar_PV3,SOLAR_PV
Solar_PV4,SOLAR_PV
Solar_PV5,SOLAR_PV
Solar_PV6,SOLAR_PV
Solar_PV7,SOLAR_PV
Solar_PV8,SOLAR_PV
Solar_PV9,SOLAR_PV
Steam_turbine_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
Steam_turbine_NG_LYBIA,Open_Cycle_Gas_Turbine_ng_fuelled
Steam_turbine_NG_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
Steam_turbine_petroleum_coke_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
Wind_Turbine1,wind_turbine
Wind_Turbine2,wind_turbine
Wind_Turbine3,wind_turbine
Wind_Turbine4,wind_turbine
Wind_Turbine5,wind_turbine
Wind_Turbine6,wind_turbine
Wind_Turbine7,wind_turbine
final_demand,final_demand
