locs,techs,resource_unit
DRC_S,Hydro_Power_Plant_large1,energy_per_cap
DRC_S,Hydro_Power_Plant_large2,energy_per_cap
DRC_S,Hydro_Power_Plant_large3,energy_per_cap
DRC_S,Hydro_Power_Plant_large4,energy_per_cap
DRC_S,Hydro_Power_Plant_large5,energy_per_cap
DRC_S,Hydro_Power_Plant_large6,energy_per_cap
DRC_S,Hydro_Power_Plant_small1,energy_per_cap
DRC_S,Hydro_Power_Plant_small2,energy_per_cap
DRC_S,PV_DRC_S_MSR1,energy_per_cap
DRC_S,PV_DRC_S_MSR10,energy_per_cap
DRC_S,PV_DRC_S_MSR2,energy_per_cap
DRC_S,PV_DRC_S_MSR3,energy_per_cap
DRC_S,PV_DRC_S_MSR4,energy_per_cap
DRC_S,PV_DRC_S_MSR5,energy_per_cap
DRC_S,PV_DRC_S_MSR6,energy_per_cap
DRC_S,PV_DRC_S_MSR7,energy_per_cap
DRC_S,PV_DRC_S_MSR8,energy_per_cap
DRC_S,PV_DRC_S_MSR9,energy_per_cap
DRC_S,Solar_PV1,energy_per_cap
DRC_S,Solar_PV2,energy_per_cap
DRC_S,final_demand,energy
