costs,locs,techs,cost_investment_rhs
monetary,DRC_S,Diesel_Engine_DRC,2141852.0547945206
monetary,DRC_S,Hydro_Power_Plant_large1,2534123.8356164386
monetary,DRC_S,Hydro_Power_Plant_large2,4091178.0821917816
monetary,DRC_S,Hydro_Power_Plant_large3,6618082.191780823
monetary,DRC_S,Hydro_Power_Plant_large4,14920767.123287674
monetary,DRC_S,Hydro_Power_Plant_large5,14619945.205479454
monetary,DRC_S,Hydro_Power_Plant_large6,2406575.3424657537
monetary,DRC_S,Hydro_Power_Plant_small1,645263.0136986303
monetary,DRC_S,Hydro_Power_Plant_small2,26071.232876712333
monetary,DRC_S,PV_DRC_S_MSR1,0.0
monetary,DRC_S,PV_DRC_S_MSR10,0.0
monetary,DRC_S,PV_DRC_S_MSR2,0.0
monetary,DRC_S,PV_DRC_S_MSR3,0.0
monetary,DRC_S,PV_DRC_S_MSR4,64374841.55886416
monetary,DRC_S,PV_DRC_S_MSR5,152686935.20616356
monetary,DRC_S,PV_DRC_S_MSR6,156127994.7904215
monetary,DRC_S,PV_DRC_S_MSR7,108144780.30937132
monetary,DRC_S,PV_DRC_S_MSR8,63044157.10923034
monetary,DRC_S,PV_DRC_S_MSR9,0.0
monetary,DRC_S,Solar_PV1,18310.027397260277
monetary,DRC_S,Solar_PV2,798983.0136986303
co2,DRC_S,Diesel_Engine_DRC,0.0
co2,DRC_S,Hydro_Power_Plant_large1,0.0
co2,DRC_S,Hydro_Power_Plant_large2,0.0
co2,DRC_S,Hydro_Power_Plant_large3,0.0
co2,DRC_S,Hydro_Power_Plant_large4,0.0
co2,DRC_S,Hydro_Power_Plant_large5,0.0
co2,DRC_S,Hydro_Power_Plant_large6,0.0
co2,DRC_S,Hydro_Power_Plant_small1,0.0
co2,DRC_S,Hydro_Power_Plant_small2,0.0
co2,DRC_S,PV_DRC_S_MSR1,0.0
co2,DRC_S,PV_DRC_S_MSR10,0.0
co2,DRC_S,PV_DRC_S_MSR2,0.0
co2,DRC_S,PV_DRC_S_MSR3,0.0
co2,DRC_S,PV_DRC_S_MSR4,0.0
co2,DRC_S,PV_DRC_S_MSR5,0.0
co2,DRC_S,PV_DRC_S_MSR6,0.0
co2,DRC_S,PV_DRC_S_MSR7,0.0
co2,DRC_S,PV_DRC_S_MSR8,0.0
co2,DRC_S,PV_DRC_S_MSR9,0.0
co2,DRC_S,Solar_PV1,0.0
co2,DRC_S,Solar_PV2,0.0
