locs,techs,timesteps,required_resource
DRC_S,final_demand,2040-01-01 00:00:00,-1851386.992
DRC_S,final_demand,2040-01-01 01:00:00,-1782904.565
DRC_S,final_demand,2040-01-01 02:00:00,-1719145.064
DRC_S,final_demand,2040-01-01 03:00:00,-1671915.804
DRC_S,final_demand,2040-01-01 04:00:00,-1721506.527
DRC_S,final_demand,2040-01-01 05:00:00,-1775820.176
DRC_S,final_demand,2040-01-01 06:00:00,-1709699.212
DRC_S,final_demand,2040-01-01 07:00:00,-1787627.491
DRC_S,final_demand,2040-01-01 08:00:00,-1865555.77
DRC_S,final_demand,2040-01-01 09:00:00,-1919869.419
DRC_S,final_demand,2040-01-01 10:00:00,-1915146.493
DRC_S,final_demand,2040-01-01 11:00:00,-1960014.29
DRC_S,final_demand,2040-01-01 12:00:00,-1964737.216
DRC_S,final_demand,2040-01-01 13:00:00,-1981267.457
DRC_S,final_demand,2040-01-01 14:00:00,-2007243.55
DRC_S,final_demand,2040-01-01 15:00:00,-2016689.402
DRC_S,final_demand,2040-01-01 16:00:00,-1976544.531
DRC_S,final_demand,2040-01-01 17:00:00,-1971821.605
DRC_S,final_demand,2040-01-01 18:00:00,-2156015.719
DRC_S,final_demand,2040-01-01 19:00:00,-2167823.034
DRC_S,final_demand,2040-01-01 20:00:00,-2139485.478
DRC_S,final_demand,2040-01-01 21:00:00,-2078087.44
DRC_S,final_demand,2040-01-01 22:00:00,-1976544.531
DRC_S,final_demand,2040-01-01 23:00:00,-1896254.789
DRC_S,final_demand,2040-01-02 00:00:00,-1875001.622
DRC_S,final_demand,2040-01-02 01:00:00,-1837218.214
DRC_S,final_demand,2040-01-02 02:00:00,-1808880.658
DRC_S,final_demand,2040-01-02 03:00:00,-1792350.417
DRC_S,final_demand,2040-01-02 04:00:00,-1813603.584
DRC_S,final_demand,2040-01-02 05:00:00,-1806519.195
DRC_S,final_demand,2040-01-02 06:00:00,-1721506.527
DRC_S,final_demand,2040-01-02 07:00:00,-1775820.176
DRC_S,final_demand,2040-01-02 08:00:00,-1787627.491
DRC_S,final_demand,2040-01-02 09:00:00,-1799434.806
DRC_S,final_demand,2040-01-02 10:00:00,-1780543.102
DRC_S,final_demand,2040-01-02 11:00:00,-1799434.806
DRC_S,final_demand,2040-01-02 12:00:00,-1839579.677
DRC_S,final_demand,2040-01-02 13:00:00,-1865555.77
DRC_S,final_demand,2040-01-02 14:00:00,-1886808.937
DRC_S,final_demand,2040-01-02 15:00:00,-1910423.567
DRC_S,final_demand,2040-01-02 16:00:00,-1898616.252
DRC_S,final_demand,2040-01-02 17:00:00,-1962375.753
DRC_S,final_demand,2040-01-02 18:00:00,-2203244.979
DRC_S,final_demand,2040-01-02 19:00:00,-2241028.387
DRC_S,final_demand,2040-01-02 20:00:00,-2217413.757
DRC_S,final_demand,2040-01-02 21:00:00,-2156015.719
DRC_S,final_demand,2040-01-02 22:00:00,-2059195.736
DRC_S,final_demand,2040-01-02 23:00:00,-1974183.068
DRC_S,final_demand,2040-01-03 00:00:00,-1896254.789
DRC_S,final_demand,2040-01-03 01:00:00,-1849025.529
DRC_S,final_demand,2040-01-03 02:00:00,-1811242.121
DRC_S,final_demand,2040-01-03 03:00:00,-1785266.028
DRC_S,final_demand,2040-01-03 04:00:00,-1818326.51
DRC_S,final_demand,2040-01-03 05:00:00,-1820687.973
DRC_S,final_demand,2040-01-03 06:00:00,-1738036.768
DRC_S,final_demand,2040-01-03 07:00:00,-1787627.491
DRC_S,final_demand,2040-01-03 08:00:00,-1797073.343
DRC_S,final_demand,2040-01-03 09:00:00,-1804157.732
DRC_S,final_demand,2040-01-03 10:00:00,-1851386.992
DRC_S,final_demand,2040-01-03 11:00:00,-1908062.104
DRC_S,final_demand,2040-01-03 12:00:00,-1976544.531
DRC_S,final_demand,2040-01-03 13:00:00,-1990713.309
DRC_S,final_demand,2040-01-03 14:00:00,-1978905.994
DRC_S,final_demand,2040-01-03 15:00:00,-1967098.679
DRC_S,final_demand,2040-01-03 16:00:00,-1960014.29
DRC_S,final_demand,2040-01-03 17:00:00,-2030858.18
DRC_S,final_demand,2040-01-03 18:00:00,-2278811.795
DRC_S,final_demand,2040-01-03 19:00:00,-2314233.74
DRC_S,final_demand,2040-01-03 20:00:00,-2290619.11
DRC_S,final_demand,2040-01-03 21:00:00,-2229221.072
DRC_S,final_demand,2040-01-03 22:00:00,-2125316.7
DRC_S,final_demand,2040-01-03 23:00:00,-2037942.569
DRC_S,final_demand,2040-01-04 00:00:00,-1752205.546
DRC_S,final_demand,2040-01-04 01:00:00,-1707337.749
DRC_S,final_demand,2040-01-04 02:00:00,-1667192.878
DRC_S,final_demand,2040-01-04 03:00:00,-1643578.248
DRC_S,final_demand,2040-01-04 04:00:00,-1679000.193
DRC_S,final_demand,2040-01-04 05:00:00,-1716783.601
DRC_S,final_demand,2040-01-04 06:00:00,-1638855.322
DRC_S,final_demand,2040-01-04 07:00:00,-1716783.601
DRC_S,final_demand,2040-01-04 08:00:00,-1789988.954
DRC_S,final_demand,2040-01-04 09:00:00,-1834856.751
DRC_S,final_demand,2040-01-04 10:00:00,-1872640.159
DRC_S,final_demand,2040-01-04 11:00:00,-1919869.419
DRC_S,final_demand,2040-01-04 12:00:00,-1952929.901
DRC_S,final_demand,2040-01-04 13:00:00,-1957652.827
DRC_S,final_demand,2040-01-04 14:00:00,-1978905.994
DRC_S,final_demand,2040-01-04 15:00:00,-1997797.698
DRC_S,final_demand,2040-01-04 16:00:00,-1969460.142
DRC_S,final_demand,2040-01-04 17:00:00,-1976544.531
DRC_S,final_demand,2040-01-04 18:00:00,-2172545.96
DRC_S,final_demand,2040-01-04 19:00:00,-2177268.886
DRC_S,final_demand,2040-01-04 20:00:00,-2141846.941
DRC_S,final_demand,2040-01-04 21:00:00,-2071003.051
DRC_S,final_demand,2040-01-04 22:00:00,-1957652.827
DRC_S,final_demand,2040-01-04 23:00:00,-1865555.77
DRC_S,final_demand,2040-01-05 00:00:00,-1721506.527
DRC_S,final_demand,2040-01-05 01:00:00,-1686084.582
DRC_S,final_demand,2040-01-05 02:00:00,-1653024.1
DRC_S,final_demand,2040-01-05 03:00:00,-1638855.322
DRC_S,final_demand,2040-01-05 04:00:00,-1688446.045
DRC_S,final_demand,2040-01-05 05:00:00,-1742759.694
DRC_S,final_demand,2040-01-05 06:00:00,-1681361.656
DRC_S,final_demand,2040-01-05 07:00:00,-1768735.787
DRC_S,final_demand,2040-01-05 08:00:00,-1865555.77
DRC_S,final_demand,2040-01-05 09:00:00,-1931676.734
DRC_S,final_demand,2040-01-05 10:00:00,-1945845.512
DRC_S,final_demand,2040-01-05 11:00:00,-1950568.438
DRC_S,final_demand,2040-01-05 12:00:00,-1955291.364
DRC_S,final_demand,2040-01-05 13:00:00,-1983628.92
DRC_S,final_demand,2040-01-05 14:00:00,-2019050.865
DRC_S,final_demand,2040-01-05 15:00:00,-2042665.495
DRC_S,final_demand,2040-01-05 16:00:00,-2007243.55
DRC_S,final_demand,2040-01-05 17:00:00,-2002520.624
DRC_S,final_demand,2040-01-05 18:00:00,-2189076.201
DRC_S,final_demand,2040-01-05 19:00:00,-2189076.201
DRC_S,final_demand,2040-01-05 20:00:00,-2146569.867
DRC_S,final_demand,2040-01-05 21:00:00,-2071003.051
DRC_S,final_demand,2040-01-05 22:00:00,-1967098.679
