carriers,costs,techs,systemwide_levelised_cost
electricity,monetary,Diesel_Engine_DRC,1.169055480515701
electricity,monetary,Hydro_Power_Plant_large1,0.02454781141004095
electricity,monetary,Hydro_Power_Plant_large2,0.019876390000357097
electricity,monetary,Hydro_Power_Plant_large3,0.03224155615130469
electricity,monetary,Hydro_Power_Plant_large4,0.01500398476688632
electricity,monetary,Hydro_Power_Plant_large5,0.028210265633392434
electricity,monetary,Hydro_Power_Plant_large6,0.022981523813840655
electricity,monetary,Hydro_Power_Plant_small1,0.021355277649878445
electricity,monetary,Hydro_Power_Plant_small2,0.06156095508828586
electricity,monetary,PV_DRC_S_MSR4,0.100079922270912
electricity,monetary,PV_DRC_S_MSR5,0.09395142151733737
electricity,monetary,PV_DRC_S_MSR6,0.09854777953973377
electricity,monetary,PV_DRC_S_MSR7,0.0886893043899217
electricity,monetary,PV_DRC_S_MSR8,0.10394128046688232
electricity,monetary,Solar_PV1,0.027468901447253863
electricity,monetary,Solar_PV2,0.020211005753081282
electricity,co2,Diesel_Engine_DRC,0.6514000000000579
electricity,co2,Hydro_Power_Plant_large1,0.0
electricity,co2,Hydro_Power_Plant_large2,0.0
electricity,co2,Hydro_Power_Plant_large3,0.0
electricity,co2,Hydro_Power_Plant_large4,0.0
electricity,co2,Hydro_Power_Plant_large5,0.0
electricity,co2,Hydro_Power_Plant_large6,0.0
electricity,co2,Hydro_Power_Plant_small1,0.0
electricity,co2,Hydro_Power_Plant_small2,0.0
electricity,co2,PV_DRC_S_MSR4,0.0
electricity,co2,PV_DRC_S_MSR5,0.0
electricity,co2,PV_DRC_S_MSR6,0.0
electricity,co2,PV_DRC_S_MSR7,0.0
electricity,co2,PV_DRC_S_MSR8,0.0
electricity,co2,Solar_PV1,0.0
electricity,co2,Solar_PV2,0.0
