carriers,locs,timesteps,unmet_demand
electricity,DRC_S,2040-01-01 00:00:00,1231917.6497053802
electricity,DRC_S,2040-01-01 01:00:00,1163435.22270538
electricity,DRC_S,2040-01-01 02:00:00,1099675.7217053804
electricity,DRC_S,2040-01-01 03:00:00,1052446.4617053801
electricity,DRC_S,2040-01-01 04:00:00,1102037.1847053804
electricity,DRC_S,2040-01-01 05:00:00,1139461.2717072263
electricity,DRC_S,2040-01-01 06:00:00,907443.5499104124
electricity,DRC_S,2040-01-01 07:00:00,631964.3808633296
electricity,DRC_S,2040-01-01 08:00:00,488513.58433511463
electricity,DRC_S,2040-01-01 09:00:00,354661.57832691056
electricity,DRC_S,2040-01-01 10:00:00,0.0
electricity,DRC_S,2040-01-01 11:00:00,0.0
electricity,DRC_S,2040-01-01 12:00:00,0.0
electricity,DRC_S,2040-01-01 13:00:00,0.0
electricity,DRC_S,2040-01-01 14:00:00,0.0
electricity,DRC_S,2040-01-01 15:00:00,201781.3947068922
electricity,DRC_S,2040-01-01 16:00:00,572332.6199800159
electricity,DRC_S,2040-01-01 17:00:00,995523.6212480718
electricity,DRC_S,2040-01-01 18:00:00,1486662.9817094523
electricity,DRC_S,2040-01-01 19:00:00,1548353.6917053806
electricity,DRC_S,2040-01-01 20:00:00,1520016.1357053807
electricity,DRC_S,2040-01-01 21:00:00,1458618.09770538
electricity,DRC_S,2040-01-01 22:00:00,1357075.18870538
electricity,DRC_S,2040-01-01 23:00:00,1276785.4467053805
electricity,DRC_S,2040-01-02 00:00:00,1255532.27970538
electricity,DRC_S,2040-01-02 01:00:00,1217748.8717053803
electricity,DRC_S,2040-01-02 02:00:00,1189411.3157053804
electricity,DRC_S,2040-01-02 03:00:00,1172881.07470538
electricity,DRC_S,2040-01-02 04:00:00,1194134.2417053804
electricity,DRC_S,2040-01-02 05:00:00,1170109.7123966794
electricity,DRC_S,2040-01-02 06:00:00,904814.4900926288
electricity,DRC_S,2040-01-02 07:00:00,491289.30244684534
electricity,DRC_S,2040-01-02 08:00:00,116396.55310018705
electricity,DRC_S,2040-01-02 09:00:00,0.0
electricity,DRC_S,2040-01-02 10:00:00,0.0
electricity,DRC_S,2040-01-02 11:00:00,-121131.05566331689
electricity,DRC_S,2040-01-02 12:00:00,-253650.58672483143
electricity,DRC_S,2040-01-02 13:00:00,-160651.45483004136
electricity,DRC_S,2040-01-02 14:00:00,0.0
electricity,DRC_S,2040-01-02 15:00:00,0.0
electricity,DRC_S,2040-01-02 16:00:00,357644.5956223929
electricity,DRC_S,2040-01-02 17:00:00,956598.7605947085
electricity,DRC_S,2040-01-02 18:00:00,1523977.1365428749
electricity,DRC_S,2040-01-02 19:00:00,1621559.0447053807
electricity,DRC_S,2040-01-02 20:00:00,1597944.4147053808
electricity,DRC_S,2040-01-02 21:00:00,1536546.3767053806
electricity,DRC_S,2040-01-02 22:00:00,1439726.3937053801
electricity,DRC_S,2040-01-02 23:00:00,1354713.72570538
electricity,DRC_S,2040-01-03 00:00:00,1276785.4467053805
electricity,DRC_S,2040-01-03 01:00:00,1229556.1867053802
electricity,DRC_S,2040-01-03 02:00:00,1191772.7787053804
electricity,DRC_S,2040-01-03 03:00:00,1165796.68570538
electricity,DRC_S,2040-01-03 04:00:00,1198857.1677053804
electricity,DRC_S,2040-01-03 05:00:00,1184908.92029989
electricity,DRC_S,2040-01-03 06:00:00,925673.4098578497
electricity,DRC_S,2040-01-03 07:00:00,486105.4201077918
electricity,DRC_S,2040-01-03 08:00:00,85060.52194151397
electricity,DRC_S,2040-01-03 09:00:00,0.0
electricity,DRC_S,2040-01-03 10:00:00,0.0
electricity,DRC_S,2040-01-03 11:00:00,0.0
electricity,DRC_S,2040-01-03 12:00:00,-89452.41952475553
electricity,DRC_S,2040-01-03 13:00:00,0.0
electricity,DRC_S,2040-01-03 14:00:00,0.0
electricity,DRC_S,2040-01-03 15:00:00,0.0
electricity,DRC_S,2040-01-03 16:00:00,389328.0968995363
electricity,DRC_S,2040-01-03 17:00:00,1005028.7403487229
electricity,DRC_S,2040-01-03 18:00:00,1599253.0510656654
electricity,DRC_S,2040-01-03 19:00:00,1694764.3977053808
electricity,DRC_S,2040-01-03 20:00:00,1671149.7677053805
electricity,DRC_S,2040-01-03 21:00:00,1609751.7297053807
electricity,DRC_S,2040-01-03 22:00:00,1505847.3577053808
electricity,DRC_S,2040-01-03 23:00:00,1418473.2267053802
electricity,DRC_S,2040-01-04 00:00:00,1132736.2037053802
electricity,DRC_S,2040-01-04 01:00:00,1087868.4067053804
electricity,DRC_S,2040-01-04 02:00:00,1047723.5357053801
electricity,DRC_S,2040-01-04 03:00:00,1024108.9057053803
electricity,DRC_S,2040-01-04 04:00:00,1059530.85070538
electricity,DRC_S,2040-01-04 05:00:00,1081652.9459571042
electricity,DRC_S,2040-01-04 06:00:00,870011.2450380551
electricity,DRC_S,2040-01-04 07:00:00,533427.9773936772
electricity,DRC_S,2040-01-04 08:00:00,286687.06069020013
electricity,DRC_S,2040-01-04 09:00:00,0.0
electricity,DRC_S,2040-01-04 10:00:00,0.0
electricity,DRC_S,2040-01-04 11:00:00,0.0
electricity,DRC_S,2040-01-04 12:00:00,0.0
electricity,DRC_S,2040-01-04 13:00:00,0.0
electricity,DRC_S,2040-01-04 14:00:00,0.0
electricity,DRC_S,2040-01-04 15:00:00,122560.96959950609
electricity,DRC_S,2040-01-04 16:00:00,511484.4797465523
electricity,DRC_S,2040-01-04 17:00:00,1018716.5379731795
electricity,DRC_S,2040-01-04 18:00:00,1508804.643137993
electricity,DRC_S,2040-01-04 19:00:00,1557799.5437053805
electricity,DRC_S,2040-01-04 20:00:00,1522377.5987053807
electricity,DRC_S,2040-01-04 21:00:00,1451533.70870538
electricity,DRC_S,2040-01-04 22:00:00,1338183.4847053802
electricity,DRC_S,2040-01-04 23:00:00,1246086.4277053801
electricity,DRC_S,2040-01-05 00:00:00,1102037.1847053804
electricity,DRC_S,2040-01-05 01:00:00,1066615.23970538
electricity,DRC_S,2040-01-05 02:00:00,1033554.7577053802
electricity,DRC_S,2040-01-05 03:00:00,1019385.9797053803
electricity,DRC_S,2040-01-05 04:00:00,1068976.70270538
electricity,DRC_S,2040-01-05 05:00:00,1106802.9256926598
electricity,DRC_S,2040-01-05 06:00:00,891047.937192643
electricity,DRC_S,2040-01-05 07:00:00,545013.6729956007
electricity,DRC_S,2040-01-05 08:00:00,412773.90658295446
electricity,DRC_S,2040-01-05 09:00:00,277496.40158341156
electricity,DRC_S,2040-01-05 10:00:00,203335.39975409693
electricity,DRC_S,2040-01-05 11:00:00,25708.709181046594
electricity,DRC_S,2040-01-05 12:00:00,0.0
electricity,DRC_S,2040-01-05 13:00:00,0.0
electricity,DRC_S,2040-01-05 14:00:00,71969.43325022975
electricity,DRC_S,2040-01-05 15:00:00,371080.6980058822
electricity,DRC_S,2040-01-05 16:00:00,639858.7017386473
electricity,DRC_S,2040-01-05 17:00:00,1028945.1272653039
electricity,DRC_S,2040-01-05 18:00:00,1519945.0906431605
electricity,DRC_S,2040-01-05 19:00:00,1569606.8587053805
electricity,DRC_S,2040-01-05 20:00:00,1527100.5247053807
electricity,DRC_S,2040-01-05 21:00:00,1451533.70870538
electricity,DRC_S,2040-01-05 22:00:00,1347629.3367053801
electricity,DRC_S,2040-01-05 23:00:00,1269701.05770538
electricity,DRC_S,2040-01-06 00:00:00,1137459.1297053802
electricity,DRC_S,2040-01-06 01:00:00,1102037.1847053804
electricity,DRC_S,2040-01-06 02:00:00,1068976.70270538
electricity,DRC_S,2040-01-06 03:00:00,1052446.4617053801
electricity,DRC_S,2040-01-06 04:00:00,1099675.7217053804
electricity,DRC_S,2040-01-06 05:00:00,1135268.4646166188
electricity,DRC_S,2040-01-06 06:00:00,910468.4918037413
electricity,DRC_S,2040-01-06 07:00:00,601384.6390459216
electricity,DRC_S,2040-01-06 08:00:00,343942.1634035029
electricity,DRC_S,2040-01-06 09:00:00,164707.28850461886
electricity,DRC_S,2040-01-06 10:00:00,0.0
electricity,DRC_S,2040-01-06 11:00:00,0.0
electricity,DRC_S,2040-01-06 12:00:00,0.0
electricity,DRC_S,2040-01-06 13:00:00,0.0
electricity,DRC_S,2040-01-06 14:00:00,0.0
electricity,DRC_S,2040-01-06 15:00:00,133643.77250728896
electricity,DRC_S,2040-01-06 16:00:00,539257.263408109
electricity,DRC_S,2040-01-06 17:00:00,968147.94956175
electricity,DRC_S,2040-01-06 18:00:00,1492773.4008506094
electricity,DRC_S,2040-01-06 19:00:00,1553076.6177053805
electricity,DRC_S,2040-01-06 20:00:00,1517654.6727053807
electricity,DRC_S,2040-01-06 21:00:00,1446810.78270538
electricity,DRC_S,2040-01-06 22:00:00,1345267.8737053801
electricity,DRC_S,2040-01-06 23:00:00,1264978.13170538
electricity,DRC_S,2040-01-07 00:00:00,1135097.6667053802
electricity,DRC_S,2040-01-07 01:00:00,1094952.7957053804
electricity,DRC_S,2040-01-07 02:00:00,1059530.85070538
electricity,DRC_S,2040-01-07 03:00:00,1043000.6097053802
electricity,DRC_S,2040-01-07 04:00:00,1087868.4067053804
electricity,DRC_S,2040-01-07 05:00:00,1124569.8505522835
electricity,DRC_S,2040-01-07 06:00:00,953226.0182230072
electricity,DRC_S,2040-01-07 07:00:00,671748.1511405156
electricity,DRC_S,2040-01-07 08:00:00,365457.10447485984
electricity,DRC_S,2040-01-07 09:00:00,181609.1159439875
electricity,DRC_S,2040-01-07 10:00:00,0.0
electricity,DRC_S,2040-01-07 11:00:00,0.0
electricity,DRC_S,2040-01-07 12:00:00,0.0
electricity,DRC_S,2040-01-07 13:00:00,0.0
electricity,DRC_S,2040-01-07 14:00:00,0.0
electricity,DRC_S,2040-01-07 15:00:00,0.0
electricity,DRC_S,2040-01-07 16:00:00,401858.7582980887
electricity,DRC_S,2040-01-07 17:00:00,936011.0846251589
electricity,DRC_S,2040-01-07 18:00:00,1480942.3285118022
electricity,DRC_S,2040-01-07 19:00:00,1543630.7657053806
electricity,DRC_S,2040-01-07 20:00:00,1505847.3577053808
electricity,DRC_S,2040-01-07 21:00:00,1437364.9307053802
electricity,DRC_S,2040-01-07 22:00:00,1326376.1697053802
electricity,DRC_S,2040-01-07 23:00:00,1241363.5017053802
electricity,DRC_S,2040-01-08 00:00:00,1104398.6477053803
electricity,DRC_S,2040-01-08 01:00:00,1083145.4807053804
electricity,DRC_S,2040-01-08 02:00:00,1068976.70270538
electricity,DRC_S,2040-01-08 03:00:00,1071338.16570538
electricity,DRC_S,2040-01-08 04:00:00,1113844.4997053803
electricity,DRC_S,2040-01-08 05:00:00,1150365.912007646
electricity,DRC_S,2040-01-08 06:00:00,920881.967519855
electricity,DRC_S,2040-01-08 07:00:00,490693.0399023564
electricity,DRC_S,2040-01-08 08:00:00,61439.41748699403
electricity,DRC_S,2040-01-08 09:00:00,0.0
electricity,DRC_S,2040-01-08 10:00:00,-18224.012648193573
electricity,DRC_S,2040-01-08 11:00:00,-77898.70404307623
electricity,DRC_S,2040-01-08 12:00:00,-46352.82759129102
electricity,DRC_S,2040-01-08 13:00:00,-19772.047871642222
electricity,DRC_S,2040-01-08 14:00:00,0.0
electricity,DRC_S,2040-01-08 15:00:00,176472.1534531405
electricity,DRC_S,2040-01-08 16:00:00,568813.3297450261
electricity,DRC_S,2040-01-08 17:00:00,982196.5918380348
electricity,DRC_S,2040-01-08 18:00:00,1563413.8325622787
electricity,DRC_S,2040-01-08 19:00:00,1626281.9707053807
electricity,DRC_S,2040-01-08 20:00:00,1581414.1737053804
electricity,DRC_S,2040-01-08 21:00:00,1503485.8947053808
electricity,DRC_S,2040-01-08 22:00:00,1387774.2077053804
electricity,DRC_S,2040-01-08 23:00:00,1298038.6137053804
electricity,DRC_S,2040-01-09 00:00:00,1262616.66870538
electricity,DRC_S,2040-01-09 01:00:00,1215387.4087053803
electricity,DRC_S,2040-01-09 02:00:00,1177604.0007053805
electricity,DRC_S,2040-01-09 03:00:00,1153989.37070538
electricity,DRC_S,2040-01-09 04:00:00,1184688.3897053804
electricity,DRC_S,2040-01-09 05:00:00,1171648.7412551139
electricity,DRC_S,2040-01-09 06:00:00,901930.5993737329
electricity,DRC_S,2040-01-09 07:00:00,354243.4406522936
electricity,DRC_S,2040-01-09 08:00:00,0.0
electricity,DRC_S,2040-01-09 09:00:00,-96785.86663109146
electricity,DRC_S,2040-01-09 10:00:00,-368225.20145341277
electricity,DRC_S,2040-01-09 11:00:00,-328816.86175478797
electricity,DRC_S,2040-01-09 12:00:00,-209646.01349813712
electricity,DRC_S,2040-01-09 13:00:00,-57754.94926592318
electricity,DRC_S,2040-01-09 14:00:00,0.0
electricity,DRC_S,2040-01-09 15:00:00,0.0
electricity,DRC_S,2040-01-09 16:00:00,396909.7593700438
electricity,DRC_S,2040-01-09 17:00:00,1028695.9903986927
electricity,DRC_S,2040-01-09 18:00:00,1610300.3990834698
electricity,DRC_S,2040-01-09 19:00:00,1701848.7867053808
electricity,DRC_S,2040-01-09 20:00:00,1664065.3787053805
electricity,DRC_S,2040-01-09 21:00:00,1588498.5627053804
electricity,DRC_S,2040-01-09 22:00:00,1472786.8757053805
electricity,DRC_S,2040-01-09 23:00:00,1371243.96670538
electricity,DRC_S,2040-01-10 00:00:00,1276785.4467053805
electricity,DRC_S,2040-01-10 01:00:00,1234279.1127053802
electricity,DRC_S,2040-01-10 02:00:00,1201218.6307053803
electricity,DRC_S,2040-01-10 03:00:00,1179965.4637053804
electricity,DRC_S,2040-01-10 04:00:00,1210664.4827053803
electricity,DRC_S,2040-01-10 05:00:00,1198841.2101330773
electricity,DRC_S,2040-01-10 06:00:00,1024022.34867766
electricity,DRC_S,2040-01-10 07:00:00,671164.9746090531
electricity,DRC_S,2040-01-10 08:00:00,340429.6548881545
electricity,DRC_S,2040-01-10 09:00:00,12090.510042261303
electricity,DRC_S,2040-01-10 10:00:00,0.0
electricity,DRC_S,2040-01-10 11:00:00,0.0
electricity,DRC_S,2040-01-10 12:00:00,-46107.252502318675
electricity,DRC_S,2040-01-10 13:00:00,0.0
electricity,DRC_S,2040-01-10 14:00:00,0.0
electricity,DRC_S,2040-01-10 15:00:00,29916.552398933884
electricity,DRC_S,2040-01-10 16:00:00,543332.008551951
electricity,DRC_S,2040-01-10 17:00:00,1068734.3838971045
electricity,DRC_S,2040-01-10 18:00:00,1633227.1090980382
electricity,DRC_S,2040-01-10 19:00:00,1711294.6387053807
electricity,DRC_S,2040-01-10 20:00:00,1671149.7677053805
electricity,DRC_S,2040-01-10 21:00:00,1590860.0257053804
electricity,DRC_S,2040-01-10 22:00:00,1475148.3387053804
electricity,DRC_S,2040-01-10 23:00:00,1375966.8927053805
electricity,DRC_S,2040-01-11 00:00:00,1078422.5547053805
electricity,DRC_S,2040-01-11 01:00:00,1038277.6837053802
electricity,DRC_S,2040-01-11 02:00:00,1000494.2757053804
electricity,DRC_S,2040-01-11 03:00:00,981602.5717053805
electricity,DRC_S,2040-01-11 04:00:00,1038277.6837053802
