locs,techs,lookup_loc_techs
Rwanda,Bioenergy_Power_Plant,Rwanda::Bioenergy_Power_Plant::electricity
Rwanda,Diesel_Engine_RWANDA,Rwanda::Diesel_Engine_RWANDA::electricity
Rwanda,Gas_Engine_RWANDA,Rwanda::Gas_Engine_RWANDA::electricity
Rwanda,Hydro_Power_Plant_large1,Rwanda::Hydro_Power_Plant_large1::electricity
Rwanda,Hydro_Power_Plant_large2,Rwanda::Hydro_Power_Plant_large2::electricity
Rwanda,Hydro_Power_Plant_large3,Rwanda::Hydro_Power_Plant_large3::electricity
Rwanda,Hydro_Power_Plant_large4,Rwanda::Hydro_Power_Plant_large4::electricity
Rwanda,Hydro_Power_Plant_large5,Rwanda::Hydro_Power_Plant_large5::electricity
Rwanda,Hydro_Power_Plant_large6,Rwanda::Hydro_Power_Plant_large6::electricity
Rwanda,Hydro_Power_Plant_small1,Rwanda::Hydro_Power_Plant_small1::electricity
Rwanda,Hydro_Power_Plant_small2,Rwanda::Hydro_Power_Plant_small2::electricity
Rwanda,Hydro_Power_Plant_small3,Rwanda::Hydro_Power_Plant_small3::electricity
Rwanda,PV_Rwanda_MSR1,Rwanda::PV_Rwanda_MSR1::electricity
Rwanda,Solar_PV1,Rwanda::Solar_PV1::electricity
Rwanda,Solar_PV2,Rwanda::Solar_PV2::electricity
Rwanda,Solar_PV3,Rwanda::Solar_PV3::electricity
Rwanda,Solar_PV4,Rwanda::Solar_PV4::electricity
Rwanda,Solar_PV5,Rwanda::Solar_PV5::electricity
Rwanda,Solar_PV6,Rwanda::Solar_PV6::electricity
Rwanda,final_demand,Rwanda::final_demand::electricity
