carriers,techs,systemwide_capacity_factor
electricity,Bioenergy_Power_Plant,0.27946509777683315
electricity,Diesel_Engine_RWANDA,0.16637061202943007
electricity,Gas_Engine_RWANDA,0.34262678998625173
electricity,Hydro_Power_Plant_large1,0.22029658902338642
electricity,Hydro_Power_Plant_large2,0.277276871071574
electricity,Hydro_Power_Plant_large3,0.22411701096663794
electricity,Hydro_Power_Plant_large4,0.4070552059659782
electricity,Hydro_Power_Plant_large5,0.21583987666975138
electricity,Hydro_Power_Plant_large6,0.28374595334742336
electricity,Hydro_Power_Plant_small1,0.3626180740402568
electricity,Hydro_Power_Plant_small2,0.4677867593453411
electricity,Hydro_Power_Plant_small3,0.33272460970639217
electricity,PV_Rwanda_MSR1,0.19205975375920858
electricity,Solar_PV1,0.05667373792548476
electricity,Solar_PV2,0.05150881361986554
electricity,Solar_PV3,0.03619494950143238
electricity,Solar_PV4,0.05659554251976639
electricity,Solar_PV5,0.047688297161460225
electricity,Solar_PV6,0.04992262112067169
