costs,locs,techs,cost_energy_cap
monetary,DRC_S,Diesel_Engine_DRC,0.0
monetary,DRC_S,Hydro_Power_Plant_large1,0.0
monetary,DRC_S,Hydro_Power_Plant_large2,0.0
monetary,DRC_S,Hydro_Power_Plant_large3,0.0
monetary,DRC_S,Hydro_Power_Plant_large4,0.0
monetary,DRC_S,Hydro_Power_Plant_large5,0.0
monetary,DRC_S,Hydro_Power_Plant_large6,0.0
monetary,DRC_S,Hydro_Power_Plant_small1,0.0
monetary,DRC_S,Hydro_Power_Plant_small2,0.0
monetary,DRC_S,PV_DRC_S_MSR1,1326.849219800495
monetary,DRC_S,PV_DRC_S_MSR10,1298.6814164739883
monetary,DRC_S,PV_DRC_S_MSR11,1448.9086499835296
monetary,DRC_S,PV_DRC_S_MSR12,1419.7031121743514
monetary,DRC_S,PV_DRC_S_MSR13,1306.8420186184135
monetary,DRC_S,PV_DRC_S_MSR14,1296.5111241405807
monetary,DRC_S,PV_DRC_S_MSR15,1465.1691583998406
monetary,DRC_S,PV_DRC_S_MSR16,1381.919638849321
monetary,DRC_S,PV_DRC_S_MSR17,1303.982252268289
monetary,DRC_S,PV_DRC_S_MSR18,1598.2383918445182
monetary,DRC_S,PV_DRC_S_MSR19,1382.780828054048
monetary,DRC_S,PV_DRC_S_MSR2,1425.1145699377666
monetary,DRC_S,PV_DRC_S_MSR20,1356.0482507322436
monetary,DRC_S,PV_DRC_S_MSR21,1595.1474924089089
monetary,DRC_S,PV_DRC_S_MSR22,1356.5502629875004
monetary,DRC_S,PV_DRC_S_MSR23,1339.116978462141
monetary,DRC_S,PV_DRC_S_MSR24,1504.1892119823174
monetary,DRC_S,PV_DRC_S_MSR25,1483.0576724591251
monetary,DRC_S,PV_DRC_S_MSR26,1509.892939628196
monetary,DRC_S,PV_DRC_S_MSR27,1374.331265722667
monetary,DRC_S,PV_DRC_S_MSR28,1505.9435299809193
monetary,DRC_S,PV_DRC_S_MSR29,1421.3317712254543
monetary,DRC_S,PV_DRC_S_MSR3,1423.2082729977424
monetary,DRC_S,PV_DRC_S_MSR30,1374.13544115438
monetary,DRC_S,PV_DRC_S_MSR31,1422.8158130287754
monetary,DRC_S,PV_DRC_S_MSR32,1496.2861349181758
monetary,DRC_S,PV_DRC_S_MSR33,1373.0723714501844
monetary,DRC_S,PV_DRC_S_MSR34,1493.8991242217853
monetary,DRC_S,PV_DRC_S_MSR35,1391.3608413206043
monetary,DRC_S,PV_DRC_S_MSR36,1574.1033266100512
monetary,DRC_S,PV_DRC_S_MSR37,1377.058889264938
monetary,DRC_S,PV_DRC_S_MSR38,1526.7342600300535
monetary,DRC_S,PV_DRC_S_MSR39,1501.0105600226236
monetary,DRC_S,PV_DRC_S_MSR4,1478.9399876388204
monetary,DRC_S,PV_DRC_S_MSR40,1349.635193775685
monetary,DRC_S,PV_DRC_S_MSR41,1580.3570160651213
monetary,DRC_S,PV_DRC_S_MSR42,1621.8488453063899
monetary,DRC_S,PV_DRC_S_MSR43,1512.7649368015689
monetary,DRC_S,PV_DRC_S_MSR44,1441.5830758535603
monetary,DRC_S,PV_DRC_S_MSR45,1482.1338115627182
monetary,DRC_S,PV_DRC_S_MSR46,1386.9923212731587
monetary,DRC_S,PV_DRC_S_MSR47,1302.394292017156
monetary,DRC_S,PV_DRC_S_MSR48,1488.4910711713248
monetary,DRC_S,PV_DRC_S_MSR49,1327.4641173233294
monetary,DRC_S,PV_DRC_S_MSR5,1400.2643298825399
monetary,DRC_S,PV_DRC_S_MSR50,1308.9780282349718
monetary,DRC_S,PV_DRC_S_MSR6,1477.7730803714594
monetary,DRC_S,PV_DRC_S_MSR7,1369.120761714126
monetary,DRC_S,PV_DRC_S_MSR8,1441.757224458343
monetary,DRC_S,PV_DRC_S_MSR9,1552.792507078118
monetary,DRC_S,Solar_PV1,0.0
monetary,DRC_S,Solar_PV2,0.0
