costs,locs,techs,cost_om_annual
monetary,DRC_S,Diesel_Engine_DRC,24.0
monetary,DRC_S,Hydro_Power_Plant_large1,60.0
monetary,DRC_S,Hydro_Power_Plant_large2,60.0
monetary,DRC_S,Hydro_Power_Plant_large3,60.0
monetary,DRC_S,Hydro_Power_Plant_large4,60.0
monetary,DRC_S,Hydro_Power_Plant_large5,60.0
monetary,DRC_S,Hydro_Power_Plant_large6,60.0
monetary,DRC_S,Hydro_Power_Plant_small1,65.0
monetary,DRC_S,Hydro_Power_Plant_small2,65.0
monetary,DRC_S,PV_DRC_S_MSR1,15.0
monetary,DRC_S,PV_DRC_S_MSR10,15.0
monetary,DRC_S,PV_DRC_S_MSR11,15.0
monetary,DRC_S,PV_DRC_S_MSR12,15.0
monetary,DRC_S,PV_DRC_S_MSR13,15.0
monetary,DRC_S,PV_DRC_S_MSR14,15.0
monetary,DRC_S,PV_DRC_S_MSR15,15.0
monetary,DRC_S,PV_DRC_S_MSR16,15.0
monetary,DRC_S,PV_DRC_S_MSR17,15.0
monetary,DRC_S,PV_DRC_S_MSR18,15.0
monetary,DRC_S,PV_DRC_S_MSR19,15.0
monetary,DRC_S,PV_DRC_S_MSR2,15.0
monetary,DRC_S,PV_DRC_S_MSR20,15.0
monetary,DRC_S,PV_DRC_S_MSR21,15.0
monetary,DRC_S,PV_DRC_S_MSR22,15.0
monetary,DRC_S,PV_DRC_S_MSR23,15.0
monetary,DRC_S,PV_DRC_S_MSR24,15.0
monetary,DRC_S,PV_DRC_S_MSR25,15.0
monetary,DRC_S,PV_DRC_S_MSR26,15.0
monetary,DRC_S,PV_DRC_S_MSR27,15.0
monetary,DRC_S,PV_DRC_S_MSR28,15.0
monetary,DRC_S,PV_DRC_S_MSR29,15.0
monetary,DRC_S,PV_DRC_S_MSR3,15.0
monetary,DRC_S,PV_DRC_S_MSR30,15.0
monetary,DRC_S,PV_DRC_S_MSR31,15.0
monetary,DRC_S,PV_DRC_S_MSR32,15.0
monetary,DRC_S,PV_DRC_S_MSR33,15.0
monetary,DRC_S,PV_DRC_S_MSR34,15.0
monetary,DRC_S,PV_DRC_S_MSR35,15.0
monetary,DRC_S,PV_DRC_S_MSR36,15.0
monetary,DRC_S,PV_DRC_S_MSR37,15.0
monetary,DRC_S,PV_DRC_S_MSR38,15.0
monetary,DRC_S,PV_DRC_S_MSR39,15.0
monetary,DRC_S,PV_DRC_S_MSR4,15.0
monetary,DRC_S,PV_DRC_S_MSR40,15.0
monetary,DRC_S,PV_DRC_S_MSR41,15.0
monetary,DRC_S,PV_DRC_S_MSR42,15.0
monetary,DRC_S,PV_DRC_S_MSR43,15.0
monetary,DRC_S,PV_DRC_S_MSR44,15.0
monetary,DRC_S,PV_DRC_S_MSR45,15.0
monetary,DRC_S,PV_DRC_S_MSR46,15.0
monetary,DRC_S,PV_DRC_S_MSR47,15.0
monetary,DRC_S,PV_DRC_S_MSR48,15.0
monetary,DRC_S,PV_DRC_S_MSR49,15.0
monetary,DRC_S,PV_DRC_S_MSR5,15.0
monetary,DRC_S,PV_DRC_S_MSR50,15.0
monetary,DRC_S,PV_DRC_S_MSR6,15.0
monetary,DRC_S,PV_DRC_S_MSR7,15.0
monetary,DRC_S,PV_DRC_S_MSR8,15.0
monetary,DRC_S,PV_DRC_S_MSR9,15.0
monetary,DRC_S,Solar_PV1,16.6
monetary,DRC_S,Solar_PV2,16.6
