locs,techs,energy_prod
DRC_S,Diesel_Engine_DRC,1.0
DRC_S,Hydro_Power_Plant_large1,1.0
DRC_S,Hydro_Power_Plant_large2,1.0
DRC_S,Hydro_Power_Plant_large3,1.0
DRC_S,Hydro_Power_Plant_large4,1.0
DRC_S,Hydro_Power_Plant_large5,1.0
DRC_S,Hydro_Power_Plant_large6,1.0
DRC_S,Hydro_Power_Plant_small1,1.0
DRC_S,Hydro_Power_Plant_small2,1.0
DRC_S,PV_DRC_S_MSR1,1.0
DRC_S,PV_DRC_S_MSR10,1.0
DRC_S,PV_DRC_S_MSR11,1.0
DRC_S,PV_DRC_S_MSR12,1.0
DRC_S,PV_DRC_S_MSR13,1.0
DRC_S,PV_DRC_S_MSR14,1.0
DRC_S,PV_DRC_S_MSR15,1.0
DRC_S,PV_DRC_S_MSR16,1.0
DRC_S,PV_DRC_S_MSR17,1.0
DRC_S,PV_DRC_S_MSR18,1.0
DRC_S,PV_DRC_S_MSR19,1.0
DRC_S,PV_DRC_S_MSR2,1.0
DRC_S,PV_DRC_S_MSR20,1.0
DRC_S,PV_DRC_S_MSR21,1.0
DRC_S,PV_DRC_S_MSR22,1.0
DRC_S,PV_DRC_S_MSR23,1.0
DRC_S,PV_DRC_S_MSR24,1.0
DRC_S,PV_DRC_S_MSR25,1.0
DRC_S,PV_DRC_S_MSR26,1.0
DRC_S,PV_DRC_S_MSR27,1.0
DRC_S,PV_DRC_S_MSR28,1.0
DRC_S,PV_DRC_S_MSR29,1.0
DRC_S,PV_DRC_S_MSR3,1.0
DRC_S,PV_DRC_S_MSR30,1.0
DRC_S,PV_DRC_S_MSR31,1.0
DRC_S,PV_DRC_S_MSR32,1.0
DRC_S,PV_DRC_S_MSR33,1.0
DRC_S,PV_DRC_S_MSR34,1.0
DRC_S,PV_DRC_S_MSR35,1.0
DRC_S,PV_DRC_S_MSR36,1.0
DRC_S,PV_DRC_S_MSR37,1.0
DRC_S,PV_DRC_S_MSR38,1.0
DRC_S,PV_DRC_S_MSR39,1.0
DRC_S,PV_DRC_S_MSR4,1.0
DRC_S,PV_DRC_S_MSR40,1.0
DRC_S,PV_DRC_S_MSR41,1.0
DRC_S,PV_DRC_S_MSR42,1.0
DRC_S,PV_DRC_S_MSR43,1.0
DRC_S,PV_DRC_S_MSR44,1.0
DRC_S,PV_DRC_S_MSR45,1.0
DRC_S,PV_DRC_S_MSR46,1.0
DRC_S,PV_DRC_S_MSR47,1.0
DRC_S,PV_DRC_S_MSR48,1.0
DRC_S,PV_DRC_S_MSR49,1.0
DRC_S,PV_DRC_S_MSR5,1.0
DRC_S,PV_DRC_S_MSR50,1.0
DRC_S,PV_DRC_S_MSR6,1.0
DRC_S,PV_DRC_S_MSR7,1.0
DRC_S,PV_DRC_S_MSR8,1.0
DRC_S,PV_DRC_S_MSR9,1.0
DRC_S,Solar_PV1,1.0
DRC_S,Solar_PV2,1.0
