locs,techs,lifetime
DRC_S,Diesel_Engine_DRC,30.0
DRC_S,Hydro_Power_Plant_large1,50.0
DRC_S,Hydro_Power_Plant_large2,50.0
DRC_S,Hydro_Power_Plant_large3,50.0
DRC_S,Hydro_Power_Plant_large4,50.0
DRC_S,Hydro_Power_Plant_large5,50.0
DRC_S,Hydro_Power_Plant_large6,50.0
DRC_S,Hydro_Power_Plant_small1,30.0
DRC_S,Hydro_Power_Plant_small2,30.0
DRC_S,PV_DRC_S_MSR1,25.0
DRC_S,PV_DRC_S_MSR10,25.0
DRC_S,PV_DRC_S_MSR11,25.0
DRC_S,PV_DRC_S_MSR12,25.0
DRC_S,PV_DRC_S_MSR13,25.0
DRC_S,PV_DRC_S_MSR14,25.0
DRC_S,PV_DRC_S_MSR15,25.0
DRC_S,PV_DRC_S_MSR16,25.0
DRC_S,PV_DRC_S_MSR17,25.0
DRC_S,PV_DRC_S_MSR18,25.0
DRC_S,PV_DRC_S_MSR19,25.0
DRC_S,PV_DRC_S_MSR2,25.0
DRC_S,PV_DRC_S_MSR20,25.0
DRC_S,PV_DRC_S_MSR21,25.0
DRC_S,PV_DRC_S_MSR22,25.0
DRC_S,PV_DRC_S_MSR23,25.0
DRC_S,PV_DRC_S_MSR24,25.0
DRC_S,PV_DRC_S_MSR25,25.0
DRC_S,PV_DRC_S_MSR26,25.0
DRC_S,PV_DRC_S_MSR27,25.0
DRC_S,PV_DRC_S_MSR28,25.0
DRC_S,PV_DRC_S_MSR29,25.0
DRC_S,PV_DRC_S_MSR3,25.0
DRC_S,PV_DRC_S_MSR30,25.0
DRC_S,PV_DRC_S_MSR31,25.0
DRC_S,PV_DRC_S_MSR32,25.0
DRC_S,PV_DRC_S_MSR33,25.0
DRC_S,PV_DRC_S_MSR34,25.0
DRC_S,PV_DRC_S_MSR35,25.0
DRC_S,PV_DRC_S_MSR36,25.0
DRC_S,PV_DRC_S_MSR37,25.0
DRC_S,PV_DRC_S_MSR38,25.0
DRC_S,PV_DRC_S_MSR39,25.0
DRC_S,PV_DRC_S_MSR4,25.0
DRC_S,PV_DRC_S_MSR40,25.0
DRC_S,PV_DRC_S_MSR41,25.0
DRC_S,PV_DRC_S_MSR42,25.0
DRC_S,PV_DRC_S_MSR43,25.0
DRC_S,PV_DRC_S_MSR44,25.0
DRC_S,PV_DRC_S_MSR45,25.0
DRC_S,PV_DRC_S_MSR46,25.0
DRC_S,PV_DRC_S_MSR47,25.0
DRC_S,PV_DRC_S_MSR48,25.0
DRC_S,PV_DRC_S_MSR49,25.0
DRC_S,PV_DRC_S_MSR5,25.0
DRC_S,PV_DRC_S_MSR50,25.0
DRC_S,PV_DRC_S_MSR6,25.0
DRC_S,PV_DRC_S_MSR7,25.0
DRC_S,PV_DRC_S_MSR8,25.0
DRC_S,PV_DRC_S_MSR9,25.0
DRC_S,Solar_PV1,25.0
DRC_S,Solar_PV2,25.0
