techs,names
132_kV,132_kV
220_kV,220_kV
400_kV,400_kV
500_kV,500_kV
Bioenergy_Power_Plant,Bioenergy Power Plant
CCGT_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
CCGT_NG_LYBIA,Open_Cycle_Gas_Turbine_ng_fuelled
CCGT_NG_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
CCGT_NG_TAN,Open_Cycle_Gas_Turbine_ng_fuelled
Diesel_Engine_DJIBOUTI,Diesel_Engine
Diesel_Engine_DRC,Diesel_Engine
Diesel_Engine_ERITREA,Diesel_Engine
Diesel_Engine_ETHIOPIA,Diesel_Engine
Diesel_Engine_KENYA,Diesel_Engine
Diesel_Engine_LYBIA,Diesel_Engine
Diesel_Engine_RWANDA,Diesel_Engine
Diesel_Engine_SOUTH_SUDAN,Diesel_Engine
Diesel_Engine_SUDAN,Diesel_Engine
Diesel_Engine_TAN,Diesel_Engine
Diesel_Engine_UGANDA,Diesel_Engine
Gas_Engine_BURUNDI,GAS_Engine
Gas_Engine_RWANDA,GAS_Engine
Gas_Engine_TANZANIA,GAS_Engine
Geothermal_Power_Plant,Geothermal_Power_Plant
HFO_PP_KENYA,HFO_PP
HFO_PP_LYBIA,HFO_PP
HFO_PP_SUDAN,HFO_PP
HFO_PP_TANZANIA,HFO_PP
HFO_PP_UGANDA,HFO_PP
Heavy_Fuel_Oil_Power_Plant,Heavy_Fuel_Oil_Power-Plant
Hydro_Power_Plant_large1,Hydro_Power_Plant
Hydro_Power_Plant_large10,Hydro_Power_Plant
Hydro_Power_Plant_large11,Hydro_Power_Plant
Hydro_Power_Plant_large12,Hydro_Power_Plant
Hydro_Power_Plant_large13,Hydro_Power_Plant
Hydro_Power_Plant_large14,Hydro_Power_Plant
Hydro_Power_Plant_large15,Hydro_Power_Plant
Hydro_Power_Plant_large16,Hydro_Power_Plant
Hydro_Power_Plant_large17,Hydro_Power_Plant
Hydro_Power_Plant_large18,Hydro_Power_Plant
Hydro_Power_Plant_large19,Hydro_Power_Plant
Hydro_Power_Plant_large2,Hydro_Power_Plant
Hydro_Power_Plant_large20,Hydro_Power_Plant
Hydro_Power_Plant_large21,Hydro_Power_Plant
Hydro_Power_Plant_large3,Hydro_Power_Plant
Hydro_Power_Plant_large4,Hydro_Power_Plant
Hydro_Power_Plant_large5,Hydro_Power_Plant
Hydro_Power_Plant_large6,Hydro_Power_Plant
Hydro_Power_Plant_large7,Hydro_Power_Plant
Hydro_Power_Plant_large8,Hydro_Power_Plant
Hydro_Power_Plant_large9,Hydro_Power_Plant
Hydro_Power_Plant_small1,Hydro_Power_Plant
Hydro_Power_Plant_small2,Hydro_Power_Plant
Hydro_Power_Plant_small3,Hydro_Power_Plant
Hydro_Power_Plant_small4,Hydro_Power_Plant
Hydro_Power_Plant_small5,Hydro_Power_Plant
Hydro_Power_Plant_small6,Hydro_Power_Plant
ICCC_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
ISCC_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_Kerosene_KEN,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_LFO,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_LYBIA,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_TAN,Open_Cycle_Gas_Turbine_ng_fuelled
OCGT_NG_UGANDA,Open_Cycle_Gas_Turbine_ng_fuelled
PV_DRC_S_MSR1,PV Power Plant DRC_S 1
PV_DRC_S_MSR10,PV Power Plant DRC_S 10
PV_DRC_S_MSR11,PV Power Plant DRC_S 11
PV_DRC_S_MSR12,PV Power Plant DRC_S 12
PV_DRC_S_MSR13,PV Power Plant DRC_S 13
PV_DRC_S_MSR14,PV Power Plant DRC_S 14
PV_DRC_S_MSR15,PV Power Plant DRC_S 15
PV_DRC_S_MSR16,PV Power Plant DRC_S 16
PV_DRC_S_MSR17,PV Power Plant DRC_S 17
PV_DRC_S_MSR18,PV Power Plant DRC_S 18
PV_DRC_S_MSR19,PV Power Plant DRC_S 19
PV_DRC_S_MSR2,PV Power Plant DRC_S 2
PV_DRC_S_MSR20,PV Power Plant DRC_S 20
PV_DRC_S_MSR21,PV Power Plant DRC_S 21
PV_DRC_S_MSR22,PV Power Plant DRC_S 22
PV_DRC_S_MSR23,PV Power Plant DRC_S 23
PV_DRC_S_MSR24,PV Power Plant DRC_S 24
PV_DRC_S_MSR25,PV Power Plant DRC_S 25
PV_DRC_S_MSR26,PV Power Plant DRC_S 26
PV_DRC_S_MSR27,PV Power Plant DRC_S 27
PV_DRC_S_MSR28,PV Power Plant DRC_S 28
PV_DRC_S_MSR29,PV Power Plant DRC_S 29
PV_DRC_S_MSR3,PV Power Plant DRC_S 3
PV_DRC_S_MSR30,PV Power Plant DRC_S 30
PV_DRC_S_MSR31,PV Power Plant DRC_S 31
PV_DRC_S_MSR32,PV Power Plant DRC_S 32
PV_DRC_S_MSR33,PV Power Plant DRC_S 33
PV_DRC_S_MSR34,PV Power Plant DRC_S 34
PV_DRC_S_MSR35,PV Power Plant DRC_S 35
PV_DRC_S_MSR36,PV Power Plant DRC_S 36
PV_DRC_S_MSR37,PV Power Plant DRC_S 37
PV_DRC_S_MSR38,PV Power Plant DRC_S 38
PV_DRC_S_MSR39,PV Power Plant DRC_S 39
PV_DRC_S_MSR4,PV Power Plant DRC_S 4
PV_DRC_S_MSR40,PV Power Plant DRC_S 40
PV_DRC_S_MSR41,PV Power Plant DRC_S 41
PV_DRC_S_MSR42,PV Power Plant DRC_S 42
PV_DRC_S_MSR43,PV Power Plant DRC_S 43
PV_DRC_S_MSR44,PV Power Plant DRC_S 44
PV_DRC_S_MSR45,PV Power Plant DRC_S 45
PV_DRC_S_MSR46,PV Power Plant DRC_S 46
PV_DRC_S_MSR47,PV Power Plant DRC_S 47
PV_DRC_S_MSR48,PV Power Plant DRC_S 48
PV_DRC_S_MSR49,PV Power Plant DRC_S 49
PV_DRC_S_MSR5,PV Power Plant DRC_S 5
PV_DRC_S_MSR50,PV Power Plant DRC_S 50
PV_DRC_S_MSR6,PV Power Plant DRC_S 6
PV_DRC_S_MSR7,PV Power Plant DRC_S 7
PV_DRC_S_MSR8,PV Power Plant DRC_S 8
