locs,techs,resource_unit
DRC_S,Hydro_Power_Plant_large1,energy_per_cap
DRC_S,Hydro_Power_Plant_large2,energy_per_cap
DRC_S,Hydro_Power_Plant_large3,energy_per_cap
DRC_S,Hydro_Power_Plant_large4,energy_per_cap
DRC_S,Hydro_Power_Plant_large5,energy_per_cap
DRC_S,Hydro_Power_Plant_large6,energy_per_cap
DRC_S,Hydro_Power_Plant_small1,energy_per_cap
DRC_S,Hydro_Power_Plant_small2,energy_per_cap
DRC_S,PV_DRC_S_MSR1,energy_per_cap
DRC_S,PV_DRC_S_MSR10,energy_per_cap
DRC_S,PV_DRC_S_MSR11,energy_per_cap
DRC_S,PV_DRC_S_MSR12,energy_per_cap
DRC_S,PV_DRC_S_MSR13,energy_per_cap
DRC_S,PV_DRC_S_MSR14,energy_per_cap
DRC_S,PV_DRC_S_MSR15,energy_per_cap
DRC_S,PV_DRC_S_MSR16,energy_per_cap
DRC_S,PV_DRC_S_MSR17,energy_per_cap
DRC_S,PV_DRC_S_MSR18,energy_per_cap
DRC_S,PV_DRC_S_MSR19,energy_per_cap
DRC_S,PV_DRC_S_MSR2,energy_per_cap
DRC_S,PV_DRC_S_MSR20,energy_per_cap
DRC_S,PV_DRC_S_MSR21,energy_per_cap
DRC_S,PV_DRC_S_MSR22,energy_per_cap
DRC_S,PV_DRC_S_MSR23,energy_per_cap
DRC_S,PV_DRC_S_MSR24,energy_per_cap
DRC_S,PV_DRC_S_MSR25,energy_per_cap
DRC_S,PV_DRC_S_MSR26,energy_per_cap
DRC_S,PV_DRC_S_MSR27,energy_per_cap
DRC_S,PV_DRC_S_MSR28,energy_per_cap
DRC_S,PV_DRC_S_MSR29,energy_per_cap
DRC_S,PV_DRC_S_MSR3,energy_per_cap
DRC_S,PV_DRC_S_MSR30,energy_per_cap
DRC_S,PV_DRC_S_MSR31,energy_per_cap
DRC_S,PV_DRC_S_MSR32,energy_per_cap
DRC_S,PV_DRC_S_MSR33,energy_per_cap
DRC_S,PV_DRC_S_MSR34,energy_per_cap
DRC_S,PV_DRC_S_MSR35,energy_per_cap
DRC_S,PV_DRC_S_MSR36,energy_per_cap
DRC_S,PV_DRC_S_MSR37,energy_per_cap
DRC_S,PV_DRC_S_MSR38,energy_per_cap
DRC_S,PV_DRC_S_MSR39,energy_per_cap
DRC_S,PV_DRC_S_MSR4,energy_per_cap
DRC_S,PV_DRC_S_MSR40,energy_per_cap
DRC_S,PV_DRC_S_MSR41,energy_per_cap
DRC_S,PV_DRC_S_MSR42,energy_per_cap
DRC_S,PV_DRC_S_MSR43,energy_per_cap
DRC_S,PV_DRC_S_MSR44,energy_per_cap
DRC_S,PV_DRC_S_MSR45,energy_per_cap
DRC_S,PV_DRC_S_MSR46,energy_per_cap
DRC_S,PV_DRC_S_MSR47,energy_per_cap
DRC_S,PV_DRC_S_MSR48,energy_per_cap
DRC_S,PV_DRC_S_MSR49,energy_per_cap
DRC_S,PV_DRC_S_MSR5,energy_per_cap
DRC_S,PV_DRC_S_MSR50,energy_per_cap
DRC_S,PV_DRC_S_MSR6,energy_per_cap
DRC_S,PV_DRC_S_MSR7,energy_per_cap
DRC_S,PV_DRC_S_MSR8,energy_per_cap
DRC_S,PV_DRC_S_MSR9,energy_per_cap
DRC_S,Solar_PV1,energy_per_cap
DRC_S,Solar_PV2,energy_per_cap
DRC_S,final_demand,energy
