costs,locs,techs,cost_depreciation_rate
monetary,Sudan,Bioenergy_Power_Plant,0.11016807219002081
monetary,Sudan,CCGT_NG_SUDAN,0.1060792482526339
monetary,Sudan,Diesel_Engine_SUDAN,0.1060792482526339
monetary,Sudan,HFO_PP_SUDAN,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large1,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large2,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large3,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large4,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_small1,0.1060792482526339
monetary,Sudan,OCGT_NG_SUDAN,0.1060792482526339
monetary,Sudan,PV_SUD_MSR1,0.11016807219002081
monetary,Sudan,PV_SUD_MSR10,0.11016807219002081
monetary,Sudan,PV_SUD_MSR11,0.11016807219002081
monetary,Sudan,PV_SUD_MSR12,0.11016807219002081
monetary,Sudan,PV_SUD_MSR13,0.11016807219002081
monetary,Sudan,PV_SUD_MSR14,0.11016807219002081
monetary,Sudan,PV_SUD_MSR15,0.11016807219002081
monetary,Sudan,PV_SUD_MSR16,0.11016807219002081
monetary,Sudan,PV_SUD_MSR17,0.11016807219002081
monetary,Sudan,PV_SUD_MSR18,0.11016807219002081
monetary,Sudan,PV_SUD_MSR19,0.11016807219002081
monetary,Sudan,PV_SUD_MSR2,0.11016807219002081
monetary,Sudan,PV_SUD_MSR20,0.11016807219002081
monetary,Sudan,PV_SUD_MSR21,0.11016807219002081
monetary,Sudan,PV_SUD_MSR22,0.11016807219002081
monetary,Sudan,PV_SUD_MSR23,0.11016807219002081
monetary,Sudan,PV_SUD_MSR24,0.11016807219002081
monetary,Sudan,PV_SUD_MSR25,0.11016807219002081
monetary,Sudan,PV_SUD_MSR26,0.11016807219002081
monetary,Sudan,PV_SUD_MSR27,0.11016807219002081
monetary,Sudan,PV_SUD_MSR28,0.11016807219002081
monetary,Sudan,PV_SUD_MSR29,0.11016807219002081
monetary,Sudan,PV_SUD_MSR3,0.11016807219002081
monetary,Sudan,PV_SUD_MSR30,0.11016807219002081
monetary,Sudan,PV_SUD_MSR4,0.11016807219002081
monetary,Sudan,PV_SUD_MSR5,0.11016807219002081
monetary,Sudan,PV_SUD_MSR6,0.11016807219002081
monetary,Sudan,PV_SUD_MSR7,0.11016807219002081
monetary,Sudan,PV_SUD_MSR8,0.11016807219002081
monetary,Sudan,PV_SUD_MSR9,0.11016807219002081
monetary,Sudan,Solar_PV1,0.11016807219002081
monetary,Sudan,Solar_PV2,0.11016807219002081
monetary,Sudan,Steam_turbine_NG_SUDAN,0.10085917404611996
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,0.10085917404611996
