costs,locs,techs,cost_om_annual
monetary,Sudan,Bioenergy_Power_Plant,62.0
monetary,Sudan,CCGT_NG_SUDAN,13.5
monetary,Sudan,Diesel_Engine_SUDAN,24.0
monetary,Sudan,HFO_PP_SUDAN,26.5
monetary,Sudan,Hydro_Power_Plant_large1,60.0
monetary,Sudan,Hydro_Power_Plant_large2,60.0
monetary,Sudan,Hydro_Power_Plant_large3,60.0
monetary,Sudan,Hydro_Power_Plant_large4,60.0
monetary,Sudan,Hydro_Power_Plant_small1,65.0
monetary,Sudan,OCGT_NG_SUDAN,11.0
monetary,Sudan,PV_SUD_MSR1,15.0
monetary,Sudan,PV_SUD_MSR10,15.0
monetary,Sudan,PV_SUD_MSR11,15.0
monetary,Sudan,PV_SUD_MSR12,15.0
monetary,Sudan,PV_SUD_MSR13,15.0
monetary,Sudan,PV_SUD_MSR14,15.0
monetary,Sudan,PV_SUD_MSR15,15.0
monetary,Sudan,PV_SUD_MSR16,15.0
monetary,Sudan,PV_SUD_MSR17,15.0
monetary,Sudan,PV_SUD_MSR18,15.0
monetary,Sudan,PV_SUD_MSR19,15.0
monetary,Sudan,PV_SUD_MSR2,15.0
monetary,Sudan,PV_SUD_MSR20,15.0
monetary,Sudan,PV_SUD_MSR21,15.0
monetary,Sudan,PV_SUD_MSR22,15.0
monetary,Sudan,PV_SUD_MSR23,15.0
monetary,Sudan,PV_SUD_MSR24,15.0
monetary,Sudan,PV_SUD_MSR25,15.0
monetary,Sudan,PV_SUD_MSR26,15.0
monetary,Sudan,PV_SUD_MSR27,15.0
monetary,Sudan,PV_SUD_MSR28,15.0
monetary,Sudan,PV_SUD_MSR29,15.0
monetary,Sudan,PV_SUD_MSR3,15.0
monetary,Sudan,PV_SUD_MSR30,15.0
monetary,Sudan,PV_SUD_MSR4,15.0
monetary,Sudan,PV_SUD_MSR5,15.0
monetary,Sudan,PV_SUD_MSR6,15.0
monetary,Sudan,PV_SUD_MSR7,15.0
monetary,Sudan,PV_SUD_MSR8,15.0
monetary,Sudan,PV_SUD_MSR9,15.0
monetary,Sudan,Solar_PV1,16.6
monetary,Sudan,Solar_PV2,16.6
monetary,Sudan,Steam_turbine_NG_SUDAN,26.52
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,26.52
