costs,locs,techs,cost_om_prod
monetary,Sudan,Bioenergy_Power_Plant,0.0075
monetary,Sudan,CCGT_NG_SUDAN,0.0025
monetary,Sudan,Diesel_Engine_SUDAN,0.003
monetary,Sudan,HFO_PP_SUDAN,0.001
monetary,Sudan,OCGT_NG_SUDAN,0.0035
monetary,Sudan,Steam_turbine_NG_SUDAN,0.00184
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,0.00184
co2,Sudan,Bioenergy_Power_Plant,0.133
co2,Sudan,CCGT_NG_SUDAN,0.5275
co2,Sudan,Diesel_Engine_SUDAN,0.6514
co2,Sudan,HFO_PP_SUDAN,0.7381
co2,Sudan,OCGT_NG_SUDAN,0.37
co2,Sudan,PV_SUD_MSR1,0.0
co2,Sudan,PV_SUD_MSR10,0.0
co2,Sudan,PV_SUD_MSR11,0.0
co2,Sudan,PV_SUD_MSR12,0.0
co2,Sudan,PV_SUD_MSR13,0.0
co2,Sudan,PV_SUD_MSR14,0.0
co2,Sudan,PV_SUD_MSR15,0.0
co2,Sudan,PV_SUD_MSR16,0.0
co2,Sudan,PV_SUD_MSR17,0.0
co2,Sudan,PV_SUD_MSR18,0.0
co2,Sudan,PV_SUD_MSR19,0.0
co2,Sudan,PV_SUD_MSR2,0.0
co2,Sudan,PV_SUD_MSR20,0.0
co2,Sudan,PV_SUD_MSR21,0.0
co2,Sudan,PV_SUD_MSR22,0.0
co2,Sudan,PV_SUD_MSR23,0.0
co2,Sudan,PV_SUD_MSR24,0.0
co2,Sudan,PV_SUD_MSR25,0.0
co2,Sudan,PV_SUD_MSR26,0.0
co2,Sudan,PV_SUD_MSR27,0.0
co2,Sudan,PV_SUD_MSR28,0.0
co2,Sudan,PV_SUD_MSR29,0.0
co2,Sudan,PV_SUD_MSR3,0.0
co2,Sudan,PV_SUD_MSR30,0.0
co2,Sudan,PV_SUD_MSR4,0.0
co2,Sudan,PV_SUD_MSR5,0.0
co2,Sudan,PV_SUD_MSR6,0.0
co2,Sudan,PV_SUD_MSR7,0.0
co2,Sudan,PV_SUD_MSR8,0.0
co2,Sudan,PV_SUD_MSR9,0.0
co2,Sudan,Solar_PV1,0.0
co2,Sudan,Solar_PV2,0.0
co2,Sudan,Steam_turbine_NG_SUDAN,0.528
co2,Sudan,Steam_turbine_petroleum_coke_SUDAN,1.2144
