locs,techs,energy_cap_max
Sudan,PV_SUD_MSR1,9522522.928000001
Sudan,PV_SUD_MSR10,7869250.721
Sudan,PV_SUD_MSR11,6387832.71009
Sudan,PV_SUD_MSR12,8252449.58314
Sudan,PV_SUD_MSR13,7089257.02498
Sudan,PV_SUD_MSR14,22746331.160999995
Sudan,PV_SUD_MSR15,4967786.062
Sudan,PV_SUD_MSR16,12366446.27525
Sudan,PV_SUD_MSR17,14552396.89
Sudan,PV_SUD_MSR18,959480.0897
Sudan,PV_SUD_MSR19,23973167.93369
Sudan,PV_SUD_MSR2,9968804.03033
Sudan,PV_SUD_MSR20,5225778.01337
Sudan,PV_SUD_MSR21,9479437.18475
Sudan,PV_SUD_MSR22,148834.4497
Sudan,PV_SUD_MSR23,14787794.065379996
Sudan,PV_SUD_MSR24,5789360.92985
Sudan,PV_SUD_MSR25,1827374.42014
Sudan,PV_SUD_MSR26,2307313.2380000004
Sudan,PV_SUD_MSR27,5020005.995
Sudan,PV_SUD_MSR28,9265161.16271
Sudan,PV_SUD_MSR29,4459997.6095
Sudan,PV_SUD_MSR3,7876473.96471
Sudan,PV_SUD_MSR30,6867841.36694
Sudan,PV_SUD_MSR4,31884138.146999992
Sudan,PV_SUD_MSR5,7318191.75813
Sudan,PV_SUD_MSR6,9576266.70715
Sudan,PV_SUD_MSR7,17223621.64692
Sudan,PV_SUD_MSR8,10249588.539169999
Sudan,PV_SUD_MSR9,27353509.857619997
