locs,techs,lookup_loc_techs
Sudan,Bioenergy_Power_Plant,Sudan::Bioenergy_Power_Plant::electricity
Sudan,CCGT_NG_SUDAN,Sudan::CCGT_NG_SUDAN::electricity
Sudan,Diesel_Engine_SUDAN,Sudan::Diesel_Engine_SUDAN::electricity
Sudan,HFO_PP_SUDAN,Sudan::HFO_PP_SUDAN::electricity
Sudan,Hydro_Power_Plant_large1,Sudan::Hydro_Power_Plant_large1::electricity
Sudan,Hydro_Power_Plant_large2,Sudan::Hydro_Power_Plant_large2::electricity
Sudan,Hydro_Power_Plant_large3,Sudan::Hydro_Power_Plant_large3::electricity
Sudan,Hydro_Power_Plant_large4,Sudan::Hydro_Power_Plant_large4::electricity
Sudan,Hydro_Power_Plant_small1,Sudan::Hydro_Power_Plant_small1::electricity
Sudan,OCGT_NG_SUDAN,Sudan::OCGT_NG_SUDAN::electricity
Sudan,PV_SUD_MSR1,Sudan::PV_SUD_MSR1::electricity
Sudan,PV_SUD_MSR10,Sudan::PV_SUD_MSR10::electricity
Sudan,PV_SUD_MSR11,Sudan::PV_SUD_MSR11::electricity
Sudan,PV_SUD_MSR12,Sudan::PV_SUD_MSR12::electricity
Sudan,PV_SUD_MSR13,Sudan::PV_SUD_MSR13::electricity
Sudan,PV_SUD_MSR14,Sudan::PV_SUD_MSR14::electricity
Sudan,PV_SUD_MSR15,Sudan::PV_SUD_MSR15::electricity
Sudan,PV_SUD_MSR16,Sudan::PV_SUD_MSR16::electricity
Sudan,PV_SUD_MSR17,Sudan::PV_SUD_MSR17::electricity
Sudan,PV_SUD_MSR18,Sudan::PV_SUD_MSR18::electricity
Sudan,PV_SUD_MSR19,Sudan::PV_SUD_MSR19::electricity
Sudan,PV_SUD_MSR2,Sudan::PV_SUD_MSR2::electricity
Sudan,PV_SUD_MSR20,Sudan::PV_SUD_MSR20::electricity
Sudan,PV_SUD_MSR21,Sudan::PV_SUD_MSR21::electricity
Sudan,PV_SUD_MSR22,Sudan::PV_SUD_MSR22::electricity
Sudan,PV_SUD_MSR23,Sudan::PV_SUD_MSR23::electricity
Sudan,PV_SUD_MSR24,Sudan::PV_SUD_MSR24::electricity
Sudan,PV_SUD_MSR25,Sudan::PV_SUD_MSR25::electricity
Sudan,PV_SUD_MSR26,Sudan::PV_SUD_MSR26::electricity
Sudan,PV_SUD_MSR27,Sudan::PV_SUD_MSR27::electricity
Sudan,PV_SUD_MSR28,Sudan::PV_SUD_MSR28::electricity
Sudan,PV_SUD_MSR29,Sudan::PV_SUD_MSR29::electricity
Sudan,PV_SUD_MSR3,Sudan::PV_SUD_MSR3::electricity
Sudan,PV_SUD_MSR30,Sudan::PV_SUD_MSR30::electricity
Sudan,PV_SUD_MSR4,Sudan::PV_SUD_MSR4::electricity
Sudan,PV_SUD_MSR5,Sudan::PV_SUD_MSR5::electricity
Sudan,PV_SUD_MSR6,Sudan::PV_SUD_MSR6::electricity
Sudan,PV_SUD_MSR7,Sudan::PV_SUD_MSR7::electricity
Sudan,PV_SUD_MSR8,Sudan::PV_SUD_MSR8::electricity
Sudan,PV_SUD_MSR9,Sudan::PV_SUD_MSR9::electricity
Sudan,Solar_PV1,Sudan::Solar_PV1::electricity
Sudan,Solar_PV2,Sudan::Solar_PV2::electricity
Sudan,Steam_turbine_NG_SUDAN,Sudan::Steam_turbine_NG_SUDAN::electricity
Sudan,Steam_turbine_petroleum_coke_SUDAN,Sudan::Steam_turbine_petroleum_coke_SUDAN::electricity
Sudan,final_demand,Sudan::final_demand::electricity
