costs,locs,techs,cost
monetary,Sudan,Bioenergy_Power_Plant,71835154.94143094
monetary,Sudan,CCGT_NG_SUDAN,224145114.59008795
monetary,Sudan,Diesel_Engine_SUDAN,312854.79452054796
monetary,Sudan,HFO_PP_SUDAN,505771543.752643
monetary,Sudan,Hydro_Power_Plant_large1,1143123.287671233
monetary,Sudan,Hydro_Power_Plant_large2,17808657.53424658
monetary,Sudan,Hydro_Power_Plant_large3,74603835.61643837
monetary,Sudan,Hydro_Power_Plant_large4,19252602.73972603
monetary,Sudan,Hydro_Power_Plant_small1,13035.616438356166
monetary,Sudan,OCGT_NG_SUDAN,323333478.7098298
monetary,Sudan,PV_SUD_MSR1,0.0
monetary,Sudan,PV_SUD_MSR10,0.0
monetary,Sudan,PV_SUD_MSR11,0.0
monetary,Sudan,PV_SUD_MSR12,0.0
monetary,Sudan,PV_SUD_MSR13,0.0
monetary,Sudan,PV_SUD_MSR14,0.0
monetary,Sudan,PV_SUD_MSR15,7195781.397209466
monetary,Sudan,PV_SUD_MSR16,0.0
monetary,Sudan,PV_SUD_MSR17,0.0
monetary,Sudan,PV_SUD_MSR18,0.0
monetary,Sudan,PV_SUD_MSR19,183287292.474883
monetary,Sudan,PV_SUD_MSR2,0.0
monetary,Sudan,PV_SUD_MSR20,0.0
monetary,Sudan,PV_SUD_MSR21,0.0
monetary,Sudan,PV_SUD_MSR22,0.0
monetary,Sudan,PV_SUD_MSR23,0.0
monetary,Sudan,PV_SUD_MSR24,0.0
monetary,Sudan,PV_SUD_MSR25,0.0
monetary,Sudan,PV_SUD_MSR26,0.0
monetary,Sudan,PV_SUD_MSR27,0.0
monetary,Sudan,PV_SUD_MSR28,0.0
monetary,Sudan,PV_SUD_MSR29,0.0
monetary,Sudan,PV_SUD_MSR3,0.0
monetary,Sudan,PV_SUD_MSR30,0.0
monetary,Sudan,PV_SUD_MSR4,0.0
monetary,Sudan,PV_SUD_MSR5,0.0
monetary,Sudan,PV_SUD_MSR6,0.0
monetary,Sudan,PV_SUD_MSR7,0.0
monetary,Sudan,PV_SUD_MSR8,0.0
monetary,Sudan,PV_SUD_MSR9,0.0
monetary,Sudan,Solar_PV1,93214.68493150687
monetary,Sudan,Solar_PV2,89885.58904109591
monetary,Sudan,Steam_turbine_NG_SUDAN,309428023.9310983
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,26057250.43966912
co2,Sudan,Bioenergy_Power_Plant,131138012.89395952
co2,Sudan,CCGT_NG_SUDAN,4159848215.06605
co2,Sudan,Diesel_Engine_SUDAN,0.0
co2,Sudan,HFO_PP_SUDAN,920270156.1881415
co2,Sudan,Hydro_Power_Plant_large1,0.0
co2,Sudan,Hydro_Power_Plant_large2,0.0
co2,Sudan,Hydro_Power_Plant_large3,0.0
co2,Sudan,Hydro_Power_Plant_large4,0.0
co2,Sudan,Hydro_Power_Plant_small1,0.0
co2,Sudan,OCGT_NG_SUDAN,2974553740.174983
co2,Sudan,PV_SUD_MSR1,0.0
co2,Sudan,PV_SUD_MSR10,0.0
co2,Sudan,PV_SUD_MSR11,0.0
co2,Sudan,PV_SUD_MSR12,0.0
co2,Sudan,PV_SUD_MSR13,0.0
co2,Sudan,PV_SUD_MSR14,0.0
co2,Sudan,PV_SUD_MSR15,0.0
co2,Sudan,PV_SUD_MSR16,0.0
co2,Sudan,PV_SUD_MSR17,0.0
co2,Sudan,PV_SUD_MSR18,0.0
co2,Sudan,PV_SUD_MSR19,0.0
co2,Sudan,PV_SUD_MSR2,0.0
co2,Sudan,PV_SUD_MSR20,0.0
co2,Sudan,PV_SUD_MSR21,0.0
co2,Sudan,PV_SUD_MSR22,0.0
co2,Sudan,PV_SUD_MSR23,0.0
co2,Sudan,PV_SUD_MSR24,0.0
co2,Sudan,PV_SUD_MSR25,0.0
co2,Sudan,PV_SUD_MSR26,0.0
co2,Sudan,PV_SUD_MSR27,0.0
co2,Sudan,PV_SUD_MSR28,0.0
co2,Sudan,PV_SUD_MSR29,0.0
co2,Sudan,PV_SUD_MSR3,0.0
co2,Sudan,PV_SUD_MSR30,0.0
co2,Sudan,PV_SUD_MSR4,0.0
co2,Sudan,PV_SUD_MSR5,0.0
co2,Sudan,PV_SUD_MSR6,0.0
co2,Sudan,PV_SUD_MSR7,0.0
co2,Sudan,PV_SUD_MSR8,0.0
co2,Sudan,PV_SUD_MSR9,0.0
co2,Sudan,Solar_PV1,0.0
co2,Sudan,Solar_PV2,0.0
co2,Sudan,Steam_turbine_NG_SUDAN,3688814362.757271
co2,Sudan,Steam_turbine_petroleum_coke_SUDAN,555545823.2262163
