locs,techs,energy_cap
Sudan,Bioenergy_Power_Plant,244580.0
Sudan,CCGT_NG_SUDAN,900000.0
Sudan,Diesel_Engine_SUDAN,13000.0
Sudan,HFO_PP_SUDAN,1558900.0
Sudan,Hydro_Power_Plant_large1,19000.0
Sudan,Hydro_Power_Plant_large2,296000.0
Sudan,Hydro_Power_Plant_large3,1240000.0
Sudan,Hydro_Power_Plant_large4,320000.0
Sudan,Hydro_Power_Plant_small1,200.0
Sudan,OCGT_NG_SUDAN,918000.0
Sudan,PV_SUD_MSR1,0.0
Sudan,PV_SUD_MSR10,0.0
Sudan,PV_SUD_MSR11,0.0
Sudan,PV_SUD_MSR12,0.0
Sudan,PV_SUD_MSR13,0.0
Sudan,PV_SUD_MSR14,0.0
Sudan,PV_SUD_MSR15,44983.424197644534
Sudan,PV_SUD_MSR16,0.0
Sudan,PV_SUD_MSR17,0.0
Sudan,PV_SUD_MSR18,0.0
Sudan,PV_SUD_MSR19,1116215.4691271295
Sudan,PV_SUD_MSR2,0.0
Sudan,PV_SUD_MSR20,0.0
Sudan,PV_SUD_MSR21,0.0
Sudan,PV_SUD_MSR22,0.0
Sudan,PV_SUD_MSR23,0.0
Sudan,PV_SUD_MSR24,0.0
Sudan,PV_SUD_MSR25,0.0
Sudan,PV_SUD_MSR26,0.0
Sudan,PV_SUD_MSR27,0.0
Sudan,PV_SUD_MSR28,0.0
Sudan,PV_SUD_MSR29,0.0
Sudan,PV_SUD_MSR3,0.0
Sudan,PV_SUD_MSR30,0.0
Sudan,PV_SUD_MSR4,0.0
Sudan,PV_SUD_MSR5,0.0
Sudan,PV_SUD_MSR6,0.0
Sudan,PV_SUD_MSR7,0.0
Sudan,PV_SUD_MSR8,0.0
Sudan,PV_SUD_MSR9,0.0
Sudan,Solar_PV1,5600.0
Sudan,Solar_PV2,5400.0
Sudan,Steam_turbine_NG_SUDAN,905000.0
Sudan,Steam_turbine_petroleum_coke_SUDAN,110000.0
Sudan,final_demand,5809198.98
