carriers,costs,techs,systemwide_levelised_cost
electricity,monetary,Bioenergy_Power_Plant,0.07285511955207179
electricity,monetary,CCGT_NG_SUDAN,0.028423284176101613
electricity,monetary,Diesel_Engine_SUDAN,inf
electricity,monetary,HFO_PP_SUDAN,0.4056525944404374
electricity,monetary,Hydro_Power_Plant_large1,0.009895197422706614
electricity,monetary,Hydro_Power_Plant_large2,0.013736160630512294
electricity,monetary,Hydro_Power_Plant_large3,0.007676535139234731
electricity,monetary,Hydro_Power_Plant_large4,0.02497110583791706
electricity,monetary,Hydro_Power_Plant_small1,0.010309986047065543
electricity,monetary,OCGT_NG_SUDAN,0.0402189362077551
electricity,monetary,PV_SUD_MSR15,0.08406311765925299
electricity,monetary,PV_SUD_MSR19,0.08233070434001451
electricity,monetary,Solar_PV1,0.009086674636027537
electricity,monetary,Solar_PV2,0.009926144605690747
electricity,monetary,Steam_turbine_NG_SUDAN,0.044290110742656125
electricity,monetary,Steam_turbine_petroleum_coke_SUDAN,0.056960062718442714
electricity,co2,Bioenergy_Power_Plant,0.1330000000000033
electricity,co2,CCGT_NG_SUDAN,0.5275
electricity,co2,HFO_PP_SUDAN,0.7381000000000006
electricity,co2,Hydro_Power_Plant_large1,0.0
electricity,co2,Hydro_Power_Plant_large2,0.0
electricity,co2,Hydro_Power_Plant_large3,0.0
electricity,co2,Hydro_Power_Plant_large4,0.0
electricity,co2,Hydro_Power_Plant_small1,0.0
electricity,co2,OCGT_NG_SUDAN,0.3699999999999999
electricity,co2,PV_SUD_MSR15,0.0
electricity,co2,PV_SUD_MSR19,0.0
electricity,co2,Solar_PV1,0.0
electricity,co2,Solar_PV2,0.0
electricity,co2,Steam_turbine_NG_SUDAN,0.5280000000000004
electricity,co2,Steam_turbine_petroleum_coke_SUDAN,1.2143999999999997
