costs,locs,techs,cost_om_annual
monetary,Sudan,Bioenergy_Power_Plant,62.0
monetary,Sudan,CCGT_NG_SUDAN,13.5
monetary,Sudan,Diesel_Engine_SUDAN,24.0
monetary,Sudan,HFO_PP_SUDAN,26.5
monetary,Sudan,Hydro_Power_Plant_large1,60.0
monetary,Sudan,Hydro_Power_Plant_large2,60.0
monetary,Sudan,Hydro_Power_Plant_large3,60.0
monetary,Sudan,Hydro_Power_Plant_large4,60.0
monetary,Sudan,Hydro_Power_Plant_small1,65.0
monetary,Sudan,OCGT_NG_SUDAN,11.0
monetary,Sudan,PV_Sudan_MSR1,15.0
monetary,Sudan,PV_Sudan_MSR2,15.0
monetary,Sudan,PV_Sudan_MSR3,15.0
monetary,Sudan,PV_Sudan_MSR4,15.0
monetary,Sudan,PV_Sudan_MSR5,15.0
monetary,Sudan,Solar_PV1,16.6
monetary,Sudan,Solar_PV2,16.6
monetary,Sudan,Steam_turbine_NG_SUDAN,26.52
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,26.52
