costs,locs,techs,timesteps,cost_var_rhs
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 00:00:00,0.0
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 01:00:00,0.0
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 02:00:00,0.0
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 03:00:00,0.0
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 04:00:00,0.0
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 05:00:00,993.0261235001929
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 06:00:00,5207.167623721139
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 07:00:00,9421.309123942083
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 08:00:00,13635.450624163028
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 09:00:00,11154.082960273108
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 10:00:00,6939.941460052164
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 11:00:00,2725.799959831219
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 12:00:00,1092.0163747318147
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 13:00:00,5256.131869056932
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 14:00:00,9470.273369277877
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 15:00:00,13684.414869498823
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 16:00:00,14047.138334069818
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 17:00:00,14047.138334069818
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 18:00:00,14047.138334069818
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 19:00:00,14047.138334069818
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 20:00:00,14047.138334069818
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 21:00:00,14047.138334069818
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 22:00:00,14047.138334069818
monetary,Sudan,Bioenergy_Power_Plant,2040-01-01 23:00:00,9832.996833848872
monetary,Sudan,Bioenergy_Power_Plant,2040-01-02 00:00:00,6168.589041294747
