Zone_ID,CtryName,Longitude,Latitude,Area sq.Km,Max Capacity MW,RoadDist,T_Dist_gf,D_Dist_gf,TD_Dist_gf,SubstnDist,Load_dst,City_name,City_Pop,CtLst100kM,CtCnt100kM,PopIn100kM,GHIkWhm2d,RawERA_GHI,CorAdderWh,CF,Y_GWh,sLCOE-MWh,tLCOE-MWh,tCAPEX-kW,rLCOE-MWh,rCAPEX-kW,LCOE-MWh,trCAPEX-kW,cluster,weights,TD_Dist_gf_,trCAPEX-kW_,Latitude_,Longitude_
15,Rwanda,30.27365355,-2.184076062,52.82603423,174.325913,0.716826414,33.53672409,2.277378285,2.277378285,33.33928221,47.02208669,Kigali,1046787,Above 10 cities,11,9146534,5.392161308,5.291932296,7.843822715,18.3116863,279.6368455,111.1183765,7.107682297,111.4954518,0.428790828,6.243414703,118.6548497,117.7388665,21,1.0,2.277378285,117.7388665,-2.184076062,30.27365355
18,Rwanda,29.86321725,-2.755291182,6.816262481,22.49366619,1.004638938,19.0003054,2.68710032,2.68710032,27.80484756,12.95124996,Bujumbura,1123733,"Bujumbura, Butare, Cyangugu, Gitarama, Goma, Kigali, Muyinga, 
 Ngara, Nyanza",9,7304382,5.283625007,5.114596836,13.29353204,18.0793968,35.62445989,112.491068,6.204762958,96.09702351,0.608675605,8.750204224,119.3045065,104.8472277,9,1.0,2.68710032,104.8472277,-2.755291182,29.86321725
8,Rwanda,30.01583073,-2.069707946,11.92845934,39.36391583,0.410196479,16.89391883,4.234263799,4.234263799,14.3351469,17.8014843,Kigali,1046787,Above 10 cities,11,9146534,5.252642802,5.156954359,7.490088303,17.96935388,61.96334611,113.1537441,6.097808586,93.86572822,0.250045644,3.572729295,119.5015983,97.43845751,4,1.0,4.234263799,97.43845751,-2.069707946,30.01583073
9,Rwanda,30.0911107,-2.063263192,20.44878744,67.48099856,0.386902566,15.06754472,2.061142276,2.061142276,12.19656557,24.8038866,Kigali,1046787,Above 10 cities,11,9146534,5.240999997,5.156954359,6.578738553,17.93128311,105.9978299,113.3848992,5.984805611,91.93105012,0.236346986,3.36984397,119.6060518,95.30089409,29,1.0,2.061142276,95.30089409,-2.063263192,30.0911107
10,Rwanda,30.22808307,-2.075895111,8.520328101,28.11708273,0.393498489,19.65075,2.360739387,2.360739387,20.33787165,38.54248683,Kigali,1046787,Above 10 cities,11,9146534,5.260699987,5.251616473,0.709042485,17.93824612,44.18291276,113.3425484,6.298424613,96.78603948,0.240282929,3.42729314,119.881256,100.2133326,14,1.0,2.360739387,100.2133326,-2.075895111,30.22808307
12,Rwanda,30.04326972,-2.143168644,9.372360911,30.92879101,0.229973722,24.89916942,2.956506715,2.956506715,22.28491804,24.71542731,Kigali,1046787,Above 10 cities,11,9146534,5.234363643,5.199513016,2.733823027,17.86626347,48.40617698,113.7819582,6.687056923,102.3456902,0.140995193,2.00302512,120.6100103,104.3487153,25,1.0,2.956506715,104.3487153,-2.143168644,30.04326972
14,Rwanda,30.04480347,-2.233457357,6.816262481,22.49366619,0.077851478,36.11970988,4.585225309,4.585225309,33.34597256,32.89772337,Gitarama,913287,Above 10 cities,11,9332942,5.26562506,5.199513016,5.188324177,17.96638174,35.4017699,113.1717549,7.422066908,114.2316087,0.047464189,0.678070804,120.641286,114.9096795,10,1.0,4.585225309,114.9096795,-2.233457357,30.04480347
17,Rwanda,30.209024,-2.285212369,61.34636233,202.4429957,0.469951459,43.5544793,1.440963927,1.440963927,41.60109626,48.33531206,Kigali,1046787,"Bujumbura, Butare, Byumba, Gitarama, Goma, Kigali, Muyinga, 
 Ngara, Nyanza, Ruhengeri",10,8827573,5.314208315,5.291932296,1.743299088,18.06167945,320.3059394,112.5972161,7.891917755,122.1072599,0.285006456,4.093183214,120.7741403,126.2004431,0,1.0,1.440963927,126.2004431,-2.285212369,30.209024
13,Rwanda,30.14150959,-2.229723818,6.816262481,22.49366619,0.209654122,35.94016346,1.645741086,1.645741086,33.27903689,39.06831086,Gitarama,913287,"Bujumbura, Butare, Byumba, Gitarama, Goma, Kigali, Muyinga, 
 Ngara, Nyanza, Ruhengeri",10,8827573,5.267500043,5.291932296,-1.973831903,17.91327169,35.29711946,113.4946019,7.431677932,114.0414152,0.128200086,1.826045468,121.0544799,115.8674606,22,1.0,1.645741086,115.8674606,-2.229723818,30.14150959
16,Rwanda,30.35503652,-2.303618473,36.63741084,120.9034558,2.535072668,50.1921692,3.817676518,3.817676518,50.05111723,35.11811684,Kigali,1046787,"Bujumbura, Butare, Byumba, Gitarama, Goma, Kigali, Muyinga, 
 Ngara, Nyanza, Ruhengeri",10,8827573,5.337976755,5.291932296,3.603393526,18.13697032,192.0912412,112.1475656,8.311710507,129.1385648,1.531036333,22.07997592,121.9903125,151.2185408,27,1.0,3.817676518,151.2185408,-2.303618473,30.35503652
