CtryName,Zone_ID,cluster
Rwanda,15,22
Rwanda,18,10
Rwanda,8,5
Rwanda,9,30
Rwanda,10,15
Rwanda,12,26
Rwanda,14,11
Rwanda,17,1
Rwanda,13,23
Rwanda,16,28
Rwanda,4,27
Rwanda,5,21
Rwanda,7,36
Rwanda,6,4
Rwanda,56,6
Rwanda,3,31
Rwanda,11,34
Rwanda,28,18
Rwanda,31,20
Rwanda,2,39
Rwanda,1,3
Rwanda,37,24
Rwanda,34,2
Rwanda,0,37
Rwanda,23,16
Rwanda,42,19
Rwanda,51,13
Rwanda,32,9
Rwanda,27,12
Rwanda,40,29
Rwanda,47,32
Rwanda,22,35
Rwanda,29,38
Rwanda,35,25
Rwanda,45,7
Rwanda,26,33
Rwanda,38,8
Rwanda,30,14
Rwanda,41,17
