Unnamed: 0,KEN_NR,KEN_WR,KEN_MKR,KEN_CR,Ethiopia,Eritrea,Djibouti,Rwanda,Uganda,South_Sudan,Sudan,Egypt_NE,Egypt_AL,Egypt_ME,Egypt_UE,Egypt_CN,Egypt_CR,Lybia,Burundi,DRC_E,DRC_S,DRC_W,TAN_LR,TAN_NR,TAN_ER,TAN_SR,TAN_SWR,TAN_WR,TAN_CR
2035/01/01 00:00:00,-1083264,-418624,-181139.2,-372992,-2618880,-73408,-36704,-218240,-1170560,-107136,-3273600,-13817098.86,-3535871.658,-6146977.533,-4678230.841,-8975674.206,-1.46E+07,-6487680,-112889.6,-99200,-1555456,-1654656,-292383.0544,-203003.3151,-1298132.035,-48248.81707,-103711.0712,-17555.88146,-128838.6729
2035/01/01 01:00:00,-1043584,-402752,-174592,-359104,-2488501.517,-72217.6,-36108.8,-212288,-1148736,-104556.8,-3194240,-12955464.51,-3315374.684,-5763651.983,-4386496.342,-8415951.116,-13717295.62,-6031360,-110905.6,-95628.8,-1497920,-1593152,-287642.1522,-199711.6782,-1277083.219,-47466.4772,-102029.4277,-17271.21819,-126749.5931
2035/01/01 02:00:00,-1005888,-388864,-168441.6,-347200,-2374930.064,-71225.6,-35513.6,-208320,-1128896,-102176,-3134720,-12241714.44,-3132722.112,-5446117.479,-4144832.906,-7952294.588,-12961574.3,-5733760,-109120,-92256,-1444352,-1535616,-283742.2348,-197003.9419,-1259768.236,-46822.91596,-100646.0896,-17037.0511,-125031.0934
2035/01/01 03:00:00,-982080,-378944,-164473.6,-339264,-2300985.086,-71424,-35315.2,-204352,-1124928,-100985.6,-3095040,-11725055.54,-3000506.256,-5216265.276,-3969901.135,-7616669.725,-12414533.88,-5555200,-108524.8,-89676.8,-1404672,-1493952,-283066.1671,-196534.5441,-1256766.608,-46711.35182,-100406.282,-16996.45722,-124733.184
2035/01/01 04:00:00,-1083264,-418624,-181139.2,-372992,-2602243.964,-78368,-37497.6,-212288,-1152704,-104358.4,-3194240,-11556512.68,-2957375.211,-5141283.603,-3912835.436,-7507183.224,-12236080.05,-5515520,-110905.6,-92256,-1446336,-1537600,-291961.747,-202710.7987,-1296261.499,-48179.29325,-103561.6294,-17530.58443,-128653.0236
2035/01/01 05:00:00,-1180480,-456320,-197606.4,-406720,-2918850.93,-86105.6,-39680,-222208,-1188416,-108326.4,-3313280,-11357283.38,-2906391.336,-5052650.091,-3845379.84,-7377762.622,-12025135.31,-5555200,-113286.4,-95232,-1491968,-1587200,-300947.8486,-208949.9031,-1336158.294,-49662.17255,-106749.0857,-18070.14695,-132612.7518
2035/01/01 06:00:00,-1194368,-462272,-200384,-412672,-2992564.602,-86899.2,-39481.6,-214272,-1132864,-104953.6,-3214080,-11195674.98,-2865034.856,-4980753.432,-3790662.027,-7272780.788,-11854023.71,-5892480,-108524.8,-91660.8,-1436416,-1527680,-291031.3127,-202064.7926,-1292130.526,-48025.75373,-103231.5954,-17474.71732,-128243.0275
2035/01/01 07:00:00,-1265792,-488064,-212288,-436480,-3250534.361,-93843.2,-41267.2,-222208,-1168576,-112294.4,-3432320,-11432179.17,-2925557.581,-5085969.871,-3870738.258,-7426415.395,-12104435.25,-6110720,-111104,-95827.2,-1501888,-1597120,-300896.1428,-208914.0034,-1335928.729,-49653.64009,-106730.7452,-18067.04231,-132589.9677
2035/01/01 08:00:00,-1345152,-519808,-224192,-464256,-3550431.98,-102176,-43251.2,-234112,-1222144,-120825.6,-3690240,-10751263.55,-2751307.524,-4783042.818,-3640191.997,-6984088.327,-11383479.17,-6229760,-114080,-99993.6,-1567360,-1666560,-314504.3823,-218362.2862,-1396347.044,-51899.26087,-111557.7182,-18884.137,-138586.4422
2035/01/01 09:00:00,-1406656,-543616,-236096,-486080,-3758176.197,-107929.6,-44441.6,-242048,-1240000,-126579.2,-3868800,-11102225.41,-2841120.598,-4939179.409,-3759021.618,-7212075.362,-11755078.95,-6567040,-115270.4,-102969.6,-1612992,-1716160,-321047.3032,-222905.0757,-1425396.523,-52978.96842,-113878.5549,-19277.00089,-141469.582
2035/01/01 10:00:00,-1424512,-549568,-238080,-492032,-3802771.706,-108326.4,-44044.8,-242048,-1241984,-129356.8,-3948160,-11428615.39,-2924645.59,-5084384.41,-3869531.624,-7424100.341,-12100661.91,-6765440,-115468.8,-102771.2,-1609024,-1712192,-321824.6913,-223444.8209,-1428847.997,-53107.25241,-114154.3019,-19323.67847,-141812.1383
2035/01/01 11:00:00,-1448320,-559488,-242048,-499968,-3842793.587,-108524.8,-43846.4,-242048,-1243968,-131737.6,-4027520,-11782066.4,-3015095.648,-5241628.373,-3989204.024,-7653704.333,-12474897.19,-6745600,-115667.2,-105152,-1646720,-1751872,-324464.5875,-225277.7166,-1440568.696,-53542.88593,-115090.6984,-19482.18869,-142975.4093
2035/01/01 12:00:00,-1464192,-565440,-246016,-505920,-3848563.051,-107731.2,-43251.2,-242048,-1232064,-133126.4,-4067200,-11944041.31,-3056545.92,-5313688.085,-4044045.93,-7758924.256,-12646396.85,-6686080,-115865.6,-105350.4,-1650688,-1755840,-324236.6307,-225119.4449,-1439556.605,-53505.26867,-115009.8399,-19468.50122,-142874.9601
2035/01/01 13:00:00,-1452288,-561472,-242048,-499968,-3752374.096,-103564.8,-43052.8,-242048,-1240000,-132928,-4067200,-12099724.07,-3096385.996,-5382948.532,-4096757.422,-7860056.756,-12811234.36,-6646400,-117452.8,-106342.4,-1664576,-1771712,-327944.4013,-227693.7723,-1456018.488,-54117.122,-116325.0216,-19691.13103,-144508.7902
2035/01/01 14:00:00,-1442368,-557504,-242048,-497984,-3666534.418,-99398.4,-43052.8,-246016,-1251904,-132928,-4067200,-12165415.3,-3113196.743,-5412173.374,-4118999.338,-7902730.192,-12880788.49,-6547200,-120230.4,-107731.2,-1686400,-1793536,-331741.9041,-230330.4014,-1472878.768,-54743.78288,-117672.0323,-19919.14873,-146182.1609
2035/01/01 15:00:00,-1426496,-551552,-238080,-492032,-3558873.166,-95033.6,-42656,-248000,-1257856,-132531.2,-4067200,-12366097.83,-3164552.505,-5501453.4,-4186946.971,-8033094.82,-13093271.92,-6527360,-122214.4,-108128,-1694336,-1801472,-335130.8538,-232683.3695,-1487925.14,-55303.02464,-118874.1252,-20122.63521,-147675.5024
