Unnamed: 0,KEN_NR,KEN_WR,KEN_MKR,KEN_CR,Ethiopia,Eritrea,Djibouti,Rwanda,Uganda,South_Sudan,Sudan,Egypt_NE,Egypt_AL,Egypt_ME,Egypt_UE,Egypt_CN,Egypt_CR,Lybia,Burundi,DRC_E,DRC_S,DRC_W,TAN_LR,TAN_NR,TAN_ER,TAN_SR,TAN_SWR,TAN_WR,TAN_CR
2040/01/01 00:00:00,-1310400,-506400,-219120,-451200,-3168000,-88800,-44400,-264000,-1416000,-129600,-3960000,-16714232.49,-4277264.103,-7435859.919,-5659150.211,-10857670.41,-17697093.62,-7848000,-136560,-120000,-1881600,-2001600,-353689.1787,-245568.5264,-1570321.01,-58365.50453,-125456.9409,-21236.95338,-155853.2334
2040/01/01 01:00:00,-1262400,-487200,-211200,-434400,-3010284.093,-87360,-43680,-256800,-1389600,-126480,-3864000,-15671932.88,-4010533.892,-6972159.657,-5306245.575,-10180586.03,-16593502.77,-7296000,-134160,-115680,-1812000,-1927200,-347954.2164,-241586.7075,-1544858.733,-57419.12565,-123422.6948,-20892.60266,-153326.1207
2040/01/01 02:00:00,-1216800,-470400,-203760,-420000,-2872899.272,-86160,-42960,-252000,-1365600,-123600,-3792000,-14808525.53,-3789583.2,-6588045.338,-5013910.773,-9619711.196,-15679323.75,-6936000,-132000,-111600,-1747200,-1857600,-343236.5744,-238311.2201,-1523913.189,-56640.62415,-121749.302,-20609.33601,-151247.2904
2040/01/01 03:00:00,-1188000,-458400,-198960,-410400,-2783449.701,-86400,-42720,-247200,-1360800,-122160,-3744000,-14183534.93,-3629644.665,-6309998.318,-4802299.76,-9213713.378,-15017581.31,-6720000,-131280,-108480,-1699200,-1807200,-342418.7505,-237743.4002,-1520282.187,-56505.66753,-121459.2121,-20560.23051,-150886.9161
2040/01/01 04:00:00,-1310400,-506400,-219120,-451200,-3147875.763,-94800,-45360,-256800,-1394400,-126240,-3864000,-13979652.44,-3577470.014,-6219294.681,-4733268.672,-9081270.029,-14801709.74,-6672000,-134160,-111600,-1749600,-1860000,-353179.5327,-245214.6759,-1568058.266,-58281.40313,-125276.1646,-21206.35214,-155628.6576
2040/01/01 05:00:00,-1428000,-552000,-239040,-492000,-3530868.06,-104160,-48000,-268800,-1437600,-131040,-4008000,-13738649.26,-3515795.972,-6112076.723,-4651669.161,-8924712.849,-14546534.65,-6720000,-137040,-115200,-1804800,-1920000,-364049.8169,-252761.9796,-1616320.517,-60075.20873,-129131.9586,-21859.04873,-160418.6514
2040/01/01 06:00:00,-1444800,-559200,-242400,-499200,-3620037.825,-105120,-47760,-259200,-1370400,-126960,-3888000,-13543155.22,-3465767.972,-6025104.959,-4585478.259,-8797718.696,-14339544.81,-7128000,-131280,-110880,-1737600,-1848000,-352054.0073,-244433.2169,-1563061.121,-58095.66984,-124876.9299,-21138.77096,-155132.6946
2040/01/01 07:00:00,-1531200,-590400,-256800,-528000,-3932098.017,-113520,-49920,-268800,-1413600,-135840,-4152000,-13829249,-3538980.945,-6152382.909,-4682344.667,-8983567.01,-14642462,-7392000,-134400,-115920,-1816800,-1932000,-363987.2696,-252718.5525,-1616042.817,-60064.88721,-129109.7724,-21855.29312,-160391.09
2040/01/01 08:00:00,-1627200,-628800,-271200,-561600,-4294877.396,-123600,-52320,-283200,-1478400,-146160,-4464000,-13005560.74,-3328194.585,-5785938.893,-4403458.061,-8448493.944,-13770337.71,-7536000,-138000,-120960,-1896000,-2016000,-380448.8496,-264147.9269,-1689129.489,-62781.36396,-134948.8526,-22843.71411,-167644.8897
2040/01/01 09:00:00,-1701600,-657600,-285600,-588000,-4546180.884,-130560,-53760,-292800,-1500000,-153120,-4680000,-13430111.39,-3436839.434,-5974813.802,-4547203.571,-8724284.712,-14219853.56,-7944000,-139440,-124560,-1951200,-2076000,-388363.6733,-269643.2367,-1724269.988,-64087.4618,-137756.3164,-23318.95269,-171132.5589
