Zone_ID,CtryName,Longitude,Latitude,Area sq.Km,Max Capacity MW,RoadDist,T_Dist_gf,D_Dist_gf,TD_Dist_gf,SubstnDist,Load_dst,City_name,City_Pop,CtLst100kM,CtCnt100kM,PopIn100kM,GHIkWhm2d,RawERA_GHI,CorAdderWh,CF,Y_GWh,sLCOE-MWh,tLCOE-MWh,tCAPEX-kW,rLCOE-MWh,rCAPEX-kW,LCOE-MWh,trCAPEX-kW,cluster,weights,TD_Dist_gf_,trCAPEX-kW_,Latitude_,Longitude_
94,Benin,1.663417457,10.22978583,549.4068701,1813.042671,1.396534959,26.64088875,3.384885516,3.384885516,26.30043632,29.30393753,Natitingou,49821,"Djougou, Natitingou",2,152428,5.543361005,5.556260772,-1.007578696,18.25728447,2899.668258,111.4367263,6.661805384,104.1906934,0.837867713,12.16354018,118.9363994,116.3542336,0,0.15905713896518286,0.5383902058996467,18.506971502902548,1.6271204663463688,0.2645784216151601
102,Benin,1.41079263,10.22296124,545.580852,1800.416812,1.307713039,15.52715075,3.830037163,3.830037163,1.308748966,10.06105683,Natitingou,49821,"Djougou, Natitingou",2,152428,5.483607606,5.517141929,-2.665511335,18.08387078,2852.125035,112.4642964,5.965734848,92.41791079,0.792101591,11.38991903,119.2221328,103.8078298,0,0.15794947997753744,0.6049523781904929,16.396392734506712,1.6147114116885213,0.2228339622646424
101,Benin,1.428243381,10.03248913,451.1901855,1488.927612,1.383929344,4.771551101,5.212265723,4.771551101,24.04680947,33.37668071,Natitingou,49821,"Djougou, Natitingou",2,152428,5.457656811,5.484163407,-2.094135814,17.9735653,2344.293179,113.1282337,5.262369549,81.02450408,0.843411484,12.0537478,119.2340147,93.07825188,0,0.13062272051234136,0.6232729858762777,12.158134481098552,1.3104710236710928,0.18656103597996446
106,Benin,1.380792256,9.699964211,7.558718723,24.94377178,1.786202951,1.211755903,2.631556597,1.211755903,64.75672351,28.21496565,Djougou,102607,"Djougou, Natitingou, Sokode",3,234068,5.441777812,5.469009475,-2.1551511,17.94621735,39.21382026,113.2941057,5.025104201,77.25361303,1.090228939,15.55747047,119.4094389,92.81108349,1,0.004862017735974029,0.005891578692057225,0.4512491340233464,0.04716139803219532,0.006713436438367592
91,Benin,1.640827523,9.634161308,328.7576057,1084.900099,1.460989096,4.520537234,2.865379255,2.865379255,76.75694213,8.76335068,Djougou,102607,"Djougou, Natitingou, Sokode",3,234068,5.443324661,5.488724839,-3.649210462,17.94537717,1705.479272,113.2992097,5.253338839,80.75860509,0.891772776,12.72492283,119.4443213,93.48352792,1,0.2114677591512978,0.6059353301734652,19.768752166800184,2.0373145031048963,0.34698211944258456
92,Benin,1.664813982,9.815169237,518.8453839,1712.189767,1.770822883,9.173593541,4.507987287,4.507987287,57.12637686,13.81779124,Djougou,102607,"Djougou, Natitingou",2,152428,5.465003807,5.488724839,-1.86759628,18.01354749,2701.812783,112.8866383,5.552874559,85.68758764,1.076801626,15.42351314,119.5163145,101.1111008,1,0.3337385014555822,1.5044889217441955,33.74466726151632,3.27569987268931,0.5556125235549806
99,Benin,1.464536036,9.628716994,241.5990466,797.2768537,1.619691192,6.616884378,2.953987133,2.953987133,73.80594171,21.86257022,Djougou,102607,"Djougou, Natitingou, Sokode",3,234068,5.441564037,5.469009475,-2.17206953,17.94549269,1253.339274,113.2985078,5.397757827,82.97926562,0.988636546,14.10718635,119.6849022,97.08645197,1,0.1554044928473512,0.459062872281466,15.08767083074657,1.4963458812232417,0.22759547993125007
100,Benin,1.453906111,9.813523971,349.2408002,1152.494641,1.900943475,6.352179059,4.814777441,4.814777441,51.08544943,25.01110862,Djougou,102607,"Djougou, Natitingou",2,152428,5.446820007,5.469009475,-1.745883967,17.96189726,1813.406753,113.1989415,5.374604698,82.69886328,1.159249244,16.55683748,119.7327954,99.25570076,1,0.22464322695775646,1.0816071414296489,22.29712091267984,2.2045416926727364,0.32661016046864205
93,Benin,1.667213094,10.02176867,565.4574827,1866.009693,2.347443038,15.38439241,4.748364873,4.748364873,36.7265614,39.2160853,Djougou,102607,"Djougou, Natitingou",2,152428,5.494946013,5.512988658,-1.412908211,18.09346986,2957.602897,112.4069016,5.952813275,92.26668687,1.421127448,20.44575937,119.7808424,112.7124462,0,0.1637039038282399,0.7773258665109846,18.451467452970466,1.6406026545425478,0.2729292920013583
103,Benin,1.411888624,10.43430571,545.3008995,1799.492968,1.182552765,40.04320153,3.315160839,3.315160839,25.55329214,16.5912467,Natitingou,49821,"Djougou, Natitingou",2,152428,5.528125433,5.589972117,-5.04447811,18.20943607,2870.45509,111.7182989,7.589436204,118.3877634,0.711350855,10.29979808,120.019086,128.6875615,0,0.15786843170115622,0.5233592424900192,20.315703513451087,1.6472474783281195,0.22289264280758342
