CtryName,Zone_ID,cluster
Burundi,1,1
Burundi,21,1
Burundi,14,1
Burundi,17,1
Burundi,3,1
Burundi,0,1
Burundi,32,1
Burundi,5,1
Burundi,31,1
Burundi,30,1
Burundi,33,1
Burundi,35,1
Burundi,38,1
Burundi,34,1
Burundi,25,1
Burundi,29,1
Burundi,36,1
Burundi,44,1
Burundi,26,1
Burundi,27,1
Burundi,41,1
Burundi,42,1
Burundi,43,1
Burundi,19,1
Burundi,20,1
Burundi,52,1
Burundi,40,1
Burundi,16,1
Burundi,39,1
Burundi,22,1
Burundi,15,1
Burundi,18,1
Burundi,23,1
Burundi,37,1
Burundi,45,1
Burundi,49,1
Burundi,28,1
Burundi,13,1
Burundi,56,1
Burundi,11,1
Burundi,9,1
Burundi,12,1
Burundi,57,1
Burundi,8,1
Burundi,24,1
Burundi,53,1
Burundi,7,1
Burundi,4,1
Burundi,10,1
Burundi,6,1
Burundi,55,1
Burundi,2,1
Burundi,51,1
Burundi,54,1
Burundi,50,1
Burundi,48,1
Burundi,58,1
Burundi,59,1
Burundi,60,1
Burundi,61,1
Burundi,46,1
Burundi,47,1
Burundi,62,1
DRC_S,458,7
DRC_S,14,7
DRC_S,19,7
DRC_S,8,7
DRC_S,11,7
DRC_S,457,7
DRC_S,430,7
DRC_S,16,7
DRC_S,10,7
DRC_S,516,1
DRC_S,463,7
DRC_S,490,7
DRC_S,462,7
DRC_S,2,7
DRC_S,312,10
DRC_S,17,7
DRC_S,12,7
DRC_S,488,7
DRC_S,13,7
DRC_S,478,7
DRC_S,484,7
DRC_S,512,1
DRC_S,3,7
DRC_S,9,7
DRC_S,518,1
DRC_S,364,7
DRC_S,459,7
DRC_S,418,7
DRC_S,15,7
DRC_S,427,7
DRC_S,495,1
DRC_S,433,7
DRC_S,465,7
DRC_S,305,10
DRC_S,337,10
DRC_S,0,7
DRC_S,18,7
DRC_S,429,7
DRC_S,486,7
DRC_S,507,1
DRC_S,370,7
DRC_S,411,7
DRC_S,362,7
DRC_S,292,10
DRC_S,477,7
DRC_S,344,7
DRC_S,401,7
DRC_S,435,7
DRC_S,302,10
DRC_S,471,7
DRC_S,424,7
DRC_S,352,10
DRC_S,4,7
DRC_S,422,7
DRC_S,511,1
DRC_S,426,7
DRC_S,415,7
DRC_S,321,10
DRC_S,311,10
DRC_S,467,7
DRC_S,303,10
DRC_S,294,10
DRC_S,421,7
DRC_S,404,7
DRC_S,521,1
DRC_S,1,7
DRC_S,336,10
DRC_S,481,1
DRC_S,316,10
DRC_S,325,10
DRC_S,298,10
DRC_S,290,10
DRC_S,308,10
DRC_S,524,1
DRC_S,306,10
DRC_S,307,10
DRC_S,320,10
DRC_S,277,10
DRC_S,334,7
DRC_S,7,7
DRC_S,287,10
DRC_S,300,10
DRC_S,289,10
DRC_S,310,10
DRC_S,301,10
DRC_S,413,7
DRC_S,343,10
DRC_S,272,10
DRC_S,416,7
DRC_S,468,7
DRC_S,403,7
DRC_S,5,7
DRC_S,331,10
DRC_S,341,7
DRC_S,317,10
DRC_S,281,10
DRC_S,367,10
DRC_S,283,10
DRC_S,244,10
DRC_S,469,7
DRC_S,323,7
DRC_S,405,7
DRC_S,304,10
DRC_S,324,10
DRC_S,355,7
DRC_S,309,10
DRC_S,239,10
DRC_S,279,10
DRC_S,407,7
DRC_S,451,7
DRC_S,285,10
DRC_S,470,7
DRC_S,472,7
DRC_S,410,7
DRC_S,282,10
DRC_S,284,10
DRC_S,449,7
DRC_S,286,10
DRC_S,276,10
DRC_S,271,10
DRC_S,291,10
DRC_S,213,10
DRC_S,6,7
DRC_S,275,10
DRC_S,460,7
DRC_S,409,7
DRC_S,328,7
DRC_S,249,10
DRC_S,270,10
DRC_S,476,1
DRC_S,3283,10
DRC_S,441,7
DRC_S,229,10
DRC_S,443,7
DRC_S,224,10
DRC_S,3248,10
DRC_S,3268,10
DRC_S,494,1
DRC_S,254,10
DRC_S,327,10
DRC_S,260,10
DRC_S,428,7
DRC_S,400,7
DRC_S,406,7
DRC_S,358,10
DRC_S,322,10
DRC_S,361,10
DRC_S,330,10
DRC_S,455,7
DRC_S,508,1
DRC_S,466,7
DRC_S,288,10
DRC_S,417,7
DRC_S,396,7
DRC_S,500,1
DRC_S,217,10
DRC_S,461,7
DRC_S,464,7
DRC_S,366,7
DRC_S,212,10
DRC_S,474,7
DRC_S,379,7
DRC_S,250,10
DRC_S,473,7
DRC_S,483,7
DRC_S,439,7
DRC_S,340,10
DRC_S,368,7
DRC_S,437,7
DRC_S,246,10
DRC_S,378,7
DRC_S,3254,10
DRC_S,504,1
DRC_S,3274,10
DRC_S,356,7
DRC_S,522,1
DRC_S,447,7
DRC_S,256,10
DRC_S,267,10
DRC_S,318,7
