costs,locs,techs,cost_energy_cap
monetary,DRC_S,Diesel_Engine_DRC,0.0
monetary,DRC_S,Hydro_Power_Plant_large1,0.0
monetary,DRC_S,Hydro_Power_Plant_large2,0.0
monetary,DRC_S,Hydro_Power_Plant_large3,0.0
monetary,DRC_S,Hydro_Power_Plant_large4,0.0
monetary,DRC_S,Hydro_Power_Plant_large5,0.0
monetary,DRC_S,Hydro_Power_Plant_large6,0.0
monetary,DRC_S,Hydro_Power_Plant_small1,0.0
monetary,DRC_S,Hydro_Power_Plant_small2,0.0
monetary,DRC_S,PV_DRC_S_MSR1,1307.7709682455318
monetary,DRC_S,PV_DRC_S_MSR10,1527.80330029468
monetary,DRC_S,PV_DRC_S_MSR2,1345.7618449938313
monetary,DRC_S,PV_DRC_S_MSR3,1400.5038717259756
monetary,DRC_S,PV_DRC_S_MSR4,1472.968357989439
monetary,DRC_S,PV_DRC_S_MSR5,1458.6843482512145
monetary,DRC_S,PV_DRC_S_MSR6,1437.9312648153768
monetary,DRC_S,PV_DRC_S_MSR7,1369.714777123804
monetary,DRC_S,PV_DRC_S_MSR8,1501.4842717393265
monetary,DRC_S,PV_DRC_S_MSR9,1367.0918079465469
monetary,DRC_S,Solar_PV1,0.0
monetary,DRC_S,Solar_PV2,0.0
