locs,techs,energy_prod
DRC_S,Diesel_Engine_DRC,1.0
DRC_S,Hydro_Power_Plant_large1,1.0
DRC_S,Hydro_Power_Plant_large2,1.0
DRC_S,Hydro_Power_Plant_large3,1.0
DRC_S,Hydro_Power_Plant_large4,1.0
DRC_S,Hydro_Power_Plant_large5,1.0
DRC_S,Hydro_Power_Plant_large6,1.0
DRC_S,Hydro_Power_Plant_small1,1.0
DRC_S,Hydro_Power_Plant_small2,1.0
DRC_S,PV_DRC_S_MSR1,1.0
DRC_S,PV_DRC_S_MSR10,1.0
DRC_S,PV_DRC_S_MSR2,1.0
DRC_S,PV_DRC_S_MSR3,1.0
DRC_S,PV_DRC_S_MSR4,1.0
DRC_S,PV_DRC_S_MSR5,1.0
DRC_S,PV_DRC_S_MSR6,1.0
DRC_S,PV_DRC_S_MSR7,1.0
DRC_S,PV_DRC_S_MSR8,1.0
DRC_S,PV_DRC_S_MSR9,1.0
DRC_S,Solar_PV1,1.0
DRC_S,Solar_PV2,1.0
