locs,techs,lifetime
DRC_S,Diesel_Engine_DRC,30.0
DRC_S,Hydro_Power_Plant_large1,50.0
DRC_S,Hydro_Power_Plant_large2,50.0
DRC_S,Hydro_Power_Plant_large3,50.0
DRC_S,Hydro_Power_Plant_large4,50.0
DRC_S,Hydro_Power_Plant_large5,50.0
DRC_S,Hydro_Power_Plant_large6,50.0
DRC_S,Hydro_Power_Plant_small1,30.0
DRC_S,Hydro_Power_Plant_small2,30.0
DRC_S,PV_DRC_S_MSR1,25.0
DRC_S,PV_DRC_S_MSR10,25.0
DRC_S,PV_DRC_S_MSR2,25.0
DRC_S,PV_DRC_S_MSR3,25.0
DRC_S,PV_DRC_S_MSR4,25.0
DRC_S,PV_DRC_S_MSR5,25.0
DRC_S,PV_DRC_S_MSR6,25.0
DRC_S,PV_DRC_S_MSR7,25.0
DRC_S,PV_DRC_S_MSR8,25.0
DRC_S,PV_DRC_S_MSR9,25.0
DRC_S,Solar_PV1,25.0
DRC_S,Solar_PV2,25.0
