costs,locs,techs,cost_om_annual
monetary,Rwanda,Bioenergy_Power_Plant,62.0
monetary,Rwanda,Diesel_Engine_RWANDA,24.0
monetary,Rwanda,Gas_Engine_RWANDA,24.0
monetary,Rwanda,Hydro_Power_Plant_large1,60.0
monetary,Rwanda,Hydro_Power_Plant_large2,60.0
monetary,Rwanda,Hydro_Power_Plant_large3,60.0
monetary,Rwanda,Hydro_Power_Plant_large4,60.0
monetary,Rwanda,Hydro_Power_Plant_large5,60.0
monetary,Rwanda,Hydro_Power_Plant_large6,60.0
monetary,Rwanda,Hydro_Power_Plant_small1,65.0
monetary,Rwanda,Hydro_Power_Plant_small2,65.0
monetary,Rwanda,Hydro_Power_Plant_small3,65.0
monetary,Rwanda,PV_Rwanda_MSR1,15.0
monetary,Rwanda,Solar_PV1,16.6
monetary,Rwanda,Solar_PV2,16.6
monetary,Rwanda,Solar_PV3,16.6
monetary,Rwanda,Solar_PV4,16.6
monetary,Rwanda,Solar_PV5,16.6
monetary,Rwanda,Solar_PV6,16.6
