locs,techs,energy_cap_equals
Rwanda,Bioenergy_Power_Plant,13000.0
Rwanda,Diesel_Engine_RWANDA,68800.0
Rwanda,Gas_Engine_RWANDA,111980.0
Rwanda,Hydro_Power_Plant_large1,28000.0
Rwanda,Hydro_Power_Plant_large2,80000.0
Rwanda,Hydro_Power_Plant_large3,32250.0
Rwanda,Hydro_Power_Plant_large4,250000.0
Rwanda,Hydro_Power_Plant_large5,30000.0
Rwanda,Hydro_Power_Plant_large6,36522.0
Rwanda,Hydro_Power_Plant_small1,500.0
Rwanda,Hydro_Power_Plant_small2,2600.0
Rwanda,Hydro_Power_Plant_small3,5000.0
Rwanda,Solar_PV1,8500.0
Rwanda,Solar_PV2,3300.0
Rwanda,Solar_PV3,250.0
Rwanda,Solar_PV4,7000.0
Rwanda,Solar_PV5,1800.0
Rwanda,Solar_PV6,2400.0
