locs,techs,energy_prod
Rwanda,Bioenergy_Power_Plant,1.0
Rwanda,Diesel_Engine_RWANDA,1.0
Rwanda,Gas_Engine_RWANDA,1.0
Rwanda,Hydro_Power_Plant_large1,1.0
Rwanda,Hydro_Power_Plant_large2,1.0
Rwanda,Hydro_Power_Plant_large3,1.0
Rwanda,Hydro_Power_Plant_large4,1.0
Rwanda,Hydro_Power_Plant_large5,1.0
Rwanda,Hydro_Power_Plant_large6,1.0
Rwanda,Hydro_Power_Plant_small1,1.0
Rwanda,Hydro_Power_Plant_small2,1.0
Rwanda,Hydro_Power_Plant_small3,1.0
Rwanda,PV_Rwanda_MSR1,1.0
Rwanda,Solar_PV1,1.0
Rwanda,Solar_PV2,1.0
Rwanda,Solar_PV3,1.0
Rwanda,Solar_PV4,1.0
Rwanda,Solar_PV5,1.0
Rwanda,Solar_PV6,1.0
