locs,techs,lifetime
Rwanda,Bioenergy_Power_Plant,25.0
Rwanda,Diesel_Engine_RWANDA,30.0
Rwanda,Gas_Engine_RWANDA,30.0
Rwanda,Hydro_Power_Plant_large1,50.0
Rwanda,Hydro_Power_Plant_large2,50.0
Rwanda,Hydro_Power_Plant_large3,50.0
Rwanda,Hydro_Power_Plant_large4,50.0
Rwanda,Hydro_Power_Plant_large5,50.0
Rwanda,Hydro_Power_Plant_large6,50.0
Rwanda,Hydro_Power_Plant_small1,30.0
Rwanda,Hydro_Power_Plant_small2,30.0
Rwanda,Hydro_Power_Plant_small3,30.0
Rwanda,PV_Rwanda_MSR1,25.0
Rwanda,Solar_PV1,25.0
Rwanda,Solar_PV2,25.0
Rwanda,Solar_PV3,25.0
Rwanda,Solar_PV4,25.0
Rwanda,Solar_PV5,25.0
Rwanda,Solar_PV6,25.0
