locs,techs,resource_unit
Rwanda,Hydro_Power_Plant_large1,energy_per_cap
Rwanda,Hydro_Power_Plant_large2,energy_per_cap
Rwanda,Hydro_Power_Plant_large3,energy_per_cap
Rwanda,Hydro_Power_Plant_large4,energy_per_cap
Rwanda,Hydro_Power_Plant_large5,energy_per_cap
Rwanda,Hydro_Power_Plant_large6,energy_per_cap
Rwanda,Hydro_Power_Plant_small1,energy_per_cap
Rwanda,Hydro_Power_Plant_small2,energy_per_cap
Rwanda,Hydro_Power_Plant_small3,energy_per_cap
Rwanda,PV_Rwanda_MSR1,energy_per_cap
Rwanda,Solar_PV1,energy_per_cap
Rwanda,Solar_PV2,energy_per_cap
Rwanda,Solar_PV3,energy_per_cap
Rwanda,Solar_PV4,energy_per_cap
Rwanda,Solar_PV5,energy_per_cap
Rwanda,Solar_PV6,energy_per_cap
Rwanda,final_demand,energy
