carriers,costs,techs,systemwide_levelised_cost
electricity,co2,Bioenergy_Power_Plant,0.1329999999999995
electricity,co2,Diesel_Engine_RWANDA,0.6514000000000021
electricity,co2,Gas_Engine_RWANDA,0.5644999999999906
electricity,co2,Hydro_Power_Plant_large1,0.0
electricity,co2,Hydro_Power_Plant_large2,0.0
electricity,co2,Hydro_Power_Plant_large3,0.0
electricity,co2,Hydro_Power_Plant_large4,0.0
electricity,co2,Hydro_Power_Plant_large5,0.0
electricity,co2,Hydro_Power_Plant_large6,0.0
electricity,co2,Hydro_Power_Plant_small1,0.0
electricity,co2,Hydro_Power_Plant_small2,0.0
electricity,co2,Hydro_Power_Plant_small3,0.0
electricity,co2,PV_Rwanda_MSR1,0.0
electricity,co2,Solar_PV1,0.0
electricity,co2,Solar_PV2,0.0
electricity,co2,Solar_PV3,0.0
electricity,co2,Solar_PV4,0.0
electricity,co2,Solar_PV5,0.0
electricity,co2,Solar_PV6,0.0
electricity,monetary,Bioenergy_Power_Plant,0.08275933165839641
electricity,monetary,Diesel_Engine_RWANDA,1.2843027737489783
electricity,monetary,Gas_Engine_RWANDA,0.05739623995399839
electricity,monetary,Hydro_Power_Plant_large1,0.031091335089922963
electricity,monetary,Hydro_Power_Plant_large2,0.024702078619190434
electricity,monetary,Hydro_Power_Plant_large3,0.03056133507649154
electricity,monetary,Hydro_Power_Plant_large4,0.016826501585304916
electricity,monetary,Hydro_Power_Plant_large5,0.031733316262837916
electricity,monetary,Hydro_Power_Plant_large6,0.02413889956029341
electricity,monetary,Hydro_Power_Plant_small1,0.020462552353022415
electricity,monetary,Hydro_Power_Plant_small2,0.01586212344826774
electricity,monetary,Hydro_Power_Plant_small3,0.022300999408335506
electricity,monetary,PV_Rwanda_MSR1,0.09694113577105792
electricity,monetary,Solar_PV1,0.033436601119222246
electricity,monetary,Solar_PV2,0.03678937711387961
electricity,monetary,Solar_PV3,0.052354739958258
electricity,monetary,Solar_PV4,0.0334827989021916
electricity,monetary,Solar_PV5,0.03973673378468243
electricity,monetary,Solar_PV6,0.03795828677282952
