locs,techs,energy_cap_max
DRC_S,PV_DRC_S_MSR1,7407052.3619
DRC_S,PV_DRC_S_MSR10,2972787.1854100004
DRC_S,PV_DRC_S_MSR11,933979.11572
DRC_S,PV_DRC_S_MSR12,896961.65075
DRC_S,PV_DRC_S_MSR13,6951452.7934099985
DRC_S,PV_DRC_S_MSR14,1990400.6155000003
DRC_S,PV_DRC_S_MSR15,4284771.56873
DRC_S,PV_DRC_S_MSR16,1856568.2422100003
DRC_S,PV_DRC_S_MSR17,1383883.68978
DRC_S,PV_DRC_S_MSR18,968149.0833599999
DRC_S,PV_DRC_S_MSR19,2864582.2877600007
DRC_S,PV_DRC_S_MSR2,894114.1534000002
DRC_S,PV_DRC_S_MSR20,3078144.585509999
DRC_S,PV_DRC_S_MSR21,2380507.746140001
DRC_S,PV_DRC_S_MSR22,1981858.12365
DRC_S,PV_DRC_S_MSR23,7203456.30483
DRC_S,PV_DRC_S_MSR24,586584.4446200001
DRC_S,PV_DRC_S_MSR25,1719888.37164
DRC_S,PV_DRC_S_MSR26,5814589.4944400005
DRC_S,PV_DRC_S_MSR27,2323557.80013
DRC_S,PV_DRC_S_MSR28,2932922.22329
DRC_S,PV_DRC_S_MSR29,1110523.94857
DRC_S,PV_DRC_S_MSR3,5952574.468740001
DRC_S,PV_DRC_S_MSR30,4780947.973399998
DRC_S,PV_DRC_S_MSR31,2932922.2231400004
DRC_S,PV_DRC_S_MSR32,3491031.69471
DRC_S,PV_DRC_S_MSR33,922589.12648
DRC_S,PV_DRC_S_MSR34,2753529.8931
DRC_S,PV_DRC_S_MSR35,401497.11987
DRC_S,PV_DRC_S_MSR36,1010861.54293
DRC_S,PV_DRC_S_MSR37,1298458.77059
DRC_S,PV_DRC_S_MSR38,1574666.00908
DRC_S,PV_DRC_S_MSR39,1466461.1115500005
DRC_S,PV_DRC_S_MSR4,2315015.30824
DRC_S,PV_DRC_S_MSR40,879876.6669500001
DRC_S,PV_DRC_S_MSR41,1269983.7977000002
DRC_S,PV_DRC_S_MSR42,1056421.4998299999
DRC_S,PV_DRC_S_MSR43,4160193.5626000003
DRC_S,PV_DRC_S_MSR44,1480698.5979699998
DRC_S,PV_DRC_S_MSR45,4838847.085349999
DRC_S,PV_DRC_S_MSR46,4139311.9143600008
DRC_S,PV_DRC_S_MSR47,1309848.75981
DRC_S,PV_DRC_S_MSR48,1702803.38781
DRC_S,PV_DRC_S_MSR49,301834.71422
DRC_S,PV_DRC_S_MSR5,2599765.038570001
DRC_S,PV_DRC_S_MSR50,3288859.3864300004
DRC_S,PV_DRC_S_MSR6,4087107.7971300012
DRC_S,PV_DRC_S_MSR7,5182445.093260001
DRC_S,PV_DRC_S_MSR8,6577718.772299996
DRC_S,PV_DRC_S_MSR9,3069602.0940799997
