locs,techs,resource_cap
DRC_S,PV_DRC_S_MSR1,0.0
DRC_S,PV_DRC_S_MSR10,0.0
DRC_S,PV_DRC_S_MSR11,0.0
DRC_S,PV_DRC_S_MSR12,0.0
DRC_S,PV_DRC_S_MSR13,0.0
DRC_S,PV_DRC_S_MSR14,0.0
DRC_S,PV_DRC_S_MSR15,0.0
DRC_S,PV_DRC_S_MSR16,476815.90589759167
DRC_S,PV_DRC_S_MSR17,0.0
DRC_S,PV_DRC_S_MSR18,0.0
DRC_S,PV_DRC_S_MSR19,0.0
DRC_S,PV_DRC_S_MSR2,0.0
DRC_S,PV_DRC_S_MSR20,0.0
DRC_S,PV_DRC_S_MSR21,333528.8828298157
DRC_S,PV_DRC_S_MSR22,0.0
DRC_S,PV_DRC_S_MSR23,0.0
DRC_S,PV_DRC_S_MSR24,0.0
DRC_S,PV_DRC_S_MSR25,0.0
DRC_S,PV_DRC_S_MSR26,0.0
DRC_S,PV_DRC_S_MSR27,0.0
DRC_S,PV_DRC_S_MSR28,0.0
DRC_S,PV_DRC_S_MSR29,0.0
DRC_S,PV_DRC_S_MSR3,0.0
DRC_S,PV_DRC_S_MSR30,0.0
DRC_S,PV_DRC_S_MSR31,0.0
DRC_S,PV_DRC_S_MSR32,0.0
DRC_S,PV_DRC_S_MSR33,599198.646307631
DRC_S,PV_DRC_S_MSR34,0.0
DRC_S,PV_DRC_S_MSR35,140970.78473916123
DRC_S,PV_DRC_S_MSR36,0.0
DRC_S,PV_DRC_S_MSR37,247127.44836188413
DRC_S,PV_DRC_S_MSR38,165043.8975389956
DRC_S,PV_DRC_S_MSR39,0.0
DRC_S,PV_DRC_S_MSR4,0.0
DRC_S,PV_DRC_S_MSR40,0.0
DRC_S,PV_DRC_S_MSR41,65910.79142826432
DRC_S,PV_DRC_S_MSR42,0.0
DRC_S,PV_DRC_S_MSR43,0.0
DRC_S,PV_DRC_S_MSR44,0.0
DRC_S,PV_DRC_S_MSR45,0.0
DRC_S,PV_DRC_S_MSR46,0.0
DRC_S,PV_DRC_S_MSR47,0.0
DRC_S,PV_DRC_S_MSR48,218240.94735093604
DRC_S,PV_DRC_S_MSR49,0.0
DRC_S,PV_DRC_S_MSR5,0.0
DRC_S,PV_DRC_S_MSR50,252665.43662409508
DRC_S,PV_DRC_S_MSR6,0.0
DRC_S,PV_DRC_S_MSR7,0.0
DRC_S,PV_DRC_S_MSR8,0.0
DRC_S,PV_DRC_S_MSR9,227926.33933320496
