,techs,systemwide_capacity_factor
electricity,Diesel_Engine_DRC,0.8007701322347193
electricity,Hydro_Power_Plant_large1,0.2800318279320022
electricity,Hydro_Power_Plant_large2,0.344209878568977
electricity,Hydro_Power_Plant_large3,0.21291497536501597
electricity,Hydro_Power_Plant_large4,0.45624630258856413
electricity,Hydro_Power_Plant_large5,0.24255588856382834
electricity,Hydro_Power_Plant_large6,0.2980308368598551
electricity,Hydro_Power_Plant_small1,0.3466546265499412
electricity,Hydro_Power_Plant_small2,0.12114565645163246
electricity,PV_DRC_S_MSR16,0.20375307168613374
electricity,PV_DRC_S_MSR21,0.2073991620298275
electricity,PV_DRC_S_MSR33,0.2151229388743174
electricity,PV_DRC_S_MSR35,0.188128793760246
electricity,PV_DRC_S_MSR37,0.20223313395753703
electricity,PV_DRC_S_MSR38,0.2117144534989752
electricity,PV_DRC_S_MSR41,0.21266745948337834
electricity,PV_DRC_S_MSR48,0.21184416558868394
electricity,PV_DRC_S_MSR50,0.21520634210860584
electricity,PV_DRC_S_MSR9,0.19919496803620293
electricity,Solar_PV1,0.06877813561630797
electricity,Solar_PV2,0.09299224644798415
