,costs,techs,systemwide_levelised_cost
electricity,co2,Diesel_Engine_DRC,0.6514000000000569
electricity,co2,Hydro_Power_Plant_large1,0.0
electricity,co2,Hydro_Power_Plant_large2,0.0
electricity,co2,Hydro_Power_Plant_large3,0.0
electricity,co2,Hydro_Power_Plant_large4,0.0
electricity,co2,Hydro_Power_Plant_large5,0.0
electricity,co2,Hydro_Power_Plant_large6,0.0
electricity,co2,Hydro_Power_Plant_small1,0.0
electricity,co2,Hydro_Power_Plant_small2,0.0
electricity,co2,PV_DRC_S_MSR16,0.0
electricity,co2,PV_DRC_S_MSR21,0.0
electricity,co2,PV_DRC_S_MSR33,0.0
electricity,co2,PV_DRC_S_MSR35,0.0
electricity,co2,PV_DRC_S_MSR37,0.0
electricity,co2,PV_DRC_S_MSR38,0.0
electricity,co2,PV_DRC_S_MSR41,0.0
electricity,co2,PV_DRC_S_MSR48,0.0
electricity,co2,PV_DRC_S_MSR50,0.0
electricity,co2,PV_DRC_S_MSR9,0.0
electricity,co2,Solar_PV1,0.0
electricity,co2,Solar_PV2,0.0
electricity,monetary,Diesel_Engine_DRC,1.1690587267629924
electricity,monetary,Hydro_Power_Plant_large1,0.024459059240067218
electricity,monetary,Hydro_Power_Plant_large2,0.019898659204577715
electricity,monetary,Hydro_Power_Plant_large3,0.032169249987000034
electricity,monetary,Hydro_Power_Plant_large4,0.015012319068960783
electricity,monetary,Hydro_Power_Plant_large5,0.028238090235812852
electricity,monetary,Hydro_Power_Plant_large6,0.022981900600151477
electricity,monetary,Hydro_Power_Plant_small1,0.02140485300325836
electricity,monetary,Hydro_Power_Plant_small2,0.06124933853623876
electricity,monetary,PV_DRC_S_MSR16,0.09370025562363359
electricity,monetary,PV_DRC_S_MSR21,0.10498270318722712
electricity,monetary,PV_DRC_S_MSR33,0.08823070859098228
electricity,monetary,PV_DRC_S_MSR35,0.1021132893662449
electricity,monetary,PV_DRC_S_MSR37,0.09410220995401139
electricity,monetary,PV_DRC_S_MSR38,0.09877899904827525
electricity,monetary,PV_DRC_S_MSR41,0.1015073758189073
electricity,monetary,PV_DRC_S_MSR48,0.09644818542242652
electricity,monetary,PV_DRC_S_MSR50,0.08445095890340895
electricity,monetary,PV_DRC_S_MSR9,0.1066324988176213
electricity,monetary,Solar_PV1,0.02755202873659248
electricity,monetary,Solar_PV2,0.02037779751895488
