carriers,locs,timesteps,unmet_demand
electricity,DRC_S,2040-01-01 00:00:00,1231917.6497053802
electricity,DRC_S,2040-01-01 01:00:00,1163435.22270538
electricity,DRC_S,2040-01-01 02:00:00,1099675.7217053804
electricity,DRC_S,2040-01-01 03:00:00,1052446.4617053801
electricity,DRC_S,2040-01-01 04:00:00,1102037.1847053804
electricity,DRC_S,2040-01-01 05:00:00,1137057.6353956654
electricity,DRC_S,2040-01-01 06:00:00,904140.697224499
electricity,DRC_S,2040-01-01 07:00:00,622438.974408526
electricity,DRC_S,2040-01-01 08:00:00,476342.0607283445
electricity,DRC_S,2040-01-01 09:00:00,368172.48538466054
electricity,DRC_S,2040-01-01 10:00:00,0.0
electricity,DRC_S,2040-01-01 11:00:00,0.0
electricity,DRC_S,2040-01-01 12:00:00,0.0
electricity,DRC_S,2040-01-01 13:00:00,0.0
electricity,DRC_S,2040-01-01 14:00:00,0.0
electricity,DRC_S,2040-01-01 15:00:00,326399.1009489959
electricity,DRC_S,2040-01-01 16:00:00,596655.6018532487
electricity,DRC_S,2040-01-01 17:00:00,984727.3626869977
electricity,DRC_S,2040-01-01 18:00:00,1480365.6130314535
electricity,DRC_S,2040-01-01 19:00:00,1548353.6917053806
electricity,DRC_S,2040-01-01 20:00:00,1520016.1357053807
electricity,DRC_S,2040-01-01 21:00:00,1458618.09770538
electricity,DRC_S,2040-01-01 22:00:00,1357075.18870538
electricity,DRC_S,2040-01-01 23:00:00,1276785.4467053805
electricity,DRC_S,2040-01-02 00:00:00,1255532.27970538
electricity,DRC_S,2040-01-02 01:00:00,1217748.8717053803
electricity,DRC_S,2040-01-02 02:00:00,1189411.3157053804
electricity,DRC_S,2040-01-02 03:00:00,1172881.07470538
electricity,DRC_S,2040-01-02 04:00:00,1194134.2417053804
electricity,DRC_S,2040-01-02 05:00:00,1167703.8889655347
electricity,DRC_S,2040-01-02 06:00:00,894914.8107915737
electricity,DRC_S,2040-01-02 07:00:00,456970.2267366218
electricity,DRC_S,2040-01-02 08:00:00,63700.43474512988
electricity,DRC_S,2040-01-02 09:00:00,0.0
electricity,DRC_S,2040-01-02 10:00:00,-106752.35550694962
electricity,DRC_S,2040-01-02 11:00:00,-230557.9327078035
electricity,DRC_S,2040-01-02 12:00:00,-414625.9127523339
electricity,DRC_S,2040-01-02 13:00:00,-171298.70812665016
electricity,DRC_S,2040-01-02 14:00:00,0.0
electricity,DRC_S,2040-01-02 15:00:00,0.0
electricity,DRC_S,2040-01-02 16:00:00,417063.2442162196
electricity,DRC_S,2040-01-02 17:00:00,967494.6244552878
electricity,DRC_S,2040-01-02 18:00:00,1520684.3567263947
electricity,DRC_S,2040-01-02 19:00:00,1621559.0447053807
electricity,DRC_S,2040-01-02 20:00:00,1597944.4147053808
electricity,DRC_S,2040-01-02 21:00:00,1536546.3767053806
electricity,DRC_S,2040-01-02 22:00:00,1439726.3937053801
electricity,DRC_S,2040-01-02 23:00:00,1354713.72570538
electricity,DRC_S,2040-01-03 00:00:00,1276785.4467053805
electricity,DRC_S,2040-01-03 01:00:00,1229556.1867053802
electricity,DRC_S,2040-01-03 02:00:00,1191772.7787053804
electricity,DRC_S,2040-01-03 03:00:00,1165796.68570538
electricity,DRC_S,2040-01-03 04:00:00,1198857.1677053804
electricity,DRC_S,2040-01-03 05:00:00,1182230.3044296545
electricity,DRC_S,2040-01-03 06:00:00,907895.5214318627
electricity,DRC_S,2040-01-03 07:00:00,494314.81857518427
electricity,DRC_S,2040-01-03 08:00:00,62200.39177098076
electricity,DRC_S,2040-01-03 09:00:00,0.0
electricity,DRC_S,2040-01-03 10:00:00,0.0
electricity,DRC_S,2040-01-03 11:00:00,0.0
electricity,DRC_S,2040-01-03 12:00:00,-17106.07664756567
electricity,DRC_S,2040-01-03 13:00:00,0.0
electricity,DRC_S,2040-01-03 14:00:00,0.0
electricity,DRC_S,2040-01-03 15:00:00,0.0
electricity,DRC_S,2040-01-03 16:00:00,337010.614263784
electricity,DRC_S,2040-01-03 17:00:00,980929.8283307406
electricity,DRC_S,2040-01-03 18:00:00,1589029.9008057553
electricity,DRC_S,2040-01-03 19:00:00,1694764.3977053808
electricity,DRC_S,2040-01-03 20:00:00,1671149.7677053805
electricity,DRC_S,2040-01-03 21:00:00,1609751.7297053807
electricity,DRC_S,2040-01-03 22:00:00,1505847.3577053808
electricity,DRC_S,2040-01-03 23:00:00,1418473.2267053802
electricity,DRC_S,2040-01-04 00:00:00,1132736.2037053802
electricity,DRC_S,2040-01-04 01:00:00,1087868.4067053804
electricity,DRC_S,2040-01-04 02:00:00,1047723.5357053801
electricity,DRC_S,2040-01-04 03:00:00,1024108.9057053803
electricity,DRC_S,2040-01-04 04:00:00,1059530.85070538
electricity,DRC_S,2040-01-04 05:00:00,1079109.862641847
electricity,DRC_S,2040-01-04 06:00:00,863724.7051588455
electricity,DRC_S,2040-01-04 07:00:00,564415.1245326081
electricity,DRC_S,2040-01-04 08:00:00,366124.6289114336
electricity,DRC_S,2040-01-04 09:00:00,64224.60557374358
electricity,DRC_S,2040-01-04 10:00:00,0.0
electricity,DRC_S,2040-01-04 11:00:00,0.0
electricity,DRC_S,2040-01-04 12:00:00,0.0
electricity,DRC_S,2040-01-04 13:00:00,0.0
electricity,DRC_S,2040-01-04 14:00:00,0.0
electricity,DRC_S,2040-01-04 15:00:00,87549.5596025183
electricity,DRC_S,2040-01-04 16:00:00,446425.7406608905
electricity,DRC_S,2040-01-04 17:00:00,973142.4858018304
electricity,DRC_S,2040-01-04 18:00:00,1498233.8634960474
electricity,DRC_S,2040-01-04 19:00:00,1557799.5437053805
electricity,DRC_S,2040-01-04 20:00:00,1522377.5987053807
electricity,DRC_S,2040-01-04 21:00:00,1451533.70870538
electricity,DRC_S,2040-01-04 22:00:00,1338183.4847053802
electricity,DRC_S,2040-01-04 23:00:00,1246086.4277053801
electricity,DRC_S,2040-01-05 00:00:00,1102037.1847053804
electricity,DRC_S,2040-01-05 01:00:00,1066615.23970538
electricity,DRC_S,2040-01-05 02:00:00,1033554.7577053802
electricity,DRC_S,2040-01-05 03:00:00,1019385.9797053803
electricity,DRC_S,2040-01-05 04:00:00,1068976.70270538
electricity,DRC_S,2040-01-05 05:00:00,1104449.3880516458
electricity,DRC_S,2040-01-05 06:00:00,900467.2319097875
electricity,DRC_S,2040-01-05 07:00:00,600653.6655769425
electricity,DRC_S,2040-01-05 08:00:00,421052.0721434773
electricity,DRC_S,2040-01-05 09:00:00,295278.378179088
electricity,DRC_S,2040-01-05 10:00:00,170485.9258636823
electricity,DRC_S,2040-01-05 11:00:00,80282.35340084718
electricity,DRC_S,2040-01-05 12:00:00,0.0
electricity,DRC_S,2040-01-05 13:00:00,21613.460928848974
electricity,DRC_S,2040-01-05 14:00:00,124353.8061043729
electricity,DRC_S,2040-01-05 15:00:00,370336.4615956018
electricity,DRC_S,2040-01-05 16:00:00,678937.2423061298
electricity,DRC_S,2040-01-05 17:00:00,1058356.8852765388
electricity,DRC_S,2040-01-05 18:00:00,1513197.1710955952
electricity,DRC_S,2040-01-05 19:00:00,1569606.8587053805
electricity,DRC_S,2040-01-05 20:00:00,1527100.5247053807
electricity,DRC_S,2040-01-05 21:00:00,1451533.70870538
electricity,DRC_S,2040-01-05 22:00:00,1347629.3367053801
electricity,DRC_S,2040-01-05 23:00:00,1269701.05770538
electricity,DRC_S,2040-01-06 00:00:00,1137459.1297053802
electricity,DRC_S,2040-01-06 01:00:00,1102037.1847053804
electricity,DRC_S,2040-01-06 02:00:00,1068976.70270538
electricity,DRC_S,2040-01-06 03:00:00,1052446.4617053801
electricity,DRC_S,2040-01-06 04:00:00,1099675.7217053804
electricity,DRC_S,2040-01-06 05:00:00,1133115.3924210859
electricity,DRC_S,2040-01-06 06:00:00,927649.5759751196
electricity,DRC_S,2040-01-06 07:00:00,656010.5369825563
electricity,DRC_S,2040-01-06 08:00:00,400468.3910073055
electricity,DRC_S,2040-01-06 09:00:00,210109.8671241653
electricity,DRC_S,2040-01-06 10:00:00,0.0
electricity,DRC_S,2040-01-06 11:00:00,0.0
electricity,DRC_S,2040-01-06 12:00:00,0.0
electricity,DRC_S,2040-01-06 13:00:00,0.0
electricity,DRC_S,2040-01-06 14:00:00,1654.86609953086
electricity,DRC_S,2040-01-06 15:00:00,147262.59441097506
electricity,DRC_S,2040-01-06 16:00:00,574426.6018398005
electricity,DRC_S,2040-01-06 17:00:00,928338.7155562263
electricity,DRC_S,2040-01-06 18:00:00,1484139.485627561
electricity,DRC_S,2040-01-06 19:00:00,1553076.6177053805
electricity,DRC_S,2040-01-06 20:00:00,1517654.6727053807
electricity,DRC_S,2040-01-06 21:00:00,1446810.78270538
electricity,DRC_S,2040-01-06 22:00:00,1345267.8737053801
electricity,DRC_S,2040-01-06 23:00:00,1264978.13170538
electricity,DRC_S,2040-01-07 00:00:00,1135097.6667053802
electricity,DRC_S,2040-01-07 01:00:00,1094952.7957053804
electricity,DRC_S,2040-01-07 02:00:00,1059530.85070538
electricity,DRC_S,2040-01-07 03:00:00,1043000.6097053802
electricity,DRC_S,2040-01-07 04:00:00,1087868.4067053804
electricity,DRC_S,2040-01-07 05:00:00,1121820.8824257383
electricity,DRC_S,2040-01-07 06:00:00,937536.4345288699
electricity,DRC_S,2040-01-07 07:00:00,616292.2999141503
electricity,DRC_S,2040-01-07 08:00:00,339745.82283714757
electricity,DRC_S,2040-01-07 09:00:00,169633.8457580455
electricity,DRC_S,2040-01-07 10:00:00,0.0
electricity,DRC_S,2040-01-07 11:00:00,0.0
electricity,DRC_S,2040-01-07 12:00:00,0.0
electricity,DRC_S,2040-01-07 13:00:00,0.0
electricity,DRC_S,2040-01-07 14:00:00,0.0
electricity,DRC_S,2040-01-07 15:00:00,29792.742573984564
electricity,DRC_S,2040-01-07 16:00:00,391242.61398062075
electricity,DRC_S,2040-01-07 17:00:00,917195.8207296638
electricity,DRC_S,2040-01-07 18:00:00,1472961.120224853
electricity,DRC_S,2040-01-07 19:00:00,1543630.7657053806
electricity,DRC_S,2040-01-07 20:00:00,1505847.3577053808
electricity,DRC_S,2040-01-07 21:00:00,1437364.9307053802
electricity,DRC_S,2040-01-07 22:00:00,1326376.1697053802
electricity,DRC_S,2040-01-07 23:00:00,1241363.5017053802
electricity,DRC_S,2040-01-08 00:00:00,1104398.6477053803
electricity,DRC_S,2040-01-08 01:00:00,1083145.4807053804
electricity,DRC_S,2040-01-08 02:00:00,1068976.70270538
electricity,DRC_S,2040-01-08 03:00:00,1071338.16570538
electricity,DRC_S,2040-01-08 04:00:00,1113844.4997053803
electricity,DRC_S,2040-01-08 05:00:00,1147845.8994231783
electricity,DRC_S,2040-01-08 06:00:00,912051.8699867536
electricity,DRC_S,2040-01-08 07:00:00,508430.9761316072
electricity,DRC_S,2040-01-08 08:00:00,202515.04809570767
electricity,DRC_S,2040-01-08 09:00:00,0.0
electricity,DRC_S,2040-01-08 10:00:00,0.0
electricity,DRC_S,2040-01-08 11:00:00,0.0
electricity,DRC_S,2040-01-08 12:00:00,-70032.2223986004
electricity,DRC_S,2040-01-08 13:00:00,0.0
electricity,DRC_S,2040-01-08 14:00:00,0.0
electricity,DRC_S,2040-01-08 15:00:00,222892.6684199518
electricity,DRC_S,2040-01-08 16:00:00,499250.94376454735
electricity,DRC_S,2040-01-08 17:00:00,985098.5384516285
electricity,DRC_S,2040-01-08 18:00:00,1555246.0776363763
electricity,DRC_S,2040-01-08 19:00:00,1626281.9707053807
electricity,DRC_S,2040-01-08 20:00:00,1581414.1737053804
electricity,DRC_S,2040-01-08 21:00:00,1503485.8947053808
electricity,DRC_S,2040-01-08 22:00:00,1387774.2077053804
electricity,DRC_S,2040-01-08 23:00:00,1298038.6137053804
electricity,DRC_S,2040-01-09 00:00:00,1262616.66870538
electricity,DRC_S,2040-01-09 01:00:00,1215387.4087053803
electricity,DRC_S,2040-01-09 02:00:00,1177604.0007053805
electricity,DRC_S,2040-01-09 03:00:00,1153989.37070538
electricity,DRC_S,2040-01-09 04:00:00,1184688.3897053804
electricity,DRC_S,2040-01-09 05:00:00,1169165.049989073
electricity,DRC_S,2040-01-09 06:00:00,900986.4008562322
electricity,DRC_S,2040-01-09 07:00:00,346337.22344868607
electricity,DRC_S,2040-01-09 08:00:00,0.0
electricity,DRC_S,2040-01-09 09:00:00,-62702.12518295493
electricity,DRC_S,2040-01-09 10:00:00,-330426.61084904097
electricity,DRC_S,2040-01-09 11:00:00,-349723.9324291963
electricity,DRC_S,2040-01-09 12:00:00,-234611.10955330622
electricity,DRC_S,2040-01-09 13:00:00,-41122.97478313683
electricity,DRC_S,2040-01-09 14:00:00,0.0
electricity,DRC_S,2040-01-09 15:00:00,0.0
electricity,DRC_S,2040-01-09 16:00:00,379466.31097568903
electricity,DRC_S,2040-01-09 17:00:00,1005281.2069866733
electricity,DRC_S,2040-01-09 18:00:00,1601497.6039991907
electricity,DRC_S,2040-01-09 19:00:00,1701848.7867053808
electricity,DRC_S,2040-01-09 20:00:00,1664065.3787053805
electricity,DRC_S,2040-01-09 21:00:00,1588498.5627053804
electricity,DRC_S,2040-01-09 22:00:00,1472786.8757053805
electricity,DRC_S,2040-01-09 23:00:00,1371243.96670538
electricity,DRC_S,2040-01-10 00:00:00,1276785.4467053805
electricity,DRC_S,2040-01-10 01:00:00,1234279.1127053802
electricity,DRC_S,2040-01-10 02:00:00,1201218.6307053803
electricity,DRC_S,2040-01-10 03:00:00,1179965.4637053804
electricity,DRC_S,2040-01-10 04:00:00,1210664.4827053803
electricity,DRC_S,2040-01-10 05:00:00,1195752.4014171634
electricity,DRC_S,2040-01-10 06:00:00,1013794.2642124854
electricity,DRC_S,2040-01-10 07:00:00,677054.8524773384
electricity,DRC_S,2040-01-10 08:00:00,285468.64883673436
electricity,DRC_S,2040-01-10 09:00:00,0.0
electricity,DRC_S,2040-01-10 10:00:00,0.0
electricity,DRC_S,2040-01-10 11:00:00,0.0
electricity,DRC_S,2040-01-10 12:00:00,0.0
electricity,DRC_S,2040-01-10 13:00:00,0.0
electricity,DRC_S,2040-01-10 14:00:00,0.0
electricity,DRC_S,2040-01-10 15:00:00,9145.633544499447
electricity,DRC_S,2040-01-10 16:00:00,438659.60718041455
electricity,DRC_S,2040-01-10 17:00:00,1043131.7572620262
electricity,DRC_S,2040-01-10 18:00:00,1631958.441146709
electricity,DRC_S,2040-01-10 19:00:00,1711294.6387053807
electricity,DRC_S,2040-01-10 20:00:00,1671149.7677053805
electricity,DRC_S,2040-01-10 21:00:00,1590860.0257053804
electricity,DRC_S,2040-01-10 22:00:00,1475148.3387053804
electricity,DRC_S,2040-01-10 23:00:00,1375966.8927053805
electricity,DRC_S,2040-01-11 00:00:00,1078422.5547053805
electricity,DRC_S,2040-01-11 01:00:00,1038277.6837053802
electricity,DRC_S,2040-01-11 02:00:00,1000494.2757053804
electricity,DRC_S,2040-01-11 03:00:00,981602.5717053805
electricity,DRC_S,2040-01-11 04:00:00,1038277.6837053802
electricity,DRC_S,2040-01-11 05:00:00,1083339.7114575906
