costs,locs,techs,cost_energy_cap
monetary,Sudan,Bioenergy_Power_Plant,0.0
monetary,Sudan,CCGT_NG_SUDAN,0.0
monetary,Sudan,Diesel_Engine_SUDAN,0.0
monetary,Sudan,HFO_PP_SUDAN,0.0
monetary,Sudan,Hydro_Power_Plant_large1,0.0
monetary,Sudan,Hydro_Power_Plant_large2,0.0
monetary,Sudan,Hydro_Power_Plant_large3,0.0
monetary,Sudan,Hydro_Power_Plant_large4,0.0
monetary,Sudan,Hydro_Power_Plant_small1,0.0
monetary,Sudan,OCGT_NG_SUDAN,0.0
monetary,Sudan,PV_SUD_MSR1,1328.1354464054937
monetary,Sudan,PV_SUD_MSR10,1335.2741796189157
monetary,Sudan,PV_SUD_MSR11,1305.9115200006834
monetary,Sudan,PV_SUD_MSR12,1319.7493717233115
monetary,Sudan,PV_SUD_MSR13,1316.163867020753
monetary,Sudan,PV_SUD_MSR14,1378.684711477778
monetary,Sudan,PV_SUD_MSR15,1311.8874682388305
monetary,Sudan,PV_SUD_MSR16,1347.7384938956534
monetary,Sudan,PV_SUD_MSR17,1343.9691101074284
monetary,Sudan,PV_SUD_MSR18,1290.4203823900418
monetary,Sudan,PV_SUD_MSR19,1350.2603198302074
monetary,Sudan,PV_SUD_MSR2,1320.5628364779716
monetary,Sudan,PV_SUD_MSR20,1326.816450777228
monetary,Sudan,PV_SUD_MSR21,1311.1446137421128
monetary,Sudan,PV_SUD_MSR22,1379.1059149
monetary,Sudan,PV_SUD_MSR23,1343.5752218244904
monetary,Sudan,PV_SUD_MSR24,1344.279598245935
monetary,Sudan,PV_SUD_MSR25,1302.3391982344988
monetary,Sudan,PV_SUD_MSR26,1302.625312
monetary,Sudan,PV_SUD_MSR27,1332.9452791046165
monetary,Sudan,PV_SUD_MSR28,1323.255472199858
monetary,Sudan,PV_SUD_MSR29,1300.9141880163843
monetary,Sudan,PV_SUD_MSR3,1318.2719653337663
monetary,Sudan,PV_SUD_MSR30,1334.291130314231
monetary,Sudan,PV_SUD_MSR4,1351.9838218794043
monetary,Sudan,PV_SUD_MSR5,1315.3184743845318
monetary,Sudan,PV_SUD_MSR6,1310.0488299231656
monetary,Sudan,PV_SUD_MSR7,1338.3962216097455
monetary,Sudan,PV_SUD_MSR8,1317.8817820718116
monetary,Sudan,PV_SUD_MSR9,1336.830358255919
monetary,Sudan,Solar_PV1,0.0
monetary,Sudan,Solar_PV2,0.0
monetary,Sudan,Steam_turbine_NG_SUDAN,0.0
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,0.0
