locs,techs,energy_cap_min
Sudan,PV_SUD_MSR1,0.0
Sudan,PV_SUD_MSR10,0.0
Sudan,PV_SUD_MSR11,0.0
Sudan,PV_SUD_MSR12,0.0
Sudan,PV_SUD_MSR13,0.0
Sudan,PV_SUD_MSR14,0.0
Sudan,PV_SUD_MSR15,0.0
Sudan,PV_SUD_MSR16,0.0
Sudan,PV_SUD_MSR17,0.0
Sudan,PV_SUD_MSR18,0.0
Sudan,PV_SUD_MSR19,0.0
Sudan,PV_SUD_MSR2,0.0
Sudan,PV_SUD_MSR20,0.0
Sudan,PV_SUD_MSR21,0.0
Sudan,PV_SUD_MSR22,0.0
Sudan,PV_SUD_MSR23,0.0
Sudan,PV_SUD_MSR24,0.0
Sudan,PV_SUD_MSR25,0.0
Sudan,PV_SUD_MSR26,0.0
Sudan,PV_SUD_MSR27,0.0
Sudan,PV_SUD_MSR28,0.0
Sudan,PV_SUD_MSR29,0.0
Sudan,PV_SUD_MSR3,0.0
Sudan,PV_SUD_MSR30,0.0
Sudan,PV_SUD_MSR4,0.0
Sudan,PV_SUD_MSR5,0.0
Sudan,PV_SUD_MSR6,0.0
Sudan,PV_SUD_MSR7,0.0
Sudan,PV_SUD_MSR8,0.0
Sudan,PV_SUD_MSR9,0.0
