locs,techs,lifetime
Sudan,Bioenergy_Power_Plant,25.0
Sudan,CCGT_NG_SUDAN,30.0
Sudan,Diesel_Engine_SUDAN,30.0
Sudan,HFO_PP_SUDAN,50.0
Sudan,Hydro_Power_Plant_large1,50.0
Sudan,Hydro_Power_Plant_large2,50.0
Sudan,Hydro_Power_Plant_large3,50.0
Sudan,Hydro_Power_Plant_large4,50.0
Sudan,Hydro_Power_Plant_small1,30.0
Sudan,OCGT_NG_SUDAN,30.0
Sudan,PV_SUD_MSR1,25.0
Sudan,PV_SUD_MSR10,25.0
Sudan,PV_SUD_MSR11,25.0
Sudan,PV_SUD_MSR12,25.0
Sudan,PV_SUD_MSR13,25.0
Sudan,PV_SUD_MSR14,25.0
Sudan,PV_SUD_MSR15,25.0
Sudan,PV_SUD_MSR16,25.0
Sudan,PV_SUD_MSR17,25.0
Sudan,PV_SUD_MSR18,25.0
Sudan,PV_SUD_MSR19,25.0
Sudan,PV_SUD_MSR2,25.0
Sudan,PV_SUD_MSR20,25.0
Sudan,PV_SUD_MSR21,25.0
Sudan,PV_SUD_MSR22,25.0
Sudan,PV_SUD_MSR23,25.0
Sudan,PV_SUD_MSR24,25.0
Sudan,PV_SUD_MSR25,25.0
Sudan,PV_SUD_MSR26,25.0
Sudan,PV_SUD_MSR27,25.0
Sudan,PV_SUD_MSR28,25.0
Sudan,PV_SUD_MSR29,25.0
Sudan,PV_SUD_MSR3,25.0
Sudan,PV_SUD_MSR30,25.0
Sudan,PV_SUD_MSR4,25.0
Sudan,PV_SUD_MSR5,25.0
Sudan,PV_SUD_MSR6,25.0
Sudan,PV_SUD_MSR7,25.0
Sudan,PV_SUD_MSR8,25.0
Sudan,PV_SUD_MSR9,25.0
Sudan,Solar_PV1,25.0
Sudan,Solar_PV2,25.0
Sudan,Steam_turbine_NG_SUDAN,50.0
Sudan,Steam_turbine_petroleum_coke_SUDAN,50.0
