locs,techs,resource_unit
Sudan,Hydro_Power_Plant_large1,energy_per_cap
Sudan,Hydro_Power_Plant_large2,energy_per_cap
Sudan,Hydro_Power_Plant_large3,energy_per_cap
Sudan,Hydro_Power_Plant_large4,energy_per_cap
Sudan,Hydro_Power_Plant_small1,energy_per_cap
Sudan,PV_SUD_MSR1,energy_per_cap
Sudan,PV_SUD_MSR10,energy_per_cap
Sudan,PV_SUD_MSR11,energy_per_cap
Sudan,PV_SUD_MSR12,energy_per_cap
Sudan,PV_SUD_MSR13,energy_per_cap
Sudan,PV_SUD_MSR14,energy_per_cap
Sudan,PV_SUD_MSR15,energy_per_cap
Sudan,PV_SUD_MSR16,energy_per_cap
Sudan,PV_SUD_MSR17,energy_per_cap
Sudan,PV_SUD_MSR18,energy_per_cap
Sudan,PV_SUD_MSR19,energy_per_cap
Sudan,PV_SUD_MSR2,energy_per_cap
Sudan,PV_SUD_MSR20,energy_per_cap
Sudan,PV_SUD_MSR21,energy_per_cap
Sudan,PV_SUD_MSR22,energy_per_cap
Sudan,PV_SUD_MSR23,energy_per_cap
Sudan,PV_SUD_MSR24,energy_per_cap
Sudan,PV_SUD_MSR25,energy_per_cap
Sudan,PV_SUD_MSR26,energy_per_cap
Sudan,PV_SUD_MSR27,energy_per_cap
Sudan,PV_SUD_MSR28,energy_per_cap
Sudan,PV_SUD_MSR29,energy_per_cap
Sudan,PV_SUD_MSR3,energy_per_cap
Sudan,PV_SUD_MSR30,energy_per_cap
Sudan,PV_SUD_MSR4,energy_per_cap
Sudan,PV_SUD_MSR5,energy_per_cap
Sudan,PV_SUD_MSR6,energy_per_cap
Sudan,PV_SUD_MSR7,energy_per_cap
Sudan,PV_SUD_MSR8,energy_per_cap
Sudan,PV_SUD_MSR9,energy_per_cap
Sudan,Solar_PV1,energy_per_cap
Sudan,Solar_PV2,energy_per_cap
Sudan,final_demand,energy
