Unnamed: 0,KEN_NR,KEN_WR,KEN_MKR,KEN_CR,Ethiopia,Eritrea,Djibouti,Rwanda,Uganda,South_Sudan,Sudan,Egypt_NE,Egypt_AL,Egypt_ME,Egypt_UE,Egypt_CN,Egypt_CR,Lybia,Burundi,DRC_E,DRC_S,DRC_W,TAN_LR,TAN_NR,TAN_ER,TAN_SR,TAN_SWR,TAN_WR,TAN_CR
2040/01/01 00:00:00,-1289358.798,-498268.693,-215601.5719,-443955.044,-3117131.16,-87374.131,-43687.0655,-259760.93,-1393263.17,-127519.002,-3896413.95,-13956246.33,-3589423.76,-6210647.69,-4722926,-9138861.81,-17356753.05,-7721984.01,-134367.2447,-118073.15,-1851386.992,-1969460.142,-348009.962,-241625.412,-1545106.234,-57428.32476,-123442.4684,-20895.94985,-153350.685
2040/01/01 01:00:00,-1242129.538,-479376.989,-207808.744,-427424.803,-2961947.711,-85957.2532,-42978.6266,-252676.541,-1367287.077,-124449.1001,-3801955.43,-13082505.02,-3353277.46,-5809198.98,-4439550.44,-8572110.69,-16270480.07,-7178847.52,-132005.7817,-113822.5166,-1782904.565,-1896254.789,-342367.0866,-237707.5295,-1520052.808,-56497.14197,-121440.8863,-20557.12839,-150864.1504
2040/01/01 02:00:00,-1197261.741,-462846.748,-200488.2087,-413256.025,-2826768.888,-84776.5217,-42270.1877,-247953.615,-1343672.447,-121615.3445,-3731111.54,-12374066.12,-3187975.05,-5502208.79,-4179789.51,-8099818.09,-15373124.13,-6824628.07,-129880.465,-109808.0295,-1719145.064,-1827772.362,-337725.196,-234484.637,-1499443.587,-55731.14092,-119794.3633,-20278.41019,-148818.7
2040/01/01 03:00:00,-1168924.185,-451039.433,-195765.2827,-403810.173,-2738755.618,-85012.668,-42034.0414,-243230.689,-1338949.521,-120198.4667,-3683882.28,-11830929.63,-3046287.27,-5266062.49,-4014487.1,-7745598.64,-14735529.12,-6612096.4,-129172.0261,-106738.1276,-1671915.804,-1778181.639,-336920.5041,-233925.9346,-1495870.89,-55598.35132,-119508.9314,-20230.09318,-148464.1124
2040/01/01 04:00:00,-1289358.798,-498268.693,-215601.5719,-443955.044,-3097330.059,-93277.7885,-44631.6507,-252676.541,-1372010.003,-124212.9538,-3801955.43,-11665627.22,-2999058.01,-5195218.6,-3943643.21,-7651140.12,-14522997.45,-6564867.14,-132005.7817,-109808.0295,-1721506.527,-1830133.825,-347508.4995,-241277.2434,-1542879.824,-57345.57378,-123264.5947,-20865.83997,-153129.7153
2040/01/01 05:00:00,-1405070.485,-543136.49,-235201.7148,-484099.915,-3474172.617,-102487.4942,-47229.26,-264483.856,-1414516.337,-128935.8798,-3943643.21,-11476710.18,-2951828.75,-5100760.08,-3872799.32,-7509452.34,-14263236.52,-6612096.4,-134839.5373,-113350.224,-1775820.176,-1889170.4,-358204.2386,-248703.3594,-1590367.123,-59110.5761,-127058.4759,-21508.05615,-157842.7957
2040/01/01 06:00:00,-1421600.726,-550220.879,-238507.763,-491184.304,-3561910.577,-103432.0794,-46993.1137,-255038.004,-1348395.373,-124921.3927,-3825570.06,-11311407.77,-2904599.49,-5029916.19,-3825570.06,-7391379.19,-14074319.48,-7013545.11,-129172.0261,-109099.5906,-1709699.212,-1818326.51,-346401.0467,-240508.3323,-1537962.918,-57162.82283,-122871.7707,-20799.34395,-152641.716
2040/01/01 07:00:00,-1506613.394,-580919.898,-252676.541,-519521.86,-3868959.992,-111697.1999,-49118.4304,-264483.856,-1390901.707,-133658.8058,-4085330.99,-11547554.07,-2975443.38,-5124374.71,-3920028.58,-7556681.6,-14357695.04,-7273306.04,-132241.928,-114058.6629,-1787627.491,-1900977.715,-358142.6956,-248660.6297,-1590093.883,-59100.42032,-127036.646,-21504.36086,-157815.6768
2040/01/01 08:00:00,-1601071.914,-618703.306,-266845.319,-552582.342,-4225914.191,-121615.3445,-51479.8934,-278652.634,-1454661.208,-143813.0967,-4392321.18,-10862729.8,-2786526.34,-4840999.15,-3683882.28,-7108003.63,-13507568.36,-7414993.82,-135784.1225,-119017.7352,-1865555.77,-1983628.92,-374339.9507,-259906.4816,-1662006.996,-61773.27837,-132781.9677,-22476.91069,-164953.0017
2040/01/01 09:00:00,-1674277.267,-647040.862,-281014.097,-578558.435,-4473182.479,-128463.5872,-52896.7712,-288098.486,-1475914.375,-150661.3394,-4604852.85,-11216949.25,-2880984.86,-4982686.93,-3801955.43,-7344149.93,-13956246.33,-7816442.53,-137201.0003,-122559.9297,-1919869.419,-2042665.495,-382127.6854,-265313.5527,-1696583.24,-63058.40408,-135544.3518,-22944.51832,-168384.6691
2040/01/01 10:00:00,-1695530.434,-654125.251,-283375.56,-585642.824,-4526262.44,-128935.8798,-52424.4786,-288098.486,-1478275.838,-153967.3876,-4699311.37,-11547554.07,-2975443.38,-5124374.71,-3896413.95,-7556681.6,-14357695.04,-8052588.83,-137437.1466,-122323.7834,-1915146.493,-2037942.569,-383052.9744,-265955.9864,-1700691.369,-63211.09455,-135872.5606,-23000.07648,-168792.398
2040/01/01 11:00:00,-1723867.99,-665932.566,-288098.486,-595088.676,-4573898.625,-129172.0261,-52188.3323,-288098.486,-1480637.301,-156801.1432,-4793769.89,-11901773.52,-3046287.27,-5289677.12,-4038101.73,-7792827.9,-14806373.01,-8028974.2,-137673.2929,-125157.539,-1960014.29,-2085171.829,-386195.1201,-268137.597,-1714641.972,-63729.60889,-136987.1098,-23188.74383,-170176.9853
2040/01/01 12:00:00,-1742759.694,-673016.955,-292821.412,-602173.065,-4580765.75,-128227.4409,-51479.8934,-288098.486,-1466468.523,-158454.1673,-4840999.15,-12067075.93,-3093516.53,-5360521.01,-4085330.99,-7887286.42,-14995290.05,-7958130.31,-137909.4392,-125393.6853,-1964737.216,-2089894.755,-385923.7936,-267949.2135,-1713437.328,-63684.83482,-136890.8677,-23172.45227,-170057.4253
2040/01/01 13:00:00,-1728590.916,-668294.029,-288098.486,-595088.676,-4466276.508,-123268.3686,-51243.7471,-288098.486,-1475914.375,-158218.021,-4840999.15,-12208763.71,-3140745.79,-5431364.9,-4132560.25,-8005359.57,-15207821.72,-7910901.05,-139798.6096,-126574.4168,-1981267.457,-2108786.459,-390336.9807,-271013.3158,-1733031.143,-64413.09539,-138456.2674,-23437.43818,-172002.0973
2040/01/01 14:00:00,-1716783.601,-663571.103,-288098.486,-592727.213,-4364105.527,-118309.2963,-51243.7471,-292821.412,-1490083.153,-158218.021,-4840999.15,-12279607.6,-3164360.42,-5454979.53,-4156174.88,-8052588.83,-15278665.61,-7792827.9,-143104.6578,-128227.4409,-2007243.55,-2134762.552,-394856.9718,-274151.5729,-1753099.15,-65158.98072,-140059.5516,-23708.83705,-173993.8327
