costs,locs,techs,cost_depreciation_rate
monetary,Sudan,Bioenergy_Power_Plant,0.11016807219002081
monetary,Sudan,CCGT_NG_SUDAN,0.1060792482526339
monetary,Sudan,Diesel_Engine_SUDAN,0.1060792482526339
monetary,Sudan,HFO_PP_SUDAN,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large1,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large2,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large3,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_large4,0.10085917404611996
monetary,Sudan,Hydro_Power_Plant_small1,0.1060792482526339
monetary,Sudan,OCGT_NG_SUDAN,0.1060792482526339
monetary,Sudan,PV_Sudan_MSR1,0.11016807219002081
monetary,Sudan,PV_Sudan_MSR2,0.11016807219002081
monetary,Sudan,PV_Sudan_MSR3,0.11016807219002081
monetary,Sudan,PV_Sudan_MSR4,0.11016807219002081
monetary,Sudan,PV_Sudan_MSR5,0.11016807219002081
monetary,Sudan,Solar_PV1,0.11016807219002081
monetary,Sudan,Solar_PV2,0.11016807219002081
monetary,Sudan,Steam_turbine_NG_SUDAN,0.10085917404611996
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,0.10085917404611996
