costs,locs,techs,cost_energy_cap
monetary,Sudan,Bioenergy_Power_Plant,0.0
monetary,Sudan,CCGT_NG_SUDAN,0.0
monetary,Sudan,Diesel_Engine_SUDAN,0.0
monetary,Sudan,HFO_PP_SUDAN,0.0
monetary,Sudan,Hydro_Power_Plant_large1,0.0
monetary,Sudan,Hydro_Power_Plant_large2,0.0
monetary,Sudan,Hydro_Power_Plant_large3,0.0
monetary,Sudan,Hydro_Power_Plant_large4,0.0
monetary,Sudan,Hydro_Power_Plant_small1,0.0
monetary,Sudan,OCGT_NG_SUDAN,0.0
monetary,Sudan,PV_Sudan_MSR1,1322.5343842867433
monetary,Sudan,PV_Sudan_MSR2,1352.653636932863
monetary,Sudan,PV_Sudan_MSR3,1316.0266148059648
monetary,Sudan,PV_Sudan_MSR4,1325.4172450730193
monetary,Sudan,PV_Sudan_MSR5,1330.7413123978722
monetary,Sudan,Solar_PV1,0.0
monetary,Sudan,Solar_PV2,0.0
monetary,Sudan,Steam_turbine_NG_SUDAN,0.0
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,0.0
