costs,locs,techs,cost_om_prod
monetary,Sudan,Bioenergy_Power_Plant,0.0075
monetary,Sudan,CCGT_NG_SUDAN,0.0025
monetary,Sudan,Diesel_Engine_SUDAN,0.003
monetary,Sudan,HFO_PP_SUDAN,0.001
monetary,Sudan,OCGT_NG_SUDAN,0.0035
monetary,Sudan,Steam_turbine_NG_SUDAN,0.00184
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,0.00184
co2,Sudan,Bioenergy_Power_Plant,0.133
co2,Sudan,CCGT_NG_SUDAN,0.5275
co2,Sudan,Diesel_Engine_SUDAN,0.6514
co2,Sudan,HFO_PP_SUDAN,0.7381
co2,Sudan,OCGT_NG_SUDAN,0.37
co2,Sudan,PV_Sudan_MSR1,0.0
co2,Sudan,PV_Sudan_MSR2,0.0
co2,Sudan,PV_Sudan_MSR3,0.0
co2,Sudan,PV_Sudan_MSR4,0.0
co2,Sudan,PV_Sudan_MSR5,0.0
co2,Sudan,Solar_PV1,0.0
co2,Sudan,Solar_PV2,0.0
co2,Sudan,Steam_turbine_NG_SUDAN,0.528
co2,Sudan,Steam_turbine_petroleum_coke_SUDAN,1.2144
