locs,techs,energy_prod
Sudan,Bioenergy_Power_Plant,1.0
Sudan,CCGT_NG_SUDAN,1.0
Sudan,Diesel_Engine_SUDAN,1.0
Sudan,HFO_PP_SUDAN,1.0
Sudan,Hydro_Power_Plant_large1,1.0
Sudan,Hydro_Power_Plant_large2,1.0
Sudan,Hydro_Power_Plant_large3,1.0
Sudan,Hydro_Power_Plant_large4,1.0
Sudan,Hydro_Power_Plant_small1,1.0
Sudan,OCGT_NG_SUDAN,1.0
Sudan,PV_Sudan_MSR1,1.0
Sudan,PV_Sudan_MSR2,1.0
Sudan,PV_Sudan_MSR3,1.0
Sudan,PV_Sudan_MSR4,1.0
Sudan,PV_Sudan_MSR5,1.0
Sudan,Solar_PV1,1.0
Sudan,Solar_PV2,1.0
Sudan,Steam_turbine_NG_SUDAN,1.0
Sudan,Steam_turbine_petroleum_coke_SUDAN,1.0
