locs,techs,lifetime
Sudan,Bioenergy_Power_Plant,25.0
Sudan,CCGT_NG_SUDAN,30.0
Sudan,Diesel_Engine_SUDAN,30.0
Sudan,HFO_PP_SUDAN,50.0
Sudan,Hydro_Power_Plant_large1,50.0
Sudan,Hydro_Power_Plant_large2,50.0
Sudan,Hydro_Power_Plant_large3,50.0
Sudan,Hydro_Power_Plant_large4,50.0
Sudan,Hydro_Power_Plant_small1,30.0
Sudan,OCGT_NG_SUDAN,30.0
Sudan,PV_Sudan_MSR1,25.0
Sudan,PV_Sudan_MSR2,25.0
Sudan,PV_Sudan_MSR3,25.0
Sudan,PV_Sudan_MSR4,25.0
Sudan,PV_Sudan_MSR5,25.0
Sudan,Solar_PV1,25.0
Sudan,Solar_PV2,25.0
Sudan,Steam_turbine_NG_SUDAN,50.0
Sudan,Steam_turbine_petroleum_coke_SUDAN,50.0
