locs,techs,lookup_loc_techs
Sudan,Bioenergy_Power_Plant,Sudan::Bioenergy_Power_Plant::electricity
Sudan,CCGT_NG_SUDAN,Sudan::CCGT_NG_SUDAN::electricity
Sudan,Diesel_Engine_SUDAN,Sudan::Diesel_Engine_SUDAN::electricity
Sudan,HFO_PP_SUDAN,Sudan::HFO_PP_SUDAN::electricity
Sudan,Hydro_Power_Plant_large1,Sudan::Hydro_Power_Plant_large1::electricity
Sudan,Hydro_Power_Plant_large2,Sudan::Hydro_Power_Plant_large2::electricity
Sudan,Hydro_Power_Plant_large3,Sudan::Hydro_Power_Plant_large3::electricity
Sudan,Hydro_Power_Plant_large4,Sudan::Hydro_Power_Plant_large4::electricity
Sudan,Hydro_Power_Plant_small1,Sudan::Hydro_Power_Plant_small1::electricity
Sudan,OCGT_NG_SUDAN,Sudan::OCGT_NG_SUDAN::electricity
Sudan,PV_Sudan_MSR1,Sudan::PV_Sudan_MSR1::electricity
Sudan,PV_Sudan_MSR2,Sudan::PV_Sudan_MSR2::electricity
Sudan,PV_Sudan_MSR3,Sudan::PV_Sudan_MSR3::electricity
Sudan,PV_Sudan_MSR4,Sudan::PV_Sudan_MSR4::electricity
Sudan,PV_Sudan_MSR5,Sudan::PV_Sudan_MSR5::electricity
Sudan,Solar_PV1,Sudan::Solar_PV1::electricity
Sudan,Solar_PV2,Sudan::Solar_PV2::electricity
Sudan,Steam_turbine_NG_SUDAN,Sudan::Steam_turbine_NG_SUDAN::electricity
Sudan,Steam_turbine_petroleum_coke_SUDAN,Sudan::Steam_turbine_petroleum_coke_SUDAN::electricity
Sudan,final_demand,Sudan::final_demand::electricity
