carriers,costs,techs,systemwide_levelised_cost
electricity,monetary,Bioenergy_Power_Plant,0.07281302255504198
electricity,monetary,CCGT_NG_SUDAN,0.028423284176101613
electricity,monetary,Diesel_Engine_SUDAN,inf
electricity,monetary,HFO_PP_SUDAN,0.4055035967285977
electricity,monetary,Hydro_Power_Plant_large1,0.009895197422706614
electricity,monetary,Hydro_Power_Plant_large2,0.013736160630512294
electricity,monetary,Hydro_Power_Plant_large3,0.007676535139234731
electricity,monetary,Hydro_Power_Plant_large4,0.02497110583791706
electricity,monetary,Hydro_Power_Plant_small1,0.010309986047065543
electricity,monetary,OCGT_NG_SUDAN,0.04021894897834843
electricity,monetary,PV_Sudan_MSR2,0.08311487151121648
electricity,monetary,Solar_PV1,0.009086674636027537
electricity,monetary,Solar_PV2,0.009926144605690747
electricity,monetary,Steam_turbine_NG_SUDAN,0.0442884237097159
electricity,monetary,Steam_turbine_petroleum_coke_SUDAN,0.0569372935835675
electricity,co2,Bioenergy_Power_Plant,0.13300000000000323
electricity,co2,CCGT_NG_SUDAN,0.5275
electricity,co2,HFO_PP_SUDAN,0.7380999999999979
electricity,co2,Hydro_Power_Plant_large1,0.0
electricity,co2,Hydro_Power_Plant_large2,0.0
electricity,co2,Hydro_Power_Plant_large3,0.0
electricity,co2,Hydro_Power_Plant_large4,0.0
electricity,co2,Hydro_Power_Plant_small1,0.0
electricity,co2,OCGT_NG_SUDAN,0.36999999999999983
electricity,co2,PV_Sudan_MSR2,0.0
electricity,co2,Solar_PV1,0.0
electricity,co2,Solar_PV2,0.0
electricity,co2,Steam_turbine_NG_SUDAN,0.527999999999998
electricity,co2,Steam_turbine_petroleum_coke_SUDAN,1.2144000000000008
