CtryName,Zone_ID,cluster
DRC_S,458,50
DRC_S,14,14
DRC_S,19,50
DRC_S,8,50
DRC_S,11,14
DRC_S,457,50
DRC_S,430,14
DRC_S,16,14
DRC_S,10,50
DRC_S,516,33
DRC_S,463,50
DRC_S,490,50
DRC_S,462,50
DRC_S,2,50
DRC_S,312,10
DRC_S,17,50
DRC_S,12,14
DRC_S,488,50
DRC_S,13,14
DRC_S,478,50
DRC_S,484,50
DRC_S,512,33
DRC_S,3,50
DRC_S,9,50
DRC_S,518,33
DRC_S,364,27
DRC_S,459,50
DRC_S,418,14
DRC_S,15,14
DRC_S,427,14
DRC_S,495,33
DRC_S,433,14
DRC_S,465,50
DRC_S,305,40
DRC_S,337,10
DRC_S,0,14
DRC_S,18,50
DRC_S,429,14
DRC_S,486,50
DRC_S,507,33
DRC_S,370,14
DRC_S,411,14
DRC_S,362,27
DRC_S,292,10
DRC_S,477,50
DRC_S,344,27
DRC_S,401,14
DRC_S,435,14
DRC_S,302,10
DRC_S,471,50
DRC_S,424,14
DRC_S,352,10
DRC_S,4,50
DRC_S,422,14
DRC_S,511,33
DRC_S,426,14
DRC_S,415,14
DRC_S,321,10
DRC_S,311,10
DRC_S,467,50
DRC_S,303,10
DRC_S,294,10
DRC_S,421,14
DRC_S,404,14
DRC_S,521,33
DRC_S,1,50
DRC_S,336,10
DRC_S,481,33
DRC_S,316,27
DRC_S,325,10
DRC_S,298,47
DRC_S,290,40
DRC_S,308,47
DRC_S,524,33
DRC_S,306,27
DRC_S,307,47
DRC_S,320,10
DRC_S,277,47
DRC_S,334,27
DRC_S,7,50
DRC_S,287,10
DRC_S,300,47
DRC_S,289,27
DRC_S,310,27
DRC_S,301,10
DRC_S,413,50
DRC_S,343,10
DRC_S,272,47
DRC_S,416,50
DRC_S,468,50
DRC_S,403,50
DRC_S,5,50
DRC_S,331,10
DRC_S,341,27
DRC_S,317,10
DRC_S,281,10
DRC_S,367,10
DRC_S,283,10
DRC_S,244,17
DRC_S,469,50
DRC_S,323,27
DRC_S,405,14
DRC_S,304,27
DRC_S,324,10
DRC_S,355,27
DRC_S,309,10
DRC_S,239,17
DRC_S,279,40
DRC_S,407,50
DRC_S,451,5
DRC_S,285,10
DRC_S,470,50
DRC_S,472,50
DRC_S,410,14
DRC_S,282,47
DRC_S,284,10
DRC_S,449,50
DRC_S,286,10
DRC_S,276,10
DRC_S,271,17
DRC_S,291,47
DRC_S,213,17
DRC_S,6,50
DRC_S,275,40
DRC_S,460,50
DRC_S,409,5
DRC_S,328,27
DRC_S,249,40
DRC_S,270,47
DRC_S,476,33
DRC_S,3283,17
DRC_S,441,5
DRC_S,229,17
DRC_S,443,5
DRC_S,224,17
DRC_S,3248,17
DRC_S,3268,17
DRC_S,494,12
DRC_S,254,40
DRC_S,327,10
DRC_S,260,17
DRC_S,428,14
DRC_S,400,27
DRC_S,406,50
DRC_S,358,10
DRC_S,322,27
DRC_S,361,10
DRC_S,330,47
DRC_S,455,5
DRC_S,508,12
DRC_S,466,33
DRC_S,288,10
DRC_S,417,5
DRC_S,396,27
DRC_S,500,12
DRC_S,217,17
DRC_S,461,5
DRC_S,464,33
DRC_S,366,48
DRC_S,212,17
DRC_S,474,5
DRC_S,379,27
DRC_S,250,40
DRC_S,473,50
DRC_S,483,33
DRC_S,439,5
DRC_S,340,47
DRC_S,368,48
DRC_S,437,5
DRC_S,246,17
DRC_S,378,27
DRC_S,3254,17
DRC_S,504,12
DRC_S,3274,17
DRC_S,356,27
DRC_S,522,38
DRC_S,447,5
DRC_S,256,40
DRC_S,267,40
DRC_S,318,27
DRC_S,220,17
DRC_S,293,47
DRC_S,259,17
DRC_S,412,5
DRC_S,502,12
DRC_S,314,10
DRC_S,257,40
DRC_S,3281,17
DRC_S,245,40
DRC_S,3286,17
DRC_S,3273,17
DRC_S,450,5
DRC_S,238,40
DRC_S,3285,37
DRC_S,501,12
DRC_S,399,10
DRC_S,485,12
DRC_S,440,5
DRC_S,519,12
DRC_S,445,5
DRC_S,534,38
DRC_S,3200,49
DRC_S,353,48
DRC_S,3276,17
DRC_S,398,27
DRC_S,3189,49
DRC_S,3270,17
DRC_S,498,12
DRC_S,520,12
DRC_S,342,48
DRC_S,240,2
DRC_S,489,12
DRC_S,497,33
DRC_S,431,5
DRC_S,1855,20
DRC_S,3114,19
DRC_S,233,2
DRC_S,397,27
DRC_S,247,40
DRC_S,425,5
DRC_S,1872,20
DRC_S,395,27
DRC_S,446,5
DRC_S,3269,17
DRC_S,228,40
DRC_S,3047,13
DRC_S,278,40
DRC_S,506,12
DRC_S,230,2
DRC_S,3092,19
DRC_S,3074,13
DRC_S,492,12
DRC_S,315,48
DRC_S,3025,13
DRC_S,3280,17
DRC_S,3066,13
DRC_S,266,40
DRC_S,3075,13
DRC_S,420,14
DRC_S,338,27
DRC_S,448,5
DRC_S,231,2
DRC_S,1835,20
DRC_S,419,5
DRC_S,372,27
DRC_S,3080,13
DRC_S,475,33
DRC_S,436,5
DRC_S,226,2
DRC_S,390,10
DRC_S,414,5
DRC_S,503,12
DRC_S,456,5
DRC_S,3197,49
DRC_S,391,27
DRC_S,487,12
DRC_S,280,16
DRC_S,1936,20
DRC_S,3295,16
DRC_S,3052,13
DRC_S,442,5
DRC_S,402,5
DRC_S,2998,13
DRC_S,241,2
DRC_S,273,40
DRC_S,332,27
DRC_S,3290,17
DRC_S,221,2
