Zone_ID,CtryName,Longitude,Latitude,Area sq.Km,Max Capacity MW,RoadDist,T_Dist_gf,D_Dist_gf,TD_Dist_gf,SubstnDist,Load_dst,City_name,City_Pop,CtLst100kM,CtCnt100kM,PopIn100kM,GHIkWhm2d,RawERA_GHI,CorAdderWh,CF,Y_GWh,sLCOE-MWh,tLCOE-MWh,tCAPEX-kW,rLCOE-MWh,rCAPEX-kW,LCOE-MWh,trCAPEX-kW,cluster,weights,TD_Dist_gf_,trCAPEX-kW_,Latitude_,Longitude_
628,Sudan,31.23724217,21.67880792,246.26616,812.6783279,3.075954316,5.920383743,7.616652804,5.920383743,20.06358287,17.91125672,Wadi Halfa,17121,Wadi Halfa,1,17121,6.433874556,6.563789068,-10.7550004,20.81764658,1482.021198,98.25752186,4.611671765,82.2414625,1.618482754,26.7909469,104.4876764,109.0324094,0,0.003936907197390475,0.023308001369130263,0.42925047731568494,0.08534745493109365,0.12297812352570227
333,Sudan,36.82136558,18.70888819,393.1796344,1297.492793,3.014156731,7.172963285,7.651602842,7.172963285,90.17343831,97.53813936,Tokar,73202,Tokar,1,73202,6.353206648,6.209122988,11.56598545,20.81175479,2365.471723,98.28412677,4.687401627,83.56832001,1.586415546,26.2527023,104.5579439,109.8210223,0,0.006285523484456107,0.04508582918100892,0.6902826147536277,0.1175951560863085,0.23144155808283373
663,Sudan,30.81398247,21.26167149,715.7987221,2362.135783,2.828288517,9.850223496,39.84049724,9.850223496,80.49857684,79.20321936,Wadi Halfa,17121,Wadi Halfa,1,17121,6.437771707,6.631914133,-16.36913505,20.80859361,4305.778583,98.29840764,4.847212202,86.40434175,1.488815248,24.63382732,104.6344351,111.0381691,0,0.011443038464353626,0.11271648634720784,1.2706140400227022,0.24329812467652087,0.35260558664412833
1702,Sudan,30.46733362,19.40222441,9.544660093,31.49737831,0.421519047,11.40570558,1.310000258,1.310000258,184.4674887,27.14212516,Dongola,26404,Dongola,1,26404,6.400727185,6.64035134,-20.42569278,20.55348265,56.7105597,99.46536929,5.000959238,88.05206392,0.224642337,3.671346596,104.6909709,91.72341051,0,0.00015258467109366319,0.00019988595849954394,0.013995586424257397,0.002960482030085293,0.004648848079508607
715,Sudan,30.44053025,19.49824355,11.88076571,39.20652684,0.626671589,10.557125,1.037416349,1.037416349,193.7359109,39.15548768,Dongola,26404,Dongola,1,26404,6.399636312,6.64035134,-20.51867942,20.55010091,70.57915208,99.48103304,4.95072026,87.15316251,0.334030308,5.458184207,104.7657836,92.61134672,0,0.000189930569577182,0.0001970370780542506,0.017589725831839487,0.003703312503206115,0.005781587248613938
653,Sudan,30.43551524,19.1799958,76.21508301,251.5097739,1.46029426,4.015826717,1.485845494,1.485845494,170.1914214,3.591166081,Dongola,26404,Dongola,1,26404,6.40714432,6.646512223,-20.37529953,20.55470091,452.8664366,99.45972771,4.556088564,80.22396524,0.778196087,12.71887094,104.7940124,92.94283618,0,0.001218404139851508,0.001810360301069309,0.11324193637125252,0.023368986285054537,0.03708275776692966
714,Sudan,30.44551444,19.3581006,8.610217846,28.41371889,0.735806584,8.620098908,0.581982706,0.581982706,182.6242217,22.12546059,Dongola,26404,Dongola,1,26404,6.396846148,6.646512223,-21.29161622,20.52340411,51.08361019,99.60487036,4.840451176,85.10127077,0.392711934,6.408728183,104.8380335,91.50999896,0,0.00013764631166150076,8.010777293167957e-05,0.01259601383699177,0.002664571148362285,0.004190712769302962
713,Sudan,30.41828091,19.54668922,10.36302256,34.19797444,1.172951416,7.020903809,0.649506531,0.649506531,199.1080968,45.41481544,Dongola,26404,Dongola,1,26404,6.393153814,6.64035134,-21.09095301,20.5302411,61.50331704,99.57312525,4.742517191,83.4072434,0.625814758,10.21617224,104.9414572,93.62341565,0,0.00016566733366313945,0.00010760201518756523,0.015510341639171341,0.003238247885019431,0.005039315492976075
704,Sudan,30.46889321,20.80635923,707.333604,2334.200893,3.31136091,5.814572554,7.674142263,5.814572554,140.933287,140.0875565,Wadi Halfa,17121,,0,0,6.434597102,6.626435714,-16.18610573,20.74658813,4242.179317,98.57940114,4.621160335,82.12937671,1.7483149,28.84129126,104.9488764,110.970668,0,0.011307711772692611,0.06574951052204114,1.2548243289671632,0.23527231321194259,0.34453346245163097
1704,Sudan,30.68870537,18.3990729,7.809267349,25.77058225,0.562232863,6.678449597,0.584877604,0.584877604,115.4224593,98.93787247,Dongola,26404,Dongola,1,26404,6.353444364,6.669242622,-27.37918382,20.41991461,46.0980186,100.0879832,4.747402479,83.04448166,0.301593607,4.896935789,105.1369793,87.94141745,0,0.0001248420036044722,7.301729194674306e-05,0.010978782754275294,0.0022969771253007467,0.003831239466418125
334,Sudan,36.81402832,18.53408974,763.266647,2518.779935,4.633841809,10.58949023,25.90412606,10.58949023,109.3223498,90.80295323,Tokar,73202,Tokar,1,73202,6.398658867,6.309678121,7.164785369,20.90973059,4613.630065,97.8436558,4.867486088,87.187447,2.427462853,40.35983539,105.1386047,127.5472824,0,0.01220187928521259,0.1292116814783981,1.5563165430017203,0.2261507256687772,0.4492003295630376
668,Sudan,31.14807274,21.92579922,370.2234064,1221.737241,4.001856389,10.97835523,23.99701964,10.97835523,33.56921151,28.37591561,Wadi Halfa,17121,Wadi Halfa,1,17121,6.433831399,6.53496756,-8.331008483,20.83407215,2229.749536,98.18343003,4.908242625,87.59937169,2.104006911,34.85536877,105.1956796,122.4547405,0,0.005918536242798314,0.06497579331506942,0.7247528197517125,0.129768637335889,0.18435099740500818
671,Sudan,30.98035963,21.47896032,6.607841603,21.80587729,2.167743056,11.03391512,20.47041667,11.03391512,52.38890925,50.52978456,Wadi Halfa,17121,Wadi Halfa,1,17121,6.375800037,6.607644824,-19.66612763,20.6273137,39.40218841,99.12467365,4.960771241,87.65822629,1.151131548,18.88060847,105.2365764,106.5388348,0,0.00010563554151892935,0.0011655735987751022,0.011254287506893756,0.002268941604666796,0.0032726270659662274
666,Sudan,30.90014392,21.91680921,558.0230821,1841.476171,4.049728269,26.1658068,42.50488661,26.1658068,54.56094231,49.32064911,Wadi Halfa,17121,Wadi Halfa,1,17121,6.4793286,6.625352477,-12.22447597,21.01659132,3390.255965,97.36792306,5.759211986,103.6874391,2.110685033,35.27232327,105.2378201,138.9597624,0,0.008920775345599019,0.23341928419914715,1.2396288224482175,0.19551493125476552,0.2756532420569974
