CtryName,Zone_ID,cluster
Sudan,628,1
Sudan,333,1
Sudan,663,1
Sudan,1702,1
Sudan,715,1
Sudan,653,1
Sudan,714,1
Sudan,713,1
Sudan,704,1
Sudan,1704,1
Sudan,334,1
Sudan,668,1
Sudan,671,1
Sudan,666,1
Sudan,670,1
Sudan,39,1
Sudan,28,1
Sudan,698,1
Sudan,662,1
Sudan,1,1
Sudan,20,1
Sudan,669,1
Sudan,566,1
Sudan,2955,2
Sudan,2891,1
Sudan,702,1
Sudan,626,1
Sudan,316,1
Sudan,2903,1
Sudan,627,1
Sudan,2893,1
Sudan,2953,2
Sudan,437,1
Sudan,703,1
Sudan,2912,1
Sudan,3,1
Sudan,2931,2
Sudan,2907,1
Sudan,2963,2
Sudan,2890,1
Sudan,612,1
Sudan,1705,1
Sudan,709,1
Sudan,2885,1
Sudan,2901,1
Sudan,2897,1
Sudan,2895,1
Sudan,2934,2
Sudan,697,1
Sudan,2923,2
Sudan,659,1
Sudan,2917,1
Sudan,665,1
Sudan,2958,2
Sudan,586,1
Sudan,2878,1
Sudan,2956,2
Sudan,1706,1
Sudan,2910,1
Sudan,83,1
Sudan,2949,2
Sudan,2944,2
Sudan,2146,2
Sudan,2948,2
Sudan,2091,2
Sudan,496,1
Sudan,2946,2
Sudan,169,1
Sudan,2884,1
Sudan,463,2
Sudan,2926,2
Sudan,2960,2
Sudan,699,1
Sudan,465,2
Sudan,522,1
Sudan,2892,1
Sudan,2947,2
Sudan,136,1
Sudan,2964,2
Sudan,464,2
Sudan,2902,1
Sudan,701,1
Sudan,137,1
Sudan,2962,2
Sudan,2937,2
Sudan,2954,2
Sudan,2951,2
Sudan,696,1
Sudan,2933,2
Sudan,2877,1
Sudan,353,2
Sudan,2129,2
Sudan,2952,2
Sudan,2950,2
Sudan,2900,1
Sudan,66,1
Sudan,2918,1
Sudan,2932,2
Sudan,548,1
Sudan,2943,2
Sudan,2150,2
Sudan,106,1
Sudan,462,2
Sudan,443,2
Sudan,2928,2
Sudan,105,1
Sudan,2894,1
Sudan,660,1
Sudan,2871,1
Sudan,2307,3
Sudan,14,1
Sudan,2752,1
Sudan,156,1
Sudan,2938,2
Sudan,2961,2
Sudan,651,1
Sudan,335,1
Sudan,99,1
Sudan,787,1
Sudan,2896,1
Sudan,511,2
Sudan,613,1
Sudan,436,2
Sudan,478,2
Sudan,743,1
Sudan,2876,1
Sudan,2302,3
Sudan,123,1
Sudan,2149,2
Sudan,2282,3
Sudan,432,2
Sudan,744,1
Sudan,456,2
Sudan,2084,2
Sudan,170,1
Sudan,2957,2
Sudan,29,1
Sudan,1739,2
Sudan,625,1
Sudan,2301,3
Sudan,2107,2
Sudan,2300,3
Sudan,450,2
Sudan,461,2
Sudan,351,2
Sudan,140,1
Sudan,745,1
Sudan,2085,2
Sudan,2886,1
Sudan,117,1
Sudan,433,2
Sudan,2959,2
Sudan,477,2
Sudan,363,2
Sudan,2106,2
Sudan,2935,2
Sudan,2343,3
Sudan,458,2
Sudan,705,1
Sudan,2148,2
Sudan,95,2
Sudan,435,2
Sudan,352,2
Sudan,79,1
Sudan,155,1
Sudan,118,1
Sudan,664,1
Sudan,700,1
Sudan,708,1
Sudan,451,2
Sudan,2930,2
Sudan,1765,2
Sudan,448,1
Sudan,2972,2
Sudan,1740,2
Sudan,2968,2
Sudan,442,2
Sudan,495,1
Sudan,1994,2
Sudan,2358,3
Sudan,661,1
Sudan,13,1
Sudan,497,1
Sudan,330,2
Sudan,253,1
Sudan,446,1
Sudan,294,1
Sudan,2281,3
Sudan,2109,2
Sudan,1815,1
Sudan,587,1
Sudan,2147,2
Sudan,1764,2
Sudan,2898,1
Sudan,38,1
Sudan,479,2
Sudan,2108,2
Sudan,444,2
Sudan,2320,3
Sudan,2126,2
Sudan,542,1
Sudan,1771,2
Sudan,2397,3
Sudan,2715,2
Sudan,130,2
Sudan,107,1
Sudan,457,2
Sudan,2969,2
Sudan,695,1
Sudan,2112,2
Sudan,445,1
Sudan,610,1
Sudan,2940,2
Sudan,2826,2
Sudan,2127,2
Sudan,466,2
Sudan,100,1
Sudan,2102,2
Sudan,658,1
Sudan,1999,2
Sudan,1743,2
Sudan,472,2
Sudan,560,1
Sudan,4,1
Sudan,2340,3
Sudan,2125,2
Sudan,395,1
Sudan,2111,2
Sudan,85,1
Sudan,2018,2
Sudan,784,1
Sudan,652,1
Sudan,77,1
Sudan,2420,3
Sudan,2341,3
Sudan,2070,2
Sudan,138,1
Sudan,339,1
Sudan,354,2
Sudan,563,1
Sudan,2373,3
Sudan,2339,3
Sudan,452,2
